time_s,co0_ap,co1_ap,p_tid1
1.00000,0.00481,0.00288,0.53755
1.25000,0.81301,0.54432,0.55598
1.50000,0.97304,0.59255,0.57564
1.75000,0.97224,0.60219,0.58820
2.00000,0.97315,0.60698,0.59650
2.25000,0.97240,0.61603,0.60120
2.50000,0.96957,0.61634,0.60425
2.75000,0.97145,0.61765,0.60637
3.00000,0.97307,0.61404,0.60839
3.25000,0.96836,0.61539,0.60931
3.50000,0.95262,0.61672,0.60862
3.75000,0.95249,0.61627,0.60818
4.00000,0.95951,0.61541,0.60850
4.25000,0.95430,0.61479,0.60841
4.50000,0.96606,0.61743,0.60891
4.75000,0.96776,0.61190,0.61003
5.00000,0.95614,0.62109,0.60888
5.25000,0.96010,0.61605,0.60896
5.50000,0.95990,0.61672,0.60892
5.75000,0.95398,0.61689,0.60843
6.00000,0.97027,0.61158,0.60992
6.25000,0.95405,0.61552,0.60929
6.50000,0.96364,0.61400,0.60975
6.75000,0.95881,0.61278,0.60985
7.00000,0.96479,0.61574,0.61002
7.25000,0.95135,0.61551,0.60917
7.50000,0.95233,0.61676,0.60850
7.75000,0.95091,0.61735,0.60785
8.00000,0.95571,0.61401,0.60815
8.25000,0.96200,0.61485,0.60873
8.50000,0.96510,0.61780,0.60902
8.75000,0.95926,0.61451,0.60917
9.00000,0.96037,0.61534,0.60927
9.25000,0.95695,0.61910,0.60864
9.50000,0.96185,0.61416,0.60914
9.75000,0.95457,0.61677,0.60864
10.00000,0.96344,0.61648,0.60899
10.25000,0.95213,0.61613,0.60843
10.50000,0.96041,0.61646,0.60862
10.75000,0.96711,0.61168,0.60980
11.00000,0.96294,0.61543,0.60989
11.25000,0.95957,0.61840,0.60935
11.50000,0.95960,0.61573,0.60929
11.75000,0.95767,0.61965,0.60865
12.00000,0.95803,0.61789,0.60843
12.25000,0.95703,0.61999,0.60796
12.50000,0.96565,0.61468,0.60888
12.75000,0.95473,0.61812,0.60832
13.00000,0.96360,0.61603,0.60883
13.25000,0.96841,0.61568,0.60958
13.50000,0.95656,0.61471,0.60934
13.75000,0.95072,0.62161,0.60794
14.00000,0.96894,0.61509,0.60906
14.25000,0.95561,0.61446,0.60894
14.50000,0.95674,0.61306,0.60910
14.75000,0.96171,0.61468,0.60939
15.00000,0.95263,0.61694,0.60865
15.25000,0.95333,0.61711,0.60817
15.50000,0.96853,0.61358,0.60937
15.75000,0.95639,0.61686,0.60893
16.00000,0.96787,0.61657,0.60951
16.25000,0.96193,0.61770,0.60934
16.50000,0.96162,0.61782,0.60919
16.75000,0.96457,0.61660,0.60945
17.00000,0.96432,0.61459,0.60984
17.25000,0.95490,0.61367,0.60952
17.50000,0.96608,0.61199,0.61032
17.75000,0.95752,0.61641,0.60973
18.00000,0.94890,0.61702,0.60860
18.25000,0.95526,0.61626,0.60838
18.50000,0.95912,0.61296,0.60889
18.75000,0.94695,0.62212,0.60728
19.00000,0.95812,0.61890,0.60736
19.25000,0.96617,0.61277,0.60873
19.50000,0.96162,0.62181,0.60830
19.75000,0.95782,0.61638,0.60834
20.00000,0.97132,0.61381,0.60967
20.25000,0.96278,0.61900,0.60937
20.50000,0.94748,0.61381,0.60862
20.75000,0.95449,0.61700,0.60825
21.00000,0.96782,0.61210,0.60955
21.25000,0.96894,0.61542,0.61015
21.50000,0.96638,0.61152,0.61084
21.75000,0.96875,0.61245,0.61139
22.00000,0.95818,0.61341,0.61088
22.25000,0.95591,0.61701,0.60993
22.50000,0.96099,0.61767,0.60957
22.75000,0.95445,0.61974,0.60860
23.00000,0.96434,0.61463,0.60924
23.25000,0.96564,0.61079,0.61023
23.50000,0.96601,0.61923,0.60998
23.75000,0.96784,0.60999,0.61100
24.00000,0.96122,0.61747,0.61036
24.25000,0.96632,0.61763,0.61028
24.50000,0.96092,0.61220,0.61044
24.75000,0.95835,0.61753,0.60975
