time_s,co0_ap,co1_ap,p_tid1
1.00000,0.00472,0.00277,1.00000
1.25000,0.86657,0.67431,1.00000
1.50000,0.97206,0.89912,1.00000
1.75000,0.97145,0.89842,1.00000
2.00000,0.97394,0.89938,1.00000
2.25000,0.97247,0.89387,1.00000
2.50000,0.97335,0.89847,1.00000
2.75000,0.97277,0.89404,1.00000
3.00000,0.97127,0.89557,1.00000
3.25000,0.97340,0.89726,1.00000
3.50000,0.97187,0.89856,1.00000
3.75000,0.97160,0.90135,1.00000
4.00000,0.97165,0.89642,1.00000
4.25000,0.97361,0.89468,1.00000
4.50000,0.96959,0.89466,1.00000
4.75000,0.97103,0.89956,1.00000
5.00000,0.97370,0.89814,1.00000
5.25000,0.97360,0.90270,1.00000
5.50000,0.97273,0.89774,1.00000
5.75000,0.97127,0.89793,1.00000
6.00000,0.96902,0.89526,1.00000
6.25000,0.97238,0.89942,1.00000
6.50000,0.97177,0.89934,1.00000
6.75000,0.97269,0.89825,1.00000
7.00000,0.97064,0.89949,1.00000
7.25000,0.97464,0.89349,1.00000
7.50000,0.96973,0.89735,1.00000
7.75000,0.97059,0.89851,1.00000
8.00000,0.97247,0.89458,1.00000
8.25000,0.97122,0.89291,1.00000
8.50000,0.97055,0.89519,1.00000
8.75000,0.97212,0.89710,1.00000
9.00000,0.97248,0.90070,1.00000
9.25000,0.97335,0.89548,1.00000
9.50000,0.97287,0.89872,1.00000
9.75000,0.97120,0.89971,1.00000
10.00000,0.97059,0.89827,1.00000
10.25000,0.97054,0.89551,1.00000
10.50000,0.97301,0.89649,1.00000
10.75000,0.97213,0.89793,1.00000
11.00000,0.97064,0.89680,1.00000
11.25000,0.97287,0.89713,1.00000
11.50000,0.96966,0.89696,1.00000
11.75000,0.97080,0.89872,1.00000
12.00000,0.96966,0.89654,1.00000
12.25000,0.96877,0.89728,1.00000
12.50000,0.97272,0.90002,1.00000
12.75000,0.97027,0.89796,1.00000
13.00000,0.97082,0.89675,1.00000
13.25000,0.97177,0.89557,1.00000
13.50000,0.97069,0.90065,1.00000
13.75000,0.97127,0.89871,1.00000
14.00000,0.97431,0.89617,1.00000
14.25000,0.97413,0.89677,1.00000
14.50000,0.97048,0.89652,1.00000
14.75000,0.97297,0.89922,1.00000
15.00000,0.97335,0.89623,1.00000
15.25000,0.97147,0.89836,1.00000
15.50000,0.97134,0.89573,1.00000
15.75000,0.97354,0.89571,1.00000
16.00000,0.97124,0.89544,1.00000
16.25000,0.97048,0.89996,1.00000
16.50000,0.97019,0.90140,1.00000
16.75000,0.97202,0.89802,1.00000
17.00000,0.97304,0.89859,1.00000
17.25000,0.97173,0.89996,1.00000
17.50000,0.97210,0.89414,1.00000
17.75000,0.97180,0.89884,1.00000
18.00000,0.97280,0.89801,1.00000
18.25000,0.97462,0.89728,1.00000
18.50000,0.97262,0.89431,1.00000
18.75000,0.97303,0.89596,1.00000
19.00000,0.96996,0.90048,1.00000
19.25000,0.97353,0.89407,1.00000
19.50000,0.97289,0.89983,1.00000
19.75000,0.97118,0.89838,1.00000
20.00000,0.96931,0.89865,1.00000
20.25000,0.96923,0.89613,1.00000
20.50000,0.97286,0.89774,1.00000
20.75000,0.97382,0.89281,1.00000
21.00000,0.97296,0.90140,1.00000
21.25000,0.97224,0.89987,1.00000
21.50000,0.97208,0.89477,1.00000
21.75000,0.97163,0.89401,1.00000
22.00000,0.97171,0.90210,1.00000
22.25000,0.97255,0.89939,1.00000
22.50000,0.97161,0.90093,1.00000
22.75000,0.97222,0.89664,1.00000
23.00000,0.97308,0.90082,1.00000
23.25000,0.97293,0.89532,1.00000
23.50000,0.97217,0.89980,1.00000
23.75000,0.97243,0.90168,1.00000
24.00000,0.97411,0.89664,1.00000
24.25000,0.97238,0.89873,1.00000
24.50000,0.97212,0.89432,1.00000
24.75000,0.97168,0.89497,1.00000
