time_s,n_pkts,mean_ms,p50_ms,p90_ms,p99_ms,max_ms,tput_mbps
1.2500,2356,0.3899,0.3220,0.7133,0.9316,1.3396,105.4400
1.5000,2359,0.3476,0.2894,0.6456,0.8301,1.0126,105.5360
1.7500,2358,0.3498,0.2924,0.6366,0.8466,1.0735,105.5680
2.0000,2359,0.3447,0.2918,0.6373,0.7973,0.9796,105.5360
2.2500,2356,0.3413,0.2874,0.6245,0.8135,0.9726,105.4720
2.5000,2360,0.3307,0.2830,0.6046,0.7660,1.1596,105.6000
2.7500,2358,0.3488,0.2894,0.6466,0.8350,1.1033,105.5040
3.0000,2360,0.3300,0.2794,0.6040,0.7670,0.9030,105.6000
3.2500,2357,0.3377,0.2824,0.6210,0.8167,1.1390,105.5040
3.5000,2358,0.3334,0.2840,0.6003,0.7726,0.9730,105.5360
3.7500,2360,0.3345,0.2820,0.6150,0.7806,0.9857,105.6000
4.0000,2357,0.3287,0.2794,0.6033,0.7906,1.1026,105.5040
4.2500,2361,0.3521,0.2938,0.6496,0.8235,1.1516,105.6320
4.5000,2357,0.3353,0.2844,0.6136,0.7753,1.0070,105.4720
4.7500,2357,0.3394,0.2860,0.6310,0.8300,1.0393,105.5040
5.0000,2360,0.3292,0.2820,0.6033,0.7926,0.9226,105.6000
5.2500,2361,0.3382,0.2900,0.6026,0.7766,1.0346,105.6320
5.5000,2357,0.3317,0.2816,0.6080,0.7596,1.0320,105.5040
5.7500,2360,0.3408,0.2830,0.6300,0.8190,1.2113,105.6000
6.0000,2356,0.3419,0.2790,0.6425,0.8176,0.9340,105.4720
6.2500,2358,0.3518,0.2904,0.6433,0.9165,1.1903,105.5040
6.5000,2361,0.3266,0.2764,0.6030,0.8026,0.9906,105.6320
6.7500,2357,0.3306,0.2810,0.6009,0.8046,1.0206,105.5360
7.0000,2357,0.3502,0.2904,0.6520,0.8256,0.9616,105.4720
7.2500,2359,0.3262,0.2804,0.5856,0.7516,1.1647,105.5680
7.5000,2360,0.3340,0.2814,0.6130,0.7975,1.0377,105.6000
7.7500,2358,0.3386,0.2900,0.6176,0.8165,1.0006,105.5360
8.0000,2356,0.3481,0.2914,0.6470,0.8186,1.0256,105.4080
8.2500,2362,0.3373,0.2860,0.6221,0.8316,1.2196,105.6960
8.5000,2357,0.3389,0.2870,0.6156,0.8263,1.0647,105.5040
8.7500,2359,0.3354,0.2850,0.6280,0.7960,1.0070,105.5680
9.0000,2358,0.3471,0.2874,0.6391,0.8186,1.2276,105.5040
9.2500,2360,0.3413,0.2870,0.6266,0.7810,0.9370,105.6000
9.5000,2356,0.3401,0.2900,0.6246,0.8000,1.1380,105.4720
9.7500,2360,0.3512,0.2954,0.6446,0.8726,1.0533,105.6320
10.0000,2359,0.3324,0.2804,0.6073,0.8136,1.0560,105.5360
10.2500,2357,0.3419,0.2878,0.6246,0.8083,1.0290,105.5040
10.5000,2360,0.3435,0.2850,0.6327,0.8215,1.1946,105.6000
10.7500,2357,0.3393,0.2874,0.6253,0.8045,1.0656,105.4720
11.0000,2360,0.3334,0.2810,0.6170,0.7920,0.9073,105.6320
11.2500,2357,0.3319,0.2810,0.6097,0.8076,1.2270,105.5040
11.5000,2359,0.3419,0.2840,0.6406,0.8095,0.9826,105.5360
11.7500,2359,0.3466,0.2914,0.6377,0.8327,1.1780,105.6000
12.0000,2359,0.3468,0.2874,0.6406,0.8443,1.0536,105.5040
12.2500,2357,0.3409,0.2850,0.6226,0.8543,1.1410,105.5360
12.5000,2360,0.3344,0.2830,0.6060,0.7860,0.9336,105.6000
12.7500,2357,0.3387,0.2874,0.6210,0.7911,0.9553,105.5040
13.0000,2360,0.3392,0.2850,0.6255,0.8093,1.0546,105.6000
13.2500,2357,0.3415,0.2844,0.6361,0.8937,1.1935,105.4400
13.5000,2357,0.3402,0.2874,0.6256,0.8487,1.1336,105.5040
13.7500,2361,0.3415,0.2854,0.6270,0.8186,1.3043,105.6640
14.0000,2358,0.3360,0.2840,0.6226,0.7860,1.0170,105.5680
14.2500,2359,0.3327,0.2868,0.6013,0.7701,0.9940,105.5360
14.5000,2357,0.3505,0.2918,0.6446,0.8270,1.0739,105.4720
14.7500,2360,0.3363,0.2844,0.6175,0.8173,0.9926,105.6320
15.0000,2360,0.3562,0.2974,0.6581,0.8439,1.3030,105.5680
15.2500,2355,0.3392,0.2830,0.6283,0.8216,0.9753,105.4080
15.5000,2360,0.3408,0.2850,0.6280,0.8046,1.0556,105.6000
15.7500,2358,0.3284,0.2800,0.5967,0.7746,1.1106,105.5360
16.0000,2360,0.3326,0.2810,0.6121,0.7676,1.0856,105.6640
16.2500,2356,0.3357,0.2884,0.6056,0.7993,1.2550,105.4080
16.5000,2362,0.3408,0.2864,0.6351,0.7897,0.9996,105.6640
16.7500,2357,0.3321,0.2814,0.6050,0.8166,1.0950,105.5040
17.0000,2359,0.3463,0.2900,0.6370,0.8286,1.2426,105.6000
17.2500,2356,0.3382,0.2900,0.6096,0.7620,1.2276,105.4400
17.5000,2359,0.3491,0.2950,0.6306,0.8261,1.0936,105.5360
17.7500,2359,0.3408,0.2858,0.6300,0.8520,1.0150,105.6000
18.0000,2360,0.3333,0.2804,0.6173,0.8266,1.0980,105.6000
18.2500,2357,0.3393,0.2814,0.6293,0.8270,1.2121,105.5040
18.5000,2360,0.3352,0.2844,0.6140,0.8056,1.0265,105.6000
18.7500,2356,0.3380,0.2834,0.6213,0.8221,1.0486,105.4400
19.0000,2361,0.3315,0.2824,0.6045,0.8055,1.2116,105.6640
19.2500,2357,0.3332,0.2824,0.5990,0.7667,0.9786,105.4720
19.5000,2360,0.3340,0.2824,0.6140,0.8433,1.1556,105.6000
19.7500,2357,0.3344,0.2884,0.6040,0.7816,0.9296,105.4720
20.0000,2359,0.3387,0.2860,0.6245,0.7847,1.1676,105.6000
20.2500,2358,0.3347,0.2814,0.6173,0.7940,1.0120,105.5040
20.5000,2359,0.3307,0.2780,0.6046,0.8643,1.1236,105.5360
20.7500,2357,0.3364,0.2824,0.6207,0.8066,1.1120,105.5360
21.0000,2358,0.3337,0.2814,0.6095,0.8040,1.0780,105.5040
21.2500,2360,0.3493,0.2910,0.6490,0.8080,1.0620,105.5680
21.5000,2357,0.3484,0.2884,0.6266,0.8596,1.1273,105.5360
21.7500,2361,0.3318,0.2820,0.6000,0.7790,1.0070,105.6640
22.0000,2358,0.3410,0.2864,0.6270,0.8486,1.1887,105.5360
22.2500,2358,0.3352,0.2834,0.6100,0.8070,1.1707,105.5040
22.5000,2358,0.3289,0.2824,0.6083,0.8041,1.0140,105.5360
22.7500,2358,0.3379,0.2880,0.6250,0.7943,1.1720,105.5360
23.0000,2359,0.3434,0.2884,0.6301,0.8136,0.9763,105.5360
23.2500,2360,0.3243,0.2790,0.5853,0.7670,0.9960,105.6000
23.5000,2356,0.3403,0.2874,0.6177,0.8306,0.9816,105.4400
23.7500,2359,0.3448,0.2850,0.6340,0.8226,1.2526,105.5680
24.0000,2360,0.3458,0.2904,0.6376,0.8497,1.0606,105.6320
24.2500,2358,0.3329,0.2824,0.6180,0.7926,0.9816,105.5360
24.5000,2359,0.3411,0.2840,0.6356,0.8403,1.0900,105.5680
24.7500,2358,0.3292,0.2824,0.5946,0.7780,0.9756,105.5040
