time_s,n_pkts,mean_ms,p50_ms,p90_ms,p99_ms,max_ms,tput_mbps
1.2500,12447,1.0047,0.6428,2.4545,3.3860,3.9211,398.3040
1.5000,12509,0.7583,0.6993,1.0188,1.8537,2.6723,400.2880
1.7500,12508,0.7344,0.7029,0.9233,1.5357,1.9936,400.2560
2.0000,12497,0.7259,0.6971,0.9229,1.3386,1.7846,399.9040
2.2500,12493,0.7232,0.7084,0.8945,1.2440,2.0001,399.7760
2.5000,12511,0.7262,0.7028,0.8989,1.3631,1.9736,400.3520
2.7500,12497,0.7330,0.6976,0.9361,1.4915,2.2680,399.9040
3.0000,12512,0.7147,0.7070,0.8665,1.1260,1.5856,400.3840
3.2500,12488,0.7093,0.6921,0.8688,1.2550,1.6493,399.6160
3.5000,12501,0.7288,0.7116,0.8811,1.3340,2.0365,400.0320
3.7500,12505,0.7128,0.6887,0.8847,1.3085,1.7244,400.1600
4.0000,12498,0.7173,0.7092,0.8735,1.1579,1.5026,399.9360
4.2500,12496,0.7219,0.7011,0.8926,1.2923,1.7290,399.8720
4.5000,12504,0.7083,0.6990,0.8609,1.1493,1.5915,400.1280
4.7500,12495,0.7230,0.7100,0.8869,1.2121,1.4876,399.8400
5.0000,12505,0.7229,0.7044,0.8961,1.2576,1.7325,400.1600
5.2500,12498,0.7138,0.6973,0.8710,1.3300,1.6843,399.9360
5.5000,12496,0.7252,0.6994,0.8959,1.4548,2.1141,399.8720
5.7500,12503,0.7246,0.7078,0.9036,1.2079,1.6180,400.0960
6.0000,12500,0.7282,0.6967,0.9238,1.3813,1.8820,400.0000
6.2500,12501,0.7167,0.7055,0.8731,1.1703,1.5073,400.0320
6.5000,12506,0.7186,0.7009,0.8804,1.2636,1.7136,400.1920
6.7500,12496,0.7109,0.6953,0.8688,1.2090,1.6563,399.8720
7.0000,12492,0.7149,0.7032,0.8725,1.1459,1.5933,399.7440
7.2500,12509,0.7257,0.6965,0.9094,1.4656,1.8726,400.2880
7.5000,12500,0.7263,0.7153,0.8859,1.2304,1.5946,400.0000
7.7500,12504,0.7217,0.7083,0.8795,1.2146,1.6332,400.1280
8.0000,12497,0.7197,0.7064,0.8863,1.2291,1.8276,399.9040
8.2500,12499,0.7099,0.6934,0.8641,1.2128,1.9216,399.9680
8.5000,12488,0.7189,0.7041,0.8869,1.2316,1.6450,399.6160
8.7500,12513,0.7260,0.6955,0.8874,1.5646,2.0056,400.4160
9.0000,12496,0.7132,0.7002,0.8743,1.1975,1.6823,399.8720
9.2500,12496,0.7233,0.6950,0.9135,1.3055,1.6813,399.8720
9.5000,12502,0.7204,0.7107,0.8710,1.2408,1.6813,400.0640
9.7500,12500,0.7231,0.7047,0.8888,1.2680,1.5203,400.0000
10.0000,12506,0.7171,0.7011,0.8858,1.2043,1.4906,400.1920
10.2500,12493,0.7204,0.7133,0.8821,1.1501,1.5133,399.7760
10.5000,12499,0.7260,0.6973,0.9207,1.3913,1.8593,399.9680
10.7500,12501,0.7296,0.7143,0.8959,1.2686,1.8723,400.0320
11.0000,12503,0.7151,0.6897,0.8878,1.3813,1.9486,400.0960
11.2500,12499,0.7110,0.7006,0.8786,1.1479,1.6501,399.9680
11.5000,12502,0.7204,0.7011,0.9017,1.2526,1.6416,400.0640
11.7500,12501,0.7259,0.7132,0.8902,1.2033,1.5840,400.0320
12.0000,12505,0.7206,0.7016,0.8922,1.3055,1.5405,400.1600
12.2500,12491,0.7088,0.6902,0.8737,1.2606,1.5676,399.7120
12.5000,12505,0.7189,0.6934,0.8876,1.4419,2.1543,400.1600
12.7500,12502,0.7192,0.6952,0.8995,1.3184,1.8086,400.0640
13.0000,12496,0.7133,0.7035,0.8781,1.1670,1.3927,399.8720
13.2500,12503,0.7166,0.6979,0.8850,1.2573,1.8703,400.0960
13.5000,12492,0.7154,0.6981,0.8860,1.1785,1.6516,399.7440
13.7500,12501,0.7098,0.6978,0.8611,1.1750,1.7904,400.0320
14.0000,12498,0.7156,0.7032,0.8782,1.1928,1.7937,399.9360
14.2500,12508,0.7222,0.7082,0.8939,1.2011,1.6183,400.2560
14.5000,12496,0.7205,0.6975,0.8953,1.3576,1.6893,399.8720
14.7500,12510,0.7241,0.7043,0.9027,1.3067,1.8086,400.3200
15.0000,12495,0.7279,0.6976,0.9232,1.3963,1.8413,399.8400
15.2500,12498,0.7186,0.6993,0.8796,1.3459,2.1629,399.9360
15.5000,12501,0.7182,0.7040,0.8781,1.1918,1.7403,400.0320
15.7500,12490,0.7233,0.7071,0.8915,1.2270,1.6826,399.6800
16.0000,12509,0.7310,0.7069,0.9002,1.3798,2.0090,400.2880
16.2500,12503,0.7253,0.7079,0.8878,1.3344,1.8034,400.0960
16.5000,12495,0.7246,0.7156,0.8802,1.1463,1.5126,399.8400
16.7500,12506,0.7070,0.6873,0.8683,1.2530,2.1661,400.1920
17.0000,12497,0.7216,0.7019,0.8985,1.2403,1.5666,399.9040
17.2500,12496,0.7194,0.7015,0.8820,1.3246,1.7552,399.8720
17.5000,12509,0.7159,0.6935,0.8891,1.2946,2.0576,400.2880
17.7500,12486,0.7373,0.7165,0.9150,1.3090,1.8580,399.5520
18.0000,12510,0.7219,0.7112,0.8768,1.2090,1.7060,400.3200
18.2500,12500,0.7290,0.7057,0.9046,1.3803,1.9391,400.0000
18.5000,12500,0.7185,0.6999,0.8814,1.3243,1.7750,400.0000
18.7500,12495,0.7245,0.7024,0.8991,1.3057,1.8156,399.8400
19.0000,12498,0.7162,0.6974,0.8841,1.2387,1.6363,399.9360
19.2500,12493,0.7259,0.7135,0.8971,1.2169,1.8176,399.7760
19.5000,12505,0.7265,0.7046,0.9021,1.4209,2.0486,400.1600
19.7500,12507,0.7210,0.7017,0.8826,1.3380,1.8563,400.2240
20.0000,12498,0.7119,0.6985,0.8755,1.1800,1.6613,399.9360
20.2500,12504,0.7172,0.7077,0.8619,1.1716,1.9297,400.1280
20.5000,12502,0.7234,0.6982,0.9039,1.3190,1.7406,400.0640
20.7500,12498,0.7393,0.7201,0.9145,1.3377,1.8262,399.9360
21.0000,12497,0.7193,0.6985,0.8926,1.2679,1.5635,399.9040
21.2500,12498,0.7077,0.6888,0.8865,1.2535,1.8356,399.9360
21.5000,12491,0.7296,0.7067,0.9101,1.3383,1.9569,399.7120
21.7500,12513,0.7309,0.7131,0.9020,1.2341,1.5083,400.4160
22.0000,12502,0.7232,0.7039,0.8905,1.2546,1.6286,400.0640
22.2500,12501,0.7188,0.7057,0.8856,1.1766,1.4992,400.0320
22.5000,12488,0.7197,0.7114,0.8780,1.1484,1.4383,399.6160
22.7500,12507,0.7320,0.7055,0.9076,1.5432,2.0613,400.2240
23.0000,12497,0.7208,0.7077,0.8849,1.3131,1.9326,399.9040
23.2500,12501,0.7226,0.6988,0.9159,1.3525,1.8916,400.0320
23.5000,12500,0.7143,0.6956,0.8890,1.2823,1.7193,400.0000
23.7500,12502,0.7159,0.6952,0.8861,1.2780,1.5936,400.0640
24.0000,12498,0.7163,0.6957,0.8879,1.3362,1.7280,399.9360
24.2500,12500,0.7264,0.7057,0.8982,1.2752,1.7256,400.0000
24.5000,12496,0.7209,0.7069,0.8909,1.2035,1.5234,399.8720
24.7500,12507,0.7070,0.6948,0.8608,1.1424,1.5973,400.2240
