time_s,n_pkts,mean_ms,p50_ms,p90_ms,p99_ms,max_ms,tput_mbps
1.2500,2499,0.2295,0.2194,0.3484,0.4416,0.6330,79.9680
1.5000,2500,0.2337,0.2244,0.3544,0.4940,0.6640,80.0000
1.7500,2498,0.2335,0.2250,0.3520,0.4530,0.6976,79.9360
2.0000,2502,0.2393,0.2290,0.3696,0.5186,0.7886,80.0640
2.2500,2499,0.2349,0.2250,0.3604,0.4960,0.7106,79.9680
2.5000,2499,0.2368,0.2264,0.3646,0.5036,0.7076,79.9680
2.7500,2501,0.2397,0.2294,0.3686,0.5040,0.6456,80.0320
3.0000,2499,0.2396,0.2288,0.3670,0.5326,0.8996,79.9680
3.2500,2501,0.2415,0.2300,0.3724,0.5336,0.8966,80.0320
3.5000,2500,0.2372,0.2270,0.3644,0.5120,0.7084,80.0000
3.7500,2500,0.2419,0.2344,0.3714,0.5260,0.6216,80.0000
4.0000,2500,0.2425,0.2354,0.3660,0.5206,0.6396,80.0000
4.2500,2500,0.2430,0.2326,0.3724,0.5356,0.7156,80.0000
4.5000,2499,0.2409,0.2324,0.3674,0.5336,0.7566,79.9680
4.7500,2501,0.2430,0.2340,0.3680,0.5246,0.7906,80.0320
5.0000,2499,0.2403,0.2280,0.3734,0.5266,0.8156,79.9680
5.2500,2501,0.2407,0.2298,0.3736,0.5280,0.7206,80.0320
5.5000,2499,0.2459,0.2350,0.3844,0.5476,0.7526,79.9680
5.7500,2502,0.2407,0.2290,0.3740,0.5276,0.6796,80.0640
6.0000,2498,0.2433,0.2341,0.3746,0.5356,0.8976,79.9360
6.2500,2502,0.2449,0.2344,0.3840,0.5266,0.7066,80.0640
6.5000,2500,0.2386,0.2300,0.3686,0.4980,0.7046,80.0000
6.7500,2498,0.2421,0.2304,0.3786,0.5266,0.7766,79.9360
7.0000,2501,0.2392,0.2288,0.3676,0.5236,0.7336,80.0320
7.2500,2500,0.2433,0.2320,0.3770,0.5366,0.8056,80.0000
7.5000,2500,0.2383,0.2280,0.3684,0.5396,0.6626,80.0000
7.7500,2499,0.2438,0.2314,0.3774,0.5416,1.0006,79.9680
8.0000,2502,0.2419,0.2330,0.3724,0.5340,0.7256,80.0640
8.2500,2499,0.2447,0.2360,0.3784,0.5376,0.8876,79.9680
8.5000,2500,0.2428,0.2348,0.3766,0.5376,0.7266,80.0000
8.7500,2500,0.2396,0.2270,0.3714,0.5276,0.7416,80.0000
9.0000,2499,0.2416,0.2294,0.3740,0.5236,0.7796,79.9680
9.2500,2501,0.2459,0.2364,0.3816,0.5376,0.8736,80.0320
9.5000,2500,0.2441,0.2350,0.3760,0.5230,0.8026,80.0000
9.7500,2500,0.2374,0.2280,0.3660,0.4960,0.6316,80.0000
10.0000,2501,0.2391,0.2300,0.3684,0.5176,0.9696,80.0320
10.2500,2498,0.2439,0.2330,0.3796,0.5280,0.8986,79.9360
10.5000,2502,0.2420,0.2314,0.3758,0.5526,0.7026,80.0640
10.7500,2500,0.2430,0.2308,0.3800,0.5276,0.7336,80.0000
11.0000,2499,0.2403,0.2300,0.3684,0.5180,0.8606,79.9680
11.2500,2500,0.2410,0.2260,0.3794,0.5246,0.6996,80.0000
11.5000,2500,0.2409,0.2330,0.3700,0.5246,0.6836,80.0000
11.7500,2499,0.2415,0.2328,0.3696,0.5326,0.8596,79.9680
12.0000,2501,0.2403,0.2298,0.3683,0.5166,0.7796,80.0320
12.2500,2500,0.2476,0.2360,0.3850,0.5370,0.7426,80.0000
12.5000,2501,0.2446,0.2338,0.3770,0.5360,0.7516,80.0320
12.7500,2498,0.2422,0.2284,0.3760,0.5550,0.9086,79.9360
13.0000,2502,0.2405,0.2298,0.3690,0.5206,0.6936,80.0640
13.2500,2499,0.2434,0.2340,0.3780,0.5276,0.8146,79.9680
13.5000,2500,0.2401,0.2300,0.3746,0.5246,0.6296,80.0000
13.7500,2500,0.2394,0.2288,0.3746,0.5410,0.8966,80.0000
14.0000,2501,0.2416,0.2328,0.3734,0.5080,0.7886,80.0320
14.2500,2500,0.2406,0.2310,0.3710,0.5216,0.7886,80.0000
14.5000,2498,0.2437,0.2304,0.3810,0.5400,0.8966,79.9360
14.7500,2500,0.2448,0.2330,0.3790,0.5386,0.8786,80.0000
15.0000,2501,0.2442,0.2334,0.3784,0.5344,0.6970,80.0320
15.2500,2501,0.2376,0.2300,0.3636,0.5156,0.6446,80.0320
15.5000,2499,0.2394,0.2280,0.3694,0.5186,0.6964,79.9680
15.7500,2500,0.2406,0.2288,0.3680,0.5366,0.7064,80.0000
16.0000,2500,0.2451,0.2370,0.3803,0.5330,0.6486,80.0000
16.2500,2500,0.2450,0.2344,0.3820,0.5346,0.6976,80.0000
16.5000,2501,0.2402,0.2318,0.3674,0.5216,0.9326,80.0320
16.7500,2500,0.2452,0.2330,0.3826,0.5300,0.6586,80.0000
17.0000,2499,0.2400,0.2298,0.3730,0.5120,0.7886,79.9680
17.2500,2500,0.2429,0.2340,0.3790,0.5280,0.8366,80.0000
17.5000,2500,0.2434,0.2320,0.3764,0.5370,0.8586,80.0000
17.7500,2499,0.2428,0.2310,0.3744,0.5570,0.9466,79.9680
18.0000,2501,0.2420,0.2290,0.3770,0.5486,0.7206,80.0320
18.2500,2500,0.2474,0.2360,0.3914,0.5363,0.9746,80.0000
18.5000,2500,0.2419,0.2320,0.3716,0.5466,0.8886,80.0000
18.7500,2501,0.2441,0.2368,0.3750,0.5180,0.6316,80.0320
19.0000,2498,0.2402,0.2288,0.3710,0.5176,0.6516,79.9360
19.2500,2499,0.2399,0.2280,0.3716,0.5060,0.6816,79.9680
19.5000,2502,0.2428,0.2328,0.3774,0.5306,0.6426,80.0640
19.7500,2500,0.2414,0.2310,0.3760,0.5126,0.6576,80.0000
20.0000,2501,0.2396,0.2280,0.3696,0.5136,0.9246,80.0320
20.2500,2499,0.2422,0.2370,0.3690,0.4966,0.9156,79.9680
20.5000,2500,0.2450,0.2340,0.3844,0.5210,0.8736,80.0000
20.7500,2501,0.2410,0.2310,0.3760,0.5136,0.8966,80.0320
21.0000,2499,0.2420,0.2308,0.3780,0.5346,0.6676,79.9680
21.2500,2501,0.2401,0.2298,0.3630,0.5190,0.7876,80.0320
21.5000,2498,0.2492,0.2380,0.3870,0.5476,0.8600,79.9360
21.7500,2500,0.2390,0.2280,0.3680,0.5096,0.9406,80.0000
22.0000,2502,0.2392,0.2294,0.3680,0.5000,0.6586,80.0640
22.2500,2498,0.2401,0.2284,0.3716,0.5036,0.6334,79.9360
22.5000,2501,0.2420,0.2280,0.3810,0.5396,0.9586,80.0320
22.7500,2499,0.2402,0.2274,0.3754,0.5128,0.8866,79.9680
23.0000,2501,0.2462,0.2360,0.3820,0.5280,1.0096,80.0320
23.2500,2501,0.2496,0.2380,0.3860,0.5566,0.9216,80.0320
23.5000,2498,0.2410,0.2308,0.3740,0.5326,0.8796,79.9360
23.7500,2502,0.2439,0.2344,0.3800,0.5180,0.7056,80.0640
24.0000,2499,0.2430,0.2340,0.3744,0.5230,0.7286,79.9680
24.2500,2499,0.2413,0.2300,0.3704,0.5056,0.8156,79.9680
24.5000,2501,0.2423,0.2330,0.3760,0.5250,0.7726,80.0320
24.7500,2499,0.2379,0.2270,0.3654,0.4960,0.7426,79.9680
