time_s,co0_ap,co1_ap,p_tid1
1.00000,0.00487,0.00287,0.75040
1.25000,0.78398,0.79734,0.74773
1.50000,0.97085,0.82750,0.77640
1.75000,0.96973,0.85972,0.79840
2.00000,0.97108,0.89514,0.81359
2.25000,0.93252,0.89973,0.82015
2.50000,0.89137,0.89902,0.81862
2.75000,0.87431,0.89654,0.81417
3.00000,0.89282,0.89943,0.81284
3.25000,0.89965,0.89330,0.81411
3.50000,0.90416,0.90051,0.81485
3.75000,0.88633,0.89590,0.81293
4.00000,0.89159,0.89870,0.81151
4.25000,0.89412,0.89633,0.81107
4.50000,0.89981,0.89742,0.81155
4.75000,0.91289,0.89723,0.81468
5.00000,0.89450,0.90073,0.81343
5.25000,0.90816,0.89703,0.81566
5.50000,0.88830,0.89876,0.81357
5.75000,0.89806,0.89840,0.81350
6.00000,0.89023,0.89610,0.81233
6.25000,0.90901,0.89549,0.81503
6.50000,0.88040,0.90178,0.81076
6.75000,0.90937,0.89464,0.81370
7.00000,0.89212,0.89765,0.81260
7.25000,0.91183,0.89757,0.81545
7.50000,0.89295,0.89637,0.81477
7.75000,0.90144,0.89991,0.81507
8.00000,0.89559,0.89938,0.81431
8.25000,0.89362,0.89910,0.81322
8.50000,0.89398,0.89495,0.81302
8.75000,0.88638,0.89691,0.81092
9.00000,0.89769,0.89853,0.81075
9.25000,0.90593,0.89908,0.81212
9.50000,0.89263,0.89611,0.81143
9.75000,0.89413,0.89723,0.81080
10.00000,0.90763,0.89709,0.81291
10.25000,0.91243,0.89484,0.81643
10.50000,0.88965,0.89854,0.81465
10.75000,0.88800,0.89780,0.81269
11.00000,0.90289,0.89675,0.81392
11.25000,0.89782,0.89790,0.81390
11.50000,0.88753,0.89696,0.81202
11.75000,0.89874,0.89957,0.81185
12.00000,0.90107,0.89923,0.81222
12.25000,0.90438,0.89910,0.81328
12.50000,0.89147,0.90100,0.81137
12.75000,0.90660,0.89229,0.81423
13.00000,0.89198,0.89630,0.81337
13.25000,0.90256,0.90371,0.81314
13.50000,0.88901,0.89953,0.81103
13.75000,0.91324,0.89759,0.81416
14.00000,0.89842,0.89895,0.81406
14.25000,0.88669,0.89529,0.81234
14.50000,0.90226,0.89634,0.81352
14.75000,0.91326,0.89633,0.81691
15.00000,0.88177,0.89883,0.81350
15.25000,0.89398,0.89813,0.81267
15.50000,0.90101,0.89455,0.81396
15.75000,0.88760,0.89907,0.81166
16.00000,0.90480,0.89430,0.81377
16.25000,0.87694,0.89683,0.80979
16.50000,0.91432,0.89620,0.81341
16.75000,0.88714,0.89487,0.81187
17.00000,0.90431,0.89999,0.81273
17.25000,0.90062,0.89558,0.81374
17.50000,0.90417,0.89612,0.81534
17.75000,0.89498,0.89723,0.81489
18.00000,0.90088,0.89761,0.81555
18.25000,0.88705,0.89792,0.81337
18.50000,0.91098,0.89754,0.81606
18.75000,0.89501,0.89646,0.81577
19.00000,0.89628,0.89600,0.81583
19.25000,0.88336,0.89480,0.81354
19.50000,0.90445,0.89966,0.81450
19.75000,0.89128,0.89824,0.81310
20.00000,0.90721,0.89733,0.81508
20.25000,0.90046,0.89725,0.81572
20.50000,0.89638,0.89748,0.81550
20.75000,0.90362,0.89902,0.81642
21.00000,0.88213,0.89575,0.81370
21.25000,0.91024,0.89642,0.81646
21.50000,0.88333,0.89760,0.81361
21.75000,0.90189,0.89166,0.81565
22.00000,0.88518,0.89503,0.81368
22.25000,0.90193,0.89905,0.81426
22.50000,0.90457,0.89703,0.81577
22.75000,0.88950,0.89651,0.81437
23.00000,0.89454,0.89758,0.81376
23.25000,0.91237,0.90287,0.81566
23.50000,0.90430,0.89436,0.81765
23.75000,0.88765,0.89845,0.81549
24.00000,0.88469,0.89909,0.81261
24.25000,0.88893,0.89416,0.81156
24.50000,0.89719,0.89688,0.81163
24.75000,0.88950,0.89596,0.81033
