time_s,co0_ap,co1_ap,p_tid1
1.00000,0.00487,0.00287,0.53878
1.25000,0.76328,0.53677,0.55328
1.50000,0.94077,0.58668,0.57207
1.75000,0.94708,0.58328,0.58611
2.00000,0.93133,0.58953,0.59399
2.25000,0.92777,0.59114,0.59903
2.50000,0.92804,0.58561,0.60326
2.75000,0.91350,0.59473,0.60398
3.00000,0.90247,0.60084,0.60289
3.25000,0.91216,0.59271,0.60386
3.50000,0.91147,0.59210,0.60456
3.75000,0.90593,0.59453,0.60432
4.00000,0.91109,0.59505,0.60450
4.25000,0.90895,0.59319,0.60468
4.50000,0.90231,0.59762,0.60375
4.75000,0.90564,0.59851,0.60325
5.00000,0.90771,0.59695,0.60326
5.25000,0.89985,0.59882,0.60241
5.50000,0.92480,0.58620,0.60530
5.75000,0.91248,0.59680,0.60508
6.00000,0.91488,0.59281,0.60560
6.25000,0.90439,0.59900,0.60439
6.50000,0.91349,0.59441,0.60481
6.75000,0.90514,0.59583,0.60428
7.00000,0.90570,0.59769,0.60373
7.25000,0.91622,0.59155,0.60491
7.50000,0.91117,0.59165,0.60533
7.75000,0.92324,0.59465,0.60620
8.00000,0.90487,0.59219,0.60567
8.25000,0.91345,0.59644,0.60546
8.50000,0.90496,0.59454,0.60488
8.75000,0.90800,0.59889,0.60418
9.00000,0.91681,0.59730,0.60458
9.25000,0.91920,0.58751,0.60623
9.50000,0.90714,0.59761,0.60522
9.75000,0.91191,0.59373,0.60535
10.00000,0.89878,0.59688,0.60402
10.25000,0.91263,0.59843,0.60401
10.50000,0.90904,0.59528,0.60409
10.75000,0.91040,0.59289,0.60454
11.00000,0.92083,0.59196,0.60579
11.25000,0.90778,0.59664,0.60508
11.50000,0.91117,0.59607,0.60491
11.75000,0.90491,0.59460,0.60448
12.00000,0.91383,0.59585,0.60473
12.25000,0.91233,0.59770,0.60456
12.50000,0.90636,0.59180,0.60469
12.75000,0.90783,0.59424,0.60460
13.00000,0.90794,0.59574,0.60436
13.25000,0.89852,0.59814,0.60316
13.50000,0.91561,0.59286,0.60431
13.75000,0.90722,0.59456,0.60424
14.00000,0.90729,0.59629,0.60399
14.25000,0.90489,0.59462,0.60383
14.50000,0.91051,0.59618,0.60398
14.75000,0.90470,0.59700,0.60352
15.00000,0.90315,0.60001,0.60271
15.25000,0.89938,0.59498,0.60245
15.50000,0.91074,0.59524,0.60314
15.75000,0.91368,0.59453,0.60394
16.00000,0.90837,0.59577,0.60393
16.25000,0.91440,0.59370,0.60465
16.50000,0.90212,0.60435,0.60290
16.75000,0.92432,0.59074,0.60506
17.00000,0.90860,0.59290,0.60508
17.25000,0.90743,0.59540,0.60470
17.50000,0.91243,0.59402,0.60499
17.75000,0.91298,0.59144,0.60556
18.00000,0.91315,0.59239,0.60585
18.25000,0.91062,0.59475,0.60557
18.50000,0.92532,0.59268,0.60677
18.75000,0.91146,0.59473,0.60628
19.00000,0.91106,0.58870,0.60664
19.25000,0.91651,0.59387,0.60669
19.50000,0.91062,0.59697,0.60589
19.75000,0.91026,0.59658,0.60535
20.00000,0.91615,0.59623,0.60547
20.25000,0.91778,0.59284,0.60610
20.50000,0.90528,0.59702,0.60505
20.75000,0.90362,0.59787,0.60408
21.00000,0.91516,0.59236,0.60497
21.25000,0.90758,0.59737,0.60440
21.50000,0.91371,0.59034,0.60533
21.75000,0.90218,0.59692,0.60428
22.00000,0.91866,0.59430,0.60515
22.25000,0.90993,0.59369,0.60515
22.50000,0.91633,0.59279,0.60577
22.75000,0.90966,0.59555,0.60534
23.00000,0.90682,0.59557,0.60481
23.25000,0.91746,0.58965,0.60600
23.50000,0.90714,0.59657,0.60518
23.75000,0.90976,0.59324,0.60521
24.00000,0.91072,0.59307,0.60533
24.25000,0.91425,0.59344,0.60565
24.50000,0.91697,0.59452,0.60596
24.75000,0.91585,0.59457,0.60608
