time_s,n_pkts,mean_ms,p50_ms,p90_ms,p99_ms,max_ms,tput_mbps
1.2500,14298,3.1214,0.8995,10.5505,21.8073,23.5789,457.5360
1.5000,13031,8.1226,0.7246,31.0007,31.9241,32.2586,416.9920
1.7500,14682,6.4750,1.0224,26.6309,29.7828,31.2606,469.8240
2.0000,14949,3.1587,1.1044,11.5008,21.6330,23.0516,478.3680
2.2500,14711,1.1847,1.1524,1.4261,1.9334,2.5655,470.7520
2.5000,14710,1.2060,1.1858,1.4555,2.0534,2.5690,470.7200
2.7500,14698,1.1914,1.1697,1.4540,1.7542,2.1953,470.3360
3.0000,14686,1.2357,1.2073,1.5699,1.8763,2.5900,469.9520
3.2500,14730,1.1770,1.1334,1.4691,2.0921,2.5697,471.3600
3.5000,14697,1.2356,1.2056,1.5716,1.8479,2.3695,470.3040
3.7500,14711,1.2147,1.1929,1.4910,1.9667,2.4239,470.7520
4.0000,14699,1.2636,1.2576,1.5761,1.8126,2.2801,470.3680
4.2500,14713,1.2030,1.1788,1.4355,2.0380,2.5219,470.8160
4.5000,14688,1.2440,1.1837,1.6153,2.1400,2.5826,470.0160
4.7500,14723,1.2072,1.1524,1.5566,2.1966,2.9674,471.1360
5.0000,14712,1.2808,1.2786,1.5835,1.8636,2.3696,470.7840
5.2500,14701,1.2302,1.1873,1.6262,1.8933,2.3895,470.4320
5.5000,14697,1.2709,1.2026,1.8107,2.0754,2.2154,470.3040
5.7500,14714,1.2022,1.1880,1.4566,1.8097,2.3373,470.8480
6.0000,14703,1.2001,1.1533,1.4997,2.1550,2.6059,470.4960
6.2500,14714,1.1907,1.1426,1.4897,2.0406,2.8786,470.8480
6.5000,14686,1.2337,1.1775,1.5814,2.4246,2.9066,469.9520
6.7500,14716,1.2431,1.2164,1.5076,2.0535,3.2430,470.9120
7.0000,14709,1.2398,1.2190,1.5375,1.8185,2.3036,470.6880
7.2500,14711,1.2189,1.1848,1.5149,1.8672,2.4367,470.7520
7.5000,14709,1.2440,1.1987,1.6326,2.1364,2.6005,470.6880
7.7500,14698,1.2446,1.2159,1.5722,1.9606,2.4156,470.3360
8.0000,14715,1.2132,1.1689,1.5233,2.0621,2.6519,470.8800
8.2500,14685,1.3520,1.2641,1.8803,2.1438,2.5749,469.9200
8.5000,14728,1.1973,1.1708,1.4697,1.8431,2.3371,471.2960
8.7500,14703,1.1979,1.1666,1.4815,2.0800,2.6246,470.4960
9.0000,14707,1.2666,1.2130,1.6531,2.1456,2.8099,470.6240
9.2500,14705,1.2183,1.1994,1.4783,1.9761,2.7515,470.5600
9.5000,14697,1.2174,1.1722,1.5293,2.1113,2.6393,470.3040
9.7500,14709,1.1898,1.1364,1.4556,2.2035,2.5704,470.6880
10.0000,14700,1.3353,1.2284,1.9753,2.3581,2.5793,470.4000
10.2500,14718,1.1989,1.1841,1.4403,2.0770,2.9980,470.9760
10.5000,14690,1.1867,1.1491,1.4415,1.9897,2.5646,470.0800
10.7500,14722,1.2224,1.1782,1.5431,2.1130,2.6906,471.1040
11.0000,14693,1.2158,1.1895,1.5203,1.7956,2.3580,470.1760
11.2500,14709,1.1998,1.1376,1.5941,1.9636,2.3301,470.6880
11.5000,14705,1.2253,1.2052,1.5352,1.7783,2.3992,470.5600
11.7500,14718,1.2933,1.2393,1.7366,2.2303,2.6893,470.9760
12.0000,14673,1.2055,1.1558,1.5184,2.1711,2.6646,469.5360
12.2500,14727,1.3033,1.2294,1.8139,2.1866,2.3727,471.2640
12.5000,14715,1.1853,1.1626,1.4456,2.0474,3.0419,470.8800
12.7500,14705,1.1907,1.1360,1.5245,2.1476,2.5835,470.5600
13.0000,14709,1.2375,1.2329,1.5236,1.8698,2.3422,470.6880
13.2500,14701,1.1894,1.1466,1.4698,2.1123,2.6920,470.4320
13.5000,14696,1.2207,1.1833,1.5409,1.8487,2.3000,470.2720
13.7500,14711,1.1787,1.1316,1.4523,2.0048,2.5319,470.7520
14.0000,14702,1.1973,1.1760,1.4523,1.9390,2.3785,470.4640
14.2500,14705,1.2395,1.2180,1.5468,1.8520,2.4691,470.5600
14.5000,14703,1.2238,1.2117,1.4775,1.9397,2.5909,470.4960
14.7500,14712,1.2032,1.1590,1.5054,2.0626,2.6522,470.7840
15.0000,14709,1.1752,1.1298,1.4696,2.1391,2.7719,470.6880
15.2500,14706,1.2499,1.2105,1.5441,2.2936,3.1029,470.5920
15.5000,14706,1.2563,1.2054,1.6137,2.1006,2.4016,470.5920
