time_s,n_pkts,mean_ms,p50_ms,p90_ms,p99_ms,max_ms,tput_mbps
1.2500,4893,0.3143,0.3019,0.4450,0.6035,0.9320,186.5920
1.5000,4904,0.3085,0.2972,0.4358,0.5840,0.6740,187.0400
1.7500,4902,0.3086,0.2954,0.4344,0.5940,0.7510,186.9120
2.0000,4905,0.3137,0.3031,0.4410,0.5850,0.6710,186.9760
2.2500,4902,0.3110,0.2980,0.4364,0.6029,1.0630,187.0080
2.5000,4902,0.3151,0.3029,0.4470,0.6049,0.8030,186.9440
2.7500,4896,0.3136,0.3014,0.4450,0.5975,0.7550,186.7200
3.0000,4906,0.3124,0.3001,0.4374,0.5905,0.9240,187.0720
3.2500,4901,0.3097,0.2999,0.4340,0.5701,0.6620,186.8480
3.5000,4903,0.3101,0.3016,0.4323,0.5740,0.7604,187.0080
3.7500,4902,0.3118,0.2990,0.4414,0.5850,0.6764,186.9760
4.0000,4900,0.3152,0.3028,0.4450,0.6050,0.7344,186.8480
4.2500,4905,0.3102,0.2989,0.4370,0.5930,0.7524,187.0720
4.5000,4901,0.3108,0.2989,0.4380,0.5780,0.7314,186.8160
4.7500,4900,0.3105,0.2979,0.4370,0.5911,0.7790,186.9760
5.0000,4899,0.3098,0.2972,0.4388,0.5950,0.7180,186.7840
5.2500,4906,0.3063,0.2960,0.4290,0.5805,0.6834,187.0720
5.5000,4905,0.3111,0.3001,0.4364,0.5880,0.7140,187.1040
5.7500,4900,0.3144,0.3019,0.4478,0.5890,0.7530,186.8160
6.0000,4903,0.3128,0.3008,0.4387,0.6080,0.8950,186.9760
6.2500,4899,0.3114,0.2975,0.4390,0.6060,1.0290,186.8480
6.5000,4900,0.3102,0.2991,0.4354,0.5900,0.8720,186.8480
6.7500,4908,0.3100,0.2975,0.4377,0.5891,0.7534,187.2000
7.0000,4903,0.3126,0.3018,0.4404,0.5955,0.7744,186.9120
7.2500,4901,0.3103,0.2975,0.4410,0.5845,0.6730,186.9120
7.5000,4900,0.3184,0.3055,0.4491,0.6260,0.9320,186.8160
7.7500,4899,0.3160,0.3030,0.4484,0.6175,0.8730,186.9440
8.0000,4900,0.3165,0.3040,0.4489,0.5995,0.7350,186.8160
8.2500,4904,0.3128,0.3028,0.4394,0.5835,0.6730,187.0400
8.5000,4901,0.3173,0.3026,0.4566,0.6128,0.9240,186.9120
8.7500,4907,0.3104,0.2981,0.4397,0.5845,0.6740,187.1040
9.0000,4897,0.3074,0.2946,0.4314,0.6040,0.8100,186.7520
9.2500,4904,0.3115,0.3001,0.4404,0.5920,0.7350,187.0080
9.5000,4904,0.3157,0.3056,0.4456,0.5930,0.7140,186.9440
9.7500,4904,0.3173,0.3061,0.4500,0.6040,0.7120,187.0400
10.0000,4901,0.3104,0.2989,0.4390,0.5857,0.7160,186.9760
10.2500,4899,0.3093,0.2995,0.4330,0.5692,0.7424,186.7840
10.5000,4906,0.3084,0.2969,0.4376,0.5757,0.6730,187.0720
10.7500,4900,0.3137,0.3021,0.4436,0.5855,0.6650,186.9120
11.0000,4901,0.3129,0.2995,0.4454,0.6000,0.8890,186.8160
11.2500,4904,0.3098,0.2995,0.4330,0.5970,0.7190,187.0720
11.5000,4898,0.3064,0.2960,0.4258,0.5830,0.6710,186.7520
11.7500,4904,0.3099,0.2975,0.4414,0.5850,0.7160,187.0720
12.0000,4902,0.3163,0.3041,0.4480,0.6035,0.7790,186.9120
12.2500,4904,0.3100,0.3002,0.4334,0.5815,0.6490,186.9760
12.5000,4901,0.3083,0.2971,0.4334,0.5745,0.7090,186.9760
12.7500,4899,0.3107,0.2985,0.4364,0.5970,0.7510,186.7840
13.0000,4903,0.3092,0.2958,0.4324,0.6040,1.0580,186.9440
13.2500,4905,0.3127,0.3040,0.4370,0.5840,0.7330,187.1040
13.5000,4899,0.3132,0.3028,0.4400,0.5948,0.7200,186.8160
13.7500,4905,0.3088,0.2975,0.4344,0.5840,0.8770,187.0720
14.0000,4901,0.3101,0.3009,0.4326,0.5840,0.7370,186.8800
14.2500,4903,0.3051,0.2971,0.4237,0.5475,0.6534,186.9440
14.5000,4897,0.3100,0.2981,0.4298,0.5960,1.0720,186.8480
14.7500,4903,0.3152,0.3045,0.4420,0.5880,0.7160,186.9760
15.0000,4904,0.3164,0.3035,0.4523,0.5990,0.7344,186.9440
15.2500,4899,0.3104,0.2978,0.4404,0.6000,0.7480,186.8800
15.5000,4904,0.3080,0.2951,0.4344,0.5850,0.8940,187.0400
15.7500,4904,0.3094,0.2985,0.4408,0.5695,0.6630,187.0080
16.0000,4898,0.3115,0.2976,0.4384,0.6219,0.9950,186.7520
16.2500,4905,0.3094,0.2999,0.4274,0.5980,0.8960,187.0080
16.5000,4903,0.3135,0.3011,0.4433,0.5935,0.7110,187.0080
16.7500,4900,0.3129,0.3019,0.4438,0.5895,0.7780,186.8800
17.0000,4898,0.3086,0.2968,0.4334,0.5871,0.9130,186.8160
17.2500,4903,0.3085,0.2988,0.4293,0.5681,0.7354,186.9760
17.5000,4907,0.3100,0.2994,0.4354,0.5905,0.8500,187.0400
17.7500,4902,0.3141,0.3021,0.4438,0.5970,0.8690,186.9440
18.0000,4902,0.3045,0.2945,0.4258,0.5630,0.7090,186.9760
18.2500,4899,0.3136,0.3021,0.4378,0.5991,0.8910,186.7840
18.5000,4905,0.3134,0.3020,0.4423,0.5920,0.7280,187.0720
18.7500,4898,0.3066,0.2958,0.4258,0.5925,0.9210,186.7840
19.0000,4903,0.3131,0.2988,0.4443,0.6000,1.0410,187.0400
19.2500,4902,0.3157,0.3015,0.4504,0.6119,0.7654,186.9440
19.5000,4902,0.3146,0.3000,0.4443,0.6169,1.0980,186.9440
19.7500,4902,0.3111,0.3012,0.4377,0.5735,0.7694,186.8480
20.0000,4904,0.3117,0.3005,0.4404,0.5855,0.7344,187.0720
20.2500,4902,0.3157,0.3035,0.4440,0.5985,0.8170,186.9440
20.5000,4902,0.3139,0.3015,0.4430,0.6079,0.9430,186.9760
20.7500,4900,0.3129,0.3018,0.4434,0.5905,0.7200,186.7840
21.0000,4904,0.3074,0.2971,0.4278,0.5830,0.7390,187.0400
21.2500,4901,0.3081,0.2950,0.4364,0.5950,0.7654,186.8800
21.5000,4904,0.3120,0.3001,0.4394,0.5870,0.7214,186.9760
21.7500,4900,0.3145,0.3005,0.4464,0.6020,1.0230,186.9440
22.0000,4903,0.3122,0.3020,0.4354,0.5931,0.7170,186.9760
22.2500,4902,0.3149,0.3016,0.4444,0.6110,1.0070,186.8480
22.5000,4901,0.3178,0.3051,0.4500,0.6020,0.6740,187.0080
22.7500,4900,0.3153,0.3015,0.4470,0.6182,1.0140,186.8800
23.0000,4904,0.3159,0.3029,0.4414,0.6105,1.1040,187.0080
23.2500,4903,0.3110,0.3004,0.4370,0.5850,0.7130,186.9120
23.5000,4898,0.3081,0.2970,0.4318,0.5897,0.8160,186.8480
23.7500,4899,0.3074,0.2951,0.4320,0.5915,0.9980,186.8160
24.0000,4909,0.3101,0.2989,0.4330,0.5940,0.8490,187.2000
24.2500,4900,0.3142,0.3012,0.4474,0.5980,0.7140,186.8800
24.5000,4901,0.3072,0.2948,0.4294,0.5950,1.0030,186.9120
24.7500,4903,0.3114,0.2981,0.4421,0.5955,0.7374,186.9440
