time_s,co0_ap,co1_ap,p_tid1
1.00000,0.00481,0.00288,0.75039
1.25000,0.81137,0.76802,0.75905
1.50000,0.97296,0.84282,0.78508
1.75000,0.97275,0.89342,0.80095
2.00000,0.97336,0.89741,0.81614
2.25000,0.92585,0.89908,0.82149
2.50000,0.88126,0.89889,0.81797
2.75000,0.87283,0.89404,0.81373
3.00000,0.90540,0.89731,0.81534
3.25000,0.89786,0.89871,0.81518
3.50000,0.89451,0.89842,0.81439
3.75000,0.89030,0.89709,0.81303
4.00000,0.90014,0.89401,0.81426
4.25000,0.89766,0.89546,0.81470
4.50000,0.89705,0.89612,0.81489
4.75000,0.88228,0.90054,0.81124
5.00000,0.90390,0.89592,0.81283
5.25000,0.90057,0.89791,0.81336
5.50000,0.88715,0.89835,0.81112
5.75000,0.90590,0.89398,0.81351
6.00000,0.89536,0.89664,0.81325
6.25000,0.90687,0.89571,0.81548
6.50000,0.87894,0.89594,0.81208
6.75000,0.89959,0.89596,0.81281
7.00000,0.89958,0.89729,0.81327
7.25000,0.89394,0.89803,0.81245
7.50000,0.89816,0.89446,0.81319
7.75000,0.90438,0.89494,0.81508
8.00000,0.88541,0.89699,0.81276
8.25000,0.88921,0.90096,0.81041
8.50000,0.91305,0.89912,0.81320
8.75000,0.91426,0.89362,0.81732
9.00000,0.88333,0.89981,0.81403
9.25000,0.88240,0.90051,0.81041
9.50000,0.89860,0.89930,0.81026
9.75000,0.89991,0.89659,0.81093
10.00000,0.89684,0.89884,0.81053
10.25000,0.89881,0.89591,0.81111
10.50000,0.90426,0.89461,0.81304
10.75000,0.91291,0.90082,0.81546
11.00000,0.90238,0.89555,0.81682
11.25000,0.89195,0.89716,0.81578
11.50000,0.89713,0.89798,0.81561
11.75000,0.89796,0.89574,0.81606
12.00000,0.89522,0.89665,0.81577
12.25000,0.88398,0.89674,0.81322
12.50000,0.90848,0.89636,0.81564
12.75000,0.89169,0.90001,0.81398
13.00000,0.88581,0.89314,0.81252
13.25000,0.91090,0.89588,0.81552
13.50000,0.90693,0.89738,0.81743
13.75000,0.87890,0.89730,0.81375
14.00000,0.89223,0.89833,0.81253
14.25000,0.90339,0.89792,0.81362
14.50000,0.89843,0.89690,0.81393
14.75000,0.90072,0.89581,0.81491
15.00000,0.89853,0.89690,0.81524
15.25000,0.88160,0.90047,0.81146
15.50000,0.91171,0.89309,0.81519
15.75000,0.88275,0.89957,0.81182
16.00000,0.87800,0.89684,0.80805
16.25000,0.91125,0.89622,0.81106
16.50000,0.90623,0.89803,0.81270
16.75000,0.88810,0.90048,0.81023
17.00000,0.90061,0.89678,0.81099
17.25000,0.90240,0.89475,0.81252
17.50000,0.90888,0.89793,0.81471
17.75000,0.89977,0.89757,0.81515
18.00000,0.90092,0.89700,0.81594
18.25000,0.89671,0.89794,0.81569
18.50000,0.88790,0.89278,0.81471
18.75000,0.89635,0.89925,0.81413
19.00000,0.90329,0.89567,0.81566
19.25000,0.89169,0.89678,0.81464
19.50000,0.88662,0.89994,0.81198
19.75000,0.90613,0.89725,0.81375
20.00000,0.88548,0.89967,0.81091
20.25000,0.91024,0.89609,0.81374
20.50000,0.89440,0.89900,0.81282
20.75000,0.89850,0.89687,0.81315
21.00000,0.90728,0.89430,0.81575
21.25000,0.88175,0.89623,0.81285
21.50000,0.90087,0.89903,0.81322
21.75000,0.89458,0.89722,0.81269
22.00000,0.88621,0.90035,0.80986
22.25000,0.90761,0.89690,0.81200
22.50000,0.89917,0.89825,0.81219
22.75000,0.89454,0.90093,0.81091
23.00000,0.90033,0.89532,0.81191
23.25000,0.90341,0.89877,0.81284
23.50000,0.89352,0.90233,0.81108
23.75000,0.90879,0.89972,0.81289
24.00000,0.88231,0.90038,0.80928
24.25000,0.91561,0.90036,0.81233
24.50000,0.90203,0.90184,0.81236
24.75000,0.90068,0.90115,0.81227
