time_s,n_pkts,mean_ms,p50_ms,p90_ms,p99_ms,max_ms,tput_mbps
1.2500,13973,7.0610,2.5248,30.1845,32.9496,33.7038,447.1360
1.5000,13860,7.9154,0.9161,30.5519,32.2504,33.0454,443.5200
1.7500,15294,6.9380,1.5742,26.6637,30.3713,31.5534,489.4080
2.0000,15452,6.8829,3.5509,22.1244,25.6452,26.5128,494.4640
2.2500,15204,7.1342,8.2816,9.0290,9.6241,11.5681,486.5280
2.5000,14850,7.4870,8.8125,9.1815,9.4008,9.5369,475.2000
2.7500,14740,7.5771,8.9349,9.2508,9.5605,9.6766,471.6800
3.0000,14999,7.3751,8.6875,9.0884,9.3099,9.4326,479.9680
3.2500,14982,7.4171,8.7389,9.1095,9.2727,9.3686,479.4240
3.5000,14954,7.4128,8.7428,9.0927,9.3076,9.4645,478.5280
3.7500,14878,7.4746,8.8402,9.1442,9.3885,9.7226,476.0960
4.0000,14937,7.4164,8.7232,9.1309,9.3437,9.5140,477.9840
4.2500,14934,7.4250,8.7271,9.1375,9.4129,9.5696,477.8880
4.5000,14917,7.4341,8.7637,9.1683,9.3847,9.5451,477.3440
4.7500,14907,7.4637,8.8087,9.0892,9.3505,9.4777,477.0240
5.0000,14956,7.4076,8.7421,9.0980,9.2821,9.3727,478.5920
5.2500,14999,7.3951,8.7154,9.1530,9.3822,9.5711,479.9680
5.5000,14875,7.4892,8.8655,9.1453,9.3788,9.4867,476.0000
5.7500,14955,7.3966,8.7004,9.1584,9.3522,9.5445,478.5600
6.0000,14917,7.4372,8.7837,9.1080,9.3036,9.4365,477.3440
6.2500,15005,7.3665,8.6659,9.0723,9.2433,9.3958,480.1600
6.5000,14808,7.5350,8.9078,9.1867,9.3907,9.5238,473.8560
6.7500,14961,7.4094,8.7076,9.1073,9.3628,9.5287,478.7520
7.0000,14971,7.3936,8.6912,9.1197,9.2787,9.3797,479.0720
7.2500,14942,7.4371,8.7693,9.1104,9.3105,9.4385,478.1440
7.5000,14920,7.4152,8.6964,9.1626,9.4993,9.6412,477.4400
7.7500,14959,7.4120,8.7030,9.1772,9.4577,9.6406,478.6880
8.0000,14868,7.4829,8.8359,9.1483,9.4199,9.5803,475.7760
8.2500,14938,7.4386,8.7841,9.0767,9.3844,9.5519,478.0160
8.5000,15084,7.3325,8.6138,9.0481,9.2599,9.4046,482.6880
8.7500,15017,7.3393,8.5962,9.0604,9.2238,9.2990,480.5440
9.0000,14889,7.4625,8.7793,9.1092,9.4749,9.6768,476.4480
9.2500,14900,7.4719,8.8204,9.1293,9.2670,9.4333,476.8000
9.5000,14969,7.4069,8.7400,9.0754,9.3994,9.5267,479.0080
9.7500,14967,7.4113,8.7723,9.0601,9.1931,9.2740,478.9440
10.0000,14956,7.4224,8.7569,9.1100,9.2725,9.4943,478.5920
10.2500,14947,7.4298,8.7620,9.1363,9.4223,9.6333,478.3040
10.5000,14941,7.3869,8.7245,9.0597,9.2274,9.6553,478.1120
10.7500,15112,7.3086,8.4828,9.0702,9.5487,9.6997,483.5840
11.0000,14974,7.3781,8.6498,9.0819,9.2704,9.5104,479.1680
11.2500,14920,7.4368,8.7404,9.1219,9.4110,9.5707,477.4400
11.5000,14972,7.3986,8.7133,9.0767,9.2770,9.5438,479.1040
11.7500,14925,7.4261,8.7559,9.1241,9.3677,9.7234,477.6000
12.0000,14946,7.4361,8.7744,9.1447,9.3983,9.5326,478.2720
12.2500,14849,7.4947,8.8473,9.1447,9.3838,9.4893,475.1680
12.5000,15016,7.3657,8.6410,9.0972,9.3513,9.4549,480.5120
12.7500,14946,7.4018,8.6781,9.1077,9.5753,9.7031,478.2720
13.0000,14831,7.5202,8.8732,9.2529,9.4958,9.6452,474.5920
13.2500,15027,7.3538,8.6154,9.0720,9.3233,9.5964,480.8640
13.5000,14997,7.3788,8.6792,9.0488,9.2283,9.3572,479.9040
13.7500,14843,7.4987,8.8634,9.1761,9.3318,9.5084,474.9760
14.0000,14926,7.4362,8.7730,9.1145,9.4155,9.6305,477.6320
14.2500,15020,7.3662,8.6426,9.0589,9.2468,9.4075,480.6400
14.5000,14934,7.4356,8.7598,9.1184,9.2842,9.4714,477.8880
14.7500,14974,7.3905,8.6912,9.0764,9.4537,9.5803,479.1680
15.0000,14954,7.4185,8.7293,9.1239,9.3006,9.4263,478.5280
15.2500,14884,7.4647,8.8078,9.1081,9.3949,9.5784,476.2880
15.5000,14996,7.3723,8.6198,9.1483,9.4127,9.5960,479.8720
15.7500,14888,7.4539,8.7983,9.1053,9.5846,9.7503,476.4160
16.0000,14822,7.5322,8.9137,9.1726,9.3024,9.4654,474.3040
16.2500,15024,7.3391,8.6128,9.0672,9.3104,9.4517,480.7680
16.5000,15019,7.3548,8.6300,9.0652,9.3453,9.5747,480.6080
16.7500,14927,7.4446,8.7664,9.1268,9.4137,9.5717,477.6640
17.0000,14971,7.4217,8.7577,9.1095,9.3111,9.4863,479.0720
17.2500,14953,7.3951,8.6980,9.1121,9.4158,9.5812,478.4960
17.5000,15040,7.3509,8.6577,9.0139,9.2553,9.3893,481.2800
17.7500,14966,7.4113,8.7429,9.1023,9.3589,9.5978,478.9120
18.0000,14968,7.4033,8.7213,9.1249,9.3818,9.5158,478.9760
18.2500,14969,7.4139,8.7218,9.0942,9.2911,9.4490,479.0080
18.5000,14818,7.5050,8.8687,9.1879,9.3376,9.5081,474.1760
18.7500,14976,7.4050,8.7377,9.0623,9.2138,9.3336,479.2320
19.0000,14961,7.4023,8.7218,9.0917,9.2307,9.3956,478.7520
19.2500,14904,7.4742,8.8456,9.1300,9.2995,9.5104,476.9280
19.5000,14915,7.4514,8.7844,9.0991,9.3674,9.4806,477.2800
19.7500,15006,7.3907,8.7176,9.0726,9.2278,9.3501,480.1920
20.0000,14912,7.4475,8.8022,9.1234,9.3117,9.4445,477.1840
20.2500,15030,7.3726,8.6767,9.0858,9.2485,9.3315,480.9600
20.5000,14954,7.4111,8.7119,9.1491,9.3088,9.5324,478.5280
20.7500,14950,7.4056,8.6730,9.1688,9.4541,9.6425,478.4000
21.0000,14975,7.3961,8.7174,9.0780,9.4421,9.5916,479.2000
