time_s,co0_ap,co1_ap,p_tid1
1.00000,0.00472,0.00277,0.75039
1.25000,0.75373,0.55704,0.78973
1.50000,0.80208,0.75380,0.79939
1.75000,0.76168,0.76249,0.79922
2.00000,0.78453,0.75396,0.80534
2.25000,0.78381,0.75620,0.81086
2.50000,0.75187,0.76557,0.80812
2.75000,0.75999,0.76252,0.80761
3.00000,0.77291,0.76329,0.80954
3.25000,0.77832,0.75536,0.81413
3.50000,0.74958,0.76422,0.81120
3.75000,0.76408,0.75864,0.81229
4.00000,0.75802,0.76335,0.81122
4.25000,0.76748,0.76168,0.81238
4.50000,0.75745,0.76163,0.81154
4.75000,0.75322,0.76559,0.80907
5.00000,0.77183,0.75864,0.81171
5.25000,0.75068,0.76223,0.80940
5.50000,0.75309,0.76364,0.80729
5.75000,0.75584,0.76106,0.80625
6.00000,0.76662,0.76192,0.80719
6.25000,0.76213,0.76354,0.80691
6.50000,0.75325,0.76005,0.80554
6.75000,0.75510,0.76218,0.80413
7.00000,0.76051,0.76060,0.80411
7.25000,0.77985,0.75570,0.80894
7.50000,0.75123,0.76095,0.80700
7.75000,0.78098,0.75858,0.81148
8.00000,0.75718,0.76182,0.81055
8.25000,0.75832,0.76129,0.80995
8.50000,0.75617,0.76281,0.80863
8.75000,0.76372,0.75979,0.80941
9.00000,0.76055,0.76399,0.80872
9.25000,0.75076,0.76630,0.80562
9.50000,0.76737,0.76164,0.80676
9.75000,0.75945,0.76581,0.80549
10.00000,0.76235,0.76215,0.80553
10.25000,0.76431,0.76313,0.80577
10.50000,0.77946,0.75671,0.81032
10.75000,0.75740,0.76247,0.80930
11.00000,0.75661,0.76116,0.80839
11.25000,0.78002,0.75697,0.81300
11.50000,0.74741,0.76480,0.80952
11.75000,0.75644,0.76011,0.80879
12.00000,0.75594,0.76266,0.80745
12.25000,0.76327,0.76157,0.80779
12.50000,0.74742,0.76602,0.80407
12.75000,0.77316,0.75978,0.80674
13.00000,0.76573,0.76239,0.80741
13.25000,0.75363,0.76082,0.80597
13.50000,0.77460,0.75680,0.80953
13.75000,0.75432,0.76253,0.80789
14.00000,0.76310,0.76183,0.80814
14.25000,0.75405,0.76240,0.80647
14.50000,0.76977,0.75844,0.80874
14.75000,0.76267,0.76012,0.80925
15.00000,0.75689,0.76210,0.80821
15.25000,0.75999,0.76242,0.80772
15.50000,0.77209,0.75897,0.81034
15.75000,0.77790,0.76021,0.81388
16.00000,0.75112,0.76117,0.81187
16.25000,0.75909,0.75895,0.81190
16.50000,0.76561,0.76162,0.81270
16.75000,0.75376,0.76380,0.81069
17.00000,0.75253,0.76193,0.80881
17.25000,0.74818,0.76677,0.80509
17.50000,0.75821,0.76333,0.80406
17.75000,0.76255,0.76137,0.80430
18.00000,0.77237,0.75883,0.80701
18.25000,0.74444,0.76570,0.80276
18.50000,0.78116,0.75549,0.80789
18.75000,0.76467,0.76275,0.80827
19.00000,0.75880,0.76033,0.80797
19.25000,0.75704,0.76390,0.80660
19.50000,0.77468,0.75845,0.80984
19.75000,0.75844,0.75896,0.80974
20.00000,0.76029,0.76197,0.80940
20.25000,0.76327,0.75896,0.81027
20.50000,0.75005,0.76498,0.80728
20.75000,0.76610,0.75837,0.80883
21.00000,0.75308,0.76340,0.80676
21.25000,0.76372,0.76249,0.80701
21.50000,0.75836,0.76240,0.80620
21.75000,0.76074,0.76560,0.80523
22.00000,0.76512,0.75858,0.80654
22.25000,0.75384,0.76643,0.80402
22.50000,0.76605,0.76310,0.80461
22.75000,0.75241,0.76049,0.80299
23.00000,0.77608,0.75933,0.80634
23.25000,0.76665,0.75976,0.80772
23.50000,0.76178,0.75810,0.80846
23.75000,0.76299,0.76077,0.80890
24.00000,0.74283,0.76093,0.80528
24.25000,0.76468,0.76058,0.80610
24.50000,0.76854,0.76066,0.80768
24.75000,0.75773,0.76205,0.80681
