time_s,co0_ap,co1_ap,p_tid1
1.00000,0.00487,0.00287,0.75040
1.25000,0.29084,0.50377,0.70781
1.50000,0.40212,0.53650,0.68094
1.75000,0.44179,0.52707,0.66388
2.00000,0.46716,0.51933,0.65345
2.25000,0.50688,0.50650,0.65352
2.50000,0.51004,0.50658,0.65421
2.75000,0.48876,0.51489,0.64899
3.00000,0.49759,0.51047,0.64641
3.25000,0.50984,0.50787,0.64680
3.50000,0.49601,0.50973,0.64406
3.75000,0.51895,0.50183,0.64748
4.00000,0.48289,0.51316,0.64143
4.25000,0.50543,0.51276,0.63996
4.50000,0.49975,0.50697,0.63852
4.75000,0.49043,0.50926,0.63475
5.00000,0.49881,0.50863,0.63279
5.25000,0.51437,0.50591,0.63448
5.50000,0.49257,0.51311,0.63037
5.75000,0.50990,0.50806,0.63074
6.00000,0.50995,0.50912,0.63091
6.25000,0.50471,0.50491,0.63086
6.50000,0.51963,0.50121,0.63455
6.75000,0.49226,0.51711,0.62958
7.00000,0.53140,0.49986,0.63589
7.25000,0.48796,0.51407,0.63066
7.50000,0.50667,0.50859,0.63028
7.75000,0.50001,0.50978,0.62833
8.00000,0.51495,0.50554,0.63021
8.25000,0.50939,0.50721,0.63064
8.50000,0.50183,0.51219,0.62857
8.75000,0.52199,0.50039,0.63289
9.00000,0.47552,0.51837,0.62432
9.25000,0.51491,0.50634,0.62604
9.50000,0.52749,0.50319,0.63090
9.75000,0.53663,0.49416,0.63939
10.00000,0.49784,0.51141,0.63668
10.25000,0.51747,0.50268,0.63964
10.50000,0.50275,0.50730,0.63873
10.75000,0.51586,0.50459,0.64098
11.00000,0.49069,0.51700,0.63572
11.25000,0.48943,0.50903,0.63180
11.50000,0.51109,0.50760,0.63250
11.75000,0.51216,0.50020,0.63489
12.00000,0.50735,0.50640,0.63508
12.25000,0.48876,0.51331,0.63017
12.50000,0.50248,0.51017,0.62863
12.75000,0.50874,0.50900,0.62858
13.00000,0.52131,0.50587,0.63167
13.25000,0.50873,0.50290,0.63284
13.50000,0.50078,0.50946,0.63110
13.75000,0.51355,0.49696,0.63442
14.00000,0.54009,0.49497,0.64344
14.25000,0.49561,0.50965,0.64063
14.50000,0.49937,0.51106,0.63830
14.75000,0.49910,0.50740,0.63664
15.00000,0.50674,0.50329,0.63733
15.25000,0.50985,0.50804,0.63769
15.50000,0.50064,0.50786,0.63624
15.75000,0.48966,0.51244,0.63169
16.00000,0.49134,0.50856,0.62824
16.25000,0.52204,0.50388,0.63188
16.50000,0.52083,0.50148,0.63574
16.75000,0.50317,0.50877,0.63463
17.00000,0.51535,0.50183,0.63733
17.25000,0.52248,0.49626,0.64257
17.50000,0.49067,0.51423,0.63786
17.75000,0.51357,0.50196,0.64018
18.00000,0.50091,0.51186,0.63799
18.25000,0.49879,0.50545,0.63666
18.50000,0.48426,0.51514,0.63049
18.75000,0.50699,0.50244,0.63140
19.00000,0.50983,0.50982,0.63140
19.25000,0.51922,0.50151,0.63494
19.50000,0.49243,0.51249,0.63093
19.75000,0.52746,0.50207,0.63601
20.00000,0.48433,0.51555,0.62976
20.25000,0.53936,0.49749,0.63814
20.50000,0.50626,0.50708,0.63797
20.75000,0.48868,0.51994,0.63172
21.00000,0.51674,0.50004,0.63506
21.25000,0.49648,0.50896,0.63256
21.50000,0.50176,0.50492,0.63193
21.75000,0.50210,0.50831,0.63069
22.00000,0.50264,0.50841,0.62954
22.25000,0.52315,0.50457,0.63325
22.50000,0.50973,0.50692,0.63381
22.75000,0.50968,0.50829,0.63409
23.00000,0.52417,0.50405,0.63812
23.25000,0.48715,0.51233,0.63308
23.50000,0.51142,0.51056,0.63325
23.75000,0.49911,0.50890,0.63129
24.00000,0.50136,0.50814,0.62994
24.25000,0.49779,0.50985,0.62753
24.50000,0.52016,0.50462,0.63063
24.75000,0.50377,0.50417,0.63056
