time_s,co0_ap,co1_ap,p_tid1
1.00000,0.00472,0.00277,0.75039
1.25000,0.34040,0.40759,0.73695
1.50000,0.37519,0.54319,0.70335
1.75000,0.40940,0.53848,0.67754
2.00000,0.45758,0.52248,0.66456
2.25000,0.47175,0.52201,0.65451
2.50000,0.46646,0.52064,0.64367
2.75000,0.51710,0.50023,0.64704
3.00000,0.48211,0.51372,0.64072
3.25000,0.48608,0.51465,0.63501
3.50000,0.50803,0.51197,0.63422
3.75000,0.50899,0.50716,0.63459
4.00000,0.51398,0.50024,0.63733
4.25000,0.51734,0.50640,0.63952
4.50000,0.51154,0.50691,0.64045
4.75000,0.48230,0.51382,0.63414
5.00000,0.50337,0.51172,0.63247
5.25000,0.50828,0.51168,0.63179
5.50000,0.51252,0.50660,0.63298
5.75000,0.51554,0.50751,0.63459
6.00000,0.52263,0.50121,0.63887
6.25000,0.48068,0.51887,0.63123
6.50000,0.51681,0.50312,0.63397
6.75000,0.50916,0.50190,0.63542
7.00000,0.47510,0.51873,0.62669
7.25000,0.50440,0.50633,0.62631
7.50000,0.52043,0.49809,0.63077
7.75000,0.50276,0.51383,0.62856
8.00000,0.52248,0.49858,0.63334
8.25000,0.51072,0.50445,0.63459
8.50000,0.49876,0.50836,0.63268
8.75000,0.52074,0.50539,0.63574
9.00000,0.50726,0.51327,0.63454
9.25000,0.53331,0.49087,0.64303
9.50000,0.49015,0.51576,0.63791
9.75000,0.51560,0.50838,0.63935
10.00000,0.50836,0.50277,0.64047
10.25000,0.50372,0.51311,0.63859
10.50000,0.49481,0.50909,0.63574
10.75000,0.49069,0.51605,0.63067
11.00000,0.51259,0.50696,0.63179
11.25000,0.52384,0.50225,0.63611
11.50000,0.51028,0.50163,0.63784
11.75000,0.50116,0.50917,0.63624
12.00000,0.51805,0.50152,0.63954
12.25000,0.48741,0.51571,0.63388
12.50000,0.51657,0.50122,0.63695
12.75000,0.48365,0.51181,0.63132
13.00000,0.52019,0.50410,0.63454
13.25000,0.49674,0.50564,0.63276
13.50000,0.50265,0.51070,0.63115
13.75000,0.52260,0.49998,0.63567
14.00000,0.50111,0.50907,0.63408
14.25000,0.52834,0.49630,0.64049
14.50000,0.50333,0.50443,0.64027
14.75000,0.48760,0.51033,0.63572
15.00000,0.48831,0.51400,0.63059
15.25000,0.50473,0.51162,0.62921
15.50000,0.51396,0.50371,0.63126
15.75000,0.50578,0.50679,0.63106
16.00000,0.50779,0.50657,0.63130
16.25000,0.52775,0.50400,0.63605
16.50000,0.51739,0.50485,0.63856
16.75000,0.52066,0.49801,0.64309
17.00000,0.49393,0.51053,0.63977
17.25000,0.51686,0.50474,0.64219
17.50000,0.48213,0.51363,0.63589
17.75000,0.50891,0.50587,0.63650
18.00000,0.49566,0.51204,0.63322
18.25000,0.49117,0.51589,0.62828
18.50000,0.51826,0.50534,0.63086
18.75000,0.51199,0.50718,0.63183
19.00000,0.50550,0.50900,0.63113
19.25000,0.48617,0.51403,0.62555
19.50000,0.51526,0.50721,0.62716
19.75000,0.50889,0.50738,0.62747
20.00000,0.51141,0.50900,0.62795
20.25000,0.53035,0.49599,0.63482
20.50000,0.50246,0.51599,0.63212
20.75000,0.50896,0.50437,0.63304
21.00000,0.51261,0.50792,0.63397
21.25000,0.48122,0.51060,0.62810
21.50000,0.52022,0.50102,0.63194
21.75000,0.51593,0.50310,0.63450
22.00000,0.49096,0.51494,0.62971
22.25000,0.51313,0.50509,0.63131
22.50000,0.52609,0.50382,0.63577
22.75000,0.50521,0.50899,0.63501
23.00000,0.48417,0.51399,0.62904
23.25000,0.52013,0.50262,0.63255
23.50000,0.48764,0.51254,0.62756
23.75000,0.50404,0.50883,0.62661
24.00000,0.50445,0.50805,0.62589
24.25000,0.51384,0.50746,0.62716
24.50000,0.50465,0.50811,0.62647
24.75000,0.51604,0.50034,0.62961
