time_s,n_pkts,mean_ms,p50_ms,p90_ms,p99_ms,max_ms,tput_mbps
1.2500,2499,0.2300,0.2184,0.3494,0.4436,0.6584,79.9680
1.5000,2499,0.2322,0.2220,0.3534,0.4350,0.8756,79.9680
1.7500,2501,0.2340,0.2258,0.3550,0.4700,0.8296,80.0320
2.0000,2499,0.2359,0.2230,0.3616,0.5150,0.8086,79.9680
2.2500,2500,0.2349,0.2260,0.3580,0.4896,0.6454,80.0000
2.5000,2500,0.2358,0.2260,0.3546,0.5000,0.8336,80.0000
2.7500,2500,0.2489,0.2420,0.3854,0.5356,0.9216,80.0000
3.0000,2501,0.2370,0.2250,0.3654,0.5086,0.7156,80.0320
3.2500,2498,0.2419,0.2330,0.3694,0.5120,0.6966,79.9360
3.5000,2501,0.2394,0.2280,0.3676,0.5230,0.6506,80.0320
3.7500,2500,0.2429,0.2320,0.3756,0.5266,0.9236,80.0000
4.0000,2500,0.2427,0.2300,0.3754,0.5350,0.9686,80.0000
4.2500,2500,0.2440,0.2330,0.3743,0.5226,0.9616,80.0000
4.5000,2500,0.2429,0.2354,0.3770,0.5180,0.6386,80.0000
4.7500,2501,0.2398,0.2300,0.3720,0.5190,0.8716,80.0320
5.0000,2499,0.2400,0.2310,0.3700,0.5146,0.6670,79.9680
5.2500,2500,0.2424,0.2320,0.3746,0.5280,0.6466,80.0000
5.5000,2499,0.2442,0.2334,0.3770,0.5510,0.9606,79.9680
5.7500,2500,0.2414,0.2310,0.3776,0.5290,0.6534,80.0000
6.0000,2501,0.2416,0.2334,0.3716,0.5290,0.9406,80.0320
6.2500,2499,0.2376,0.2260,0.3660,0.5400,0.7336,79.9680
6.5000,2502,0.2423,0.2330,0.3760,0.5326,0.6696,80.0640
6.7500,2498,0.2459,0.2370,0.3864,0.5310,0.7966,79.9360
7.0000,2502,0.2392,0.2280,0.3654,0.5056,0.6174,80.0640
7.2500,2498,0.2431,0.2284,0.3773,0.5506,0.9506,79.9360
7.5000,2501,0.2430,0.2308,0.3814,0.5360,0.6286,80.0320
7.7500,2500,0.2406,0.2274,0.3734,0.5370,0.9236,80.0000
8.0000,2500,0.2452,0.2370,0.3860,0.5206,0.7876,80.0000
8.2500,2501,0.2450,0.2364,0.3820,0.5190,0.6970,80.0320
8.5000,2499,0.2429,0.2314,0.3770,0.5306,0.7690,79.9680
8.7500,2501,0.2416,0.2338,0.3706,0.5096,0.8736,80.0320
9.0000,2499,0.2411,0.2298,0.3724,0.5150,0.6664,79.9680
9.2500,2500,0.2525,0.2410,0.3974,0.5640,0.8096,80.0000
9.5000,2500,0.2387,0.2278,0.3660,0.4960,0.7966,80.0000
9.7500,2500,0.2450,0.2350,0.3790,0.5280,0.7870,80.0000
10.0000,2500,0.2425,0.2334,0.3720,0.5330,0.8246,80.0000
10.2500,2499,0.2389,0.2274,0.3696,0.5136,0.7176,79.9680
10.5000,2500,0.2391,0.2280,0.3674,0.5270,1.0056,80.0000
10.7500,2501,0.2357,0.2250,0.3636,0.5140,0.7056,80.0320
11.0000,2499,0.2442,0.2350,0.3750,0.5276,0.7476,79.9680
11.2500,2501,0.2440,0.2344,0.3780,0.5376,0.7406,80.0320
11.5000,2500,0.2464,0.2360,0.3860,0.5466,0.6866,80.0000
11.7500,2500,0.2418,0.2300,0.3740,0.5126,0.7986,80.0000
12.0000,2499,0.2429,0.2310,0.3750,0.5320,0.8416,79.9680
12.2500,2501,0.2369,0.2274,0.3674,0.5316,0.7276,80.0320
12.5000,2499,0.2478,0.2340,0.3870,0.5506,0.6946,79.9680
12.7500,2501,0.2390,0.2290,0.3650,0.5186,0.7316,80.0320
13.0000,2498,0.2441,0.2334,0.3786,0.5296,0.7746,79.9360
13.2500,2502,0.2430,0.2304,0.3790,0.5406,0.6376,80.0640
13.5000,2500,0.2378,0.2278,0.3660,0.5016,0.7336,80.0000
13.7500,2501,0.2472,0.2381,0.3816,0.5496,1.0056,80.0320
14.0000,2499,0.2428,0.2300,0.3764,0.5400,0.9006,79.9680
14.2500,2499,0.2493,0.2388,0.3854,0.5410,0.7626,79.9680
14.5000,2502,0.2447,0.2330,0.3790,0.5446,0.8706,80.0640
14.7500,2498,0.2407,0.2300,0.3704,0.5186,0.8336,79.9360
15.0000,2501,0.2392,0.2290,0.3684,0.5096,0.8516,80.0320
15.2500,2500,0.2389,0.2304,0.3646,0.5050,0.8696,80.0000
15.5000,2500,0.2448,0.2330,0.3793,0.5673,0.7246,80.0000
15.7500,2500,0.2407,0.2324,0.3740,0.5096,0.8320,80.0000
16.0000,2500,0.2405,0.2310,0.3710,0.5130,0.6266,80.0000
16.2500,2500,0.2471,0.2380,0.3800,0.5416,0.8786,80.0000
16.5000,2501,0.2450,0.2354,0.3780,0.5430,0.6876,80.0320
16.7500,2499,0.2457,0.2350,0.3784,0.5456,0.8426,79.9680
17.0000,2500,0.2417,0.2290,0.3760,0.5456,0.7516,80.0000
17.2500,2501,0.2398,0.2280,0.3744,0.5096,0.7086,80.0320
17.5000,2499,0.2393,0.2284,0.3724,0.5180,0.7360,79.9680
17.7500,2500,0.2430,0.2320,0.3723,0.5450,0.6554,80.0000
18.0000,2499,0.2393,0.2280,0.3674,0.5320,0.9606,79.9680
18.2500,2502,0.2367,0.2268,0.3634,0.5036,0.8376,80.0640
18.5000,2498,0.2423,0.2320,0.3704,0.5310,0.7716,79.9360
18.7500,2501,0.2399,0.2270,0.3726,0.5246,0.6654,80.0320
19.0000,2500,0.2405,0.2290,0.3734,0.5280,0.9136,80.0000
19.2500,2499,0.2405,0.2308,0.3700,0.5116,0.8536,79.9680
19.5000,2502,0.2418,0.2284,0.3746,0.5186,0.8586,80.0640
19.7500,2500,0.2460,0.2326,0.3824,0.5560,1.0216,80.0000
20.0000,2499,0.2413,0.2308,0.3700,0.5256,0.7166,79.9680
20.2500,2501,0.2507,0.2410,0.3906,0.5486,0.9486,80.0320
20.5000,2499,0.2364,0.2270,0.3656,0.4956,0.6926,79.9680
20.7500,2500,0.2451,0.2318,0.3816,0.5350,0.7086,80.0000
21.0000,2499,0.2444,0.2360,0.3746,0.5126,0.6366,79.9680
21.2500,2501,0.2409,0.2290,0.3710,0.5216,0.7666,80.0320
21.5000,2500,0.2436,0.2338,0.3820,0.5260,0.7840,80.0000
21.7500,2500,0.2452,0.2368,0.3780,0.5366,0.6996,80.0000
22.0000,2500,0.2385,0.2270,0.3664,0.5120,0.8246,80.0000
22.2500,2499,0.2431,0.2300,0.3760,0.5266,0.8336,79.9680
22.5000,2502,0.2437,0.2348,0.3776,0.5306,0.7616,80.0640
22.7500,2500,0.2414,0.2314,0.3690,0.5570,0.7166,80.0000
23.0000,2499,0.2367,0.2220,0.3736,0.5096,0.6416,79.9680
23.2500,2500,0.2455,0.2350,0.3806,0.5380,0.7004,80.0000
23.5000,2500,0.2366,0.2258,0.3654,0.5260,0.9596,80.0000
23.7500,2500,0.2409,0.2314,0.3780,0.5200,0.6374,80.0000
24.0000,2499,0.2418,0.2304,0.3770,0.5627,0.8056,79.9680
24.2500,2501,0.2463,0.2338,0.3810,0.5660,0.7696,80.0320
24.5000,2501,0.2422,0.2350,0.3674,0.5213,0.8576,80.0320
24.7500,2500,0.2443,0.2320,0.3844,0.5376,0.9236,80.0000
