time_s,n_pkts,mean_ms,p50_ms,p90_ms,p99_ms,max_ms,tput_mbps
1.2500,14631,2.1715,1.9400,3.6120,4.4700,4.7580,468.1920
1.5000,14703,2.1440,1.9080,3.6120,4.4370,4.7960,470.4960
1.7500,14679,2.2514,1.9829,3.8080,4.5210,4.8160,469.7280
2.0000,14713,2.1496,1.9180,3.5590,4.3990,4.7730,470.8160
2.2500,14573,2.2551,2.0406,3.7320,4.5420,4.8990,466.3360
2.5000,14836,2.2779,2.0170,3.8790,4.5460,4.9910,474.7520
2.7500,14740,2.2887,2.0830,3.7940,4.5502,4.8310,471.6800
3.0000,14703,2.2721,2.0080,3.8630,4.5130,4.8500,470.4960
3.2500,14688,2.2253,1.9920,3.7470,4.5436,4.8010,470.0160
3.5000,14733,2.3151,2.0970,3.8240,4.5530,4.8650,471.4560
3.7500,14596,2.2519,2.0680,3.6610,4.4625,4.8620,467.0720
4.0000,14628,2.3990,2.2300,3.8900,4.5340,4.7940,468.0960
4.2500,14850,2.2902,2.0870,3.7730,4.5010,4.9220,475.2000
4.5000,14674,2.2376,2.0090,3.7340,4.5360,4.9760,469.5680
4.7500,14764,2.2236,2.0100,3.7080,4.5028,4.9150,472.4480
5.0000,14720,2.3002,2.0659,3.8650,4.5480,4.8510,471.0400
5.2500,14701,2.2004,1.9410,3.7560,4.4960,4.7810,470.4320
5.5000,14701,2.2128,1.9920,3.6790,4.4740,4.9000,470.4320
5.7500,14599,2.2108,1.9302,3.7688,4.5310,4.9880,467.1680
6.0000,14650,2.3149,2.1110,3.8466,4.5560,4.8480,468.8000
6.2500,14863,2.1520,1.9192,3.5842,4.4540,4.7130,475.6160
6.5000,14703,2.1536,1.8670,3.6908,4.5360,5.0020,470.4960
6.7500,14536,2.3509,2.1550,3.8690,4.5400,4.8840,465.1520
7.0000,14877,2.2729,2.0413,3.7984,4.5070,4.8180,476.0640
7.2500,14539,2.3728,2.1860,3.9150,4.5670,4.7960,465.2480
7.5000,14728,2.2475,2.0070,3.7480,4.4580,4.7470,471.2960
7.7500,14838,2.2615,2.0245,3.8110,4.5460,4.7980,474.8160
8.0000,14739,2.3910,2.2410,3.8750,4.5390,4.8230,471.6480
8.2500,14654,2.2075,1.9690,3.6940,4.4810,5.0590,468.9280
8.5000,14654,2.2061,1.9410,3.7558,4.4830,4.7710,468.9280
8.7500,14809,2.3501,2.1620,3.8740,4.5840,4.9150,473.8880
9.0000,14566,2.2170,1.9983,3.7030,4.5220,5.0320,466.1120
9.2500,14771,2.2947,2.0880,3.7985,4.5450,4.9550,472.6720
9.5000,14586,2.3218,2.1412,3.7900,4.4840,4.8070,466.7520
9.7500,14756,2.3068,2.0940,3.8440,4.5260,4.8860,472.1920
10.0000,14828,2.3091,2.1120,3.7910,4.5710,4.9570,474.4960
10.2500,14631,2.2698,2.0520,3.8149,4.5996,5.0140,468.1920
10.5000,14761,2.2635,2.0410,3.7770,4.5210,4.7890,472.3520
10.7500,14742,2.2063,1.9800,3.7200,4.4475,4.9090,471.7440
11.0000,14605,2.3100,2.1173,3.8102,4.5416,4.8510,467.3600
11.2500,14715,2.3061,2.0770,3.8930,4.5420,4.8860,470.8800
11.5000,14709,2.4050,2.2310,3.9130,4.5890,5.0010,470.6880
11.7500,14788,2.2483,2.0200,3.7400,4.5030,4.8070,473.2160
12.0000,14669,2.0239,1.7616,3.4120,4.3950,4.7050,469.4080
12.2500,14724,2.4570,2.3146,3.9734,4.6240,5.0190,471.1680
