time_s,n_pkts,mean_ms,p50_ms,p90_ms,p99_ms,max_ms,tput_mbps
1.2500,4899,0.3129,0.3020,0.4410,0.5840,0.8690,186.7840
1.5000,4899,0.3132,0.3015,0.4410,0.6047,0.7200,186.8160
1.7500,4900,0.3097,0.2974,0.4334,0.6030,0.7160,186.8800
2.0000,4906,0.3128,0.3014,0.4357,0.6015,0.9590,187.1040
2.2500,4899,0.3094,0.2971,0.4368,0.5921,0.6690,186.8480
2.5000,4902,0.3178,0.3045,0.4478,0.6085,1.0910,186.9440
2.7500,4903,0.3166,0.3025,0.4510,0.6100,0.8110,186.8800
3.0000,4904,0.3124,0.3021,0.4373,0.5885,0.8770,187.1040
3.2500,4899,0.3127,0.2991,0.4424,0.6009,0.9940,186.7520
3.5000,4896,0.3105,0.2989,0.4366,0.5960,0.6700,186.7520
3.7500,4907,0.3124,0.3002,0.4424,0.5961,0.7240,187.1680
4.0000,4904,0.3106,0.3011,0.4337,0.5820,0.6630,186.9760
4.2500,4901,0.3078,0.2951,0.4354,0.5848,0.6720,186.9120
4.5000,4903,0.3119,0.2999,0.4370,0.5900,1.0770,186.9760
4.7500,4904,0.3128,0.3035,0.4364,0.5915,0.6824,186.9760
5.0000,4902,0.3099,0.2991,0.4340,0.5860,0.7400,186.9440
5.2500,4898,0.3080,0.2978,0.4300,0.5780,0.7144,186.8800
5.5000,4903,0.3185,0.3049,0.4550,0.6135,0.8000,186.9440
5.7500,4905,0.3094,0.2991,0.4358,0.5770,0.7300,187.0080
6.0000,4901,0.3113,0.3001,0.4360,0.5895,0.8040,186.8800
6.2500,4902,0.3114,0.3009,0.4343,0.5820,0.7110,187.0400
6.5000,4902,0.3131,0.3019,0.4390,0.5950,0.7830,186.8480
6.7500,4901,0.3123,0.2985,0.4474,0.6000,0.7220,186.9440
7.0000,4899,0.3104,0.2990,0.4360,0.5810,0.7204,186.8480
7.2500,4904,0.3132,0.3010,0.4404,0.5970,1.0340,186.9440
7.5000,4904,0.3123,0.2996,0.4420,0.6020,0.7480,187.0720
7.7500,4902,0.3146,0.3052,0.4404,0.5885,0.7200,186.9120
8.0000,4902,0.3159,0.3024,0.4450,0.6239,0.9480,186.9760
8.2500,4903,0.3118,0.2989,0.4416,0.5999,0.7360,186.8800
8.5000,4894,0.3122,0.3010,0.4388,0.5933,0.7290,186.7200
8.7500,4904,0.3086,0.2971,0.4313,0.6029,0.9160,187.0400
9.0000,4905,0.3124,0.2999,0.4394,0.6151,0.8680,186.9760
9.2500,4904,0.3085,0.2978,0.4304,0.5745,0.7320,187.0720
9.5000,4903,0.3058,0.2950,0.4278,0.5734,0.6650,186.9440
9.7500,4897,0.3054,0.2935,0.4304,0.5850,0.7300,186.8160
10.0000,4905,0.3063,0.2940,0.4254,0.6090,0.9490,187.0400
10.2500,4900,0.3041,0.2921,0.4254,0.5721,0.7024,186.8480
10.5000,4903,0.3106,0.2988,0.4354,0.5921,0.7230,186.9440
10.7500,4904,0.3158,0.3016,0.4484,0.6149,1.0950,186.9760
11.0000,4901,0.3089,0.2966,0.4360,0.5885,0.7330,186.9440
11.2500,4900,0.3098,0.2970,0.4330,0.6145,1.0080,186.8800
11.5000,4901,0.3071,0.2975,0.4294,0.5790,0.7204,186.8480
11.7500,4902,0.3110,0.2995,0.4400,0.5770,0.6624,187.0080
12.0000,4906,0.3124,0.3015,0.4350,0.6060,0.8570,187.0720
12.2500,4901,0.3099,0.2965,0.4334,0.6055,1.0030,186.9120
12.5000,4896,0.3137,0.3021,0.4428,0.5907,0.7060,186.7200
12.7500,4907,0.3100,0.2991,0.4368,0.5810,0.7840,187.1040
13.0000,4902,0.3117,0.2998,0.4384,0.5938,1.0020,186.9760
13.2500,4903,0.3152,0.3021,0.4460,0.6145,0.7220,186.9760
13.5000,4901,0.3131,0.3021,0.4424,0.5860,0.7350,186.8800
13.7500,4902,0.3118,0.3001,0.4404,0.5925,0.7510,186.9120
14.0000,4901,0.3169,0.3055,0.4436,0.6050,0.9990,186.9440
14.2500,4903,0.3164,0.3048,0.4460,0.6050,0.8900,186.9440
14.5000,4900,0.3064,0.2960,0.4270,0.5695,0.6750,186.8480
14.7500,4898,0.3040,0.2938,0.4244,0.5780,0.7544,186.8160
15.0000,4907,0.3076,0.2979,0.4310,0.5770,0.6954,187.1360
15.2500,4900,0.3146,0.3028,0.4414,0.5970,0.9360,186.8480
15.5000,4905,0.3109,0.2990,0.4380,0.5901,0.8010,187.0400
15.7500,4903,0.3103,0.3002,0.4346,0.5771,0.6714,186.9120
16.0000,4899,0.3091,0.2964,0.4380,0.5851,0.7220,186.9440
16.2500,4898,0.3119,0.2979,0.4397,0.6280,1.0230,186.7520
16.5000,4908,0.3174,0.3021,0.4570,0.6179,0.9570,187.2000
16.7500,4900,0.3085,0.2971,0.4356,0.5981,0.7070,186.8480
17.0000,4903,0.3098,0.2991,0.4358,0.5750,0.6700,186.9760
17.2500,4900,0.3069,0.2938,0.4318,0.5947,0.7390,186.8800
17.5000,4904,0.3148,0.3021,0.4484,0.6025,0.7700,187.0080
17.7500,4903,0.3054,0.2930,0.4353,0.5877,0.7004,186.9440
18.0000,4899,0.3120,0.3001,0.4383,0.5980,1.0620,186.9120
18.2500,4904,0.3085,0.2964,0.4320,0.6055,0.7890,186.9120
18.5000,4900,0.3094,0.2990,0.4294,0.5850,0.7624,186.9120
18.7500,4901,0.3109,0.2985,0.4393,0.5920,0.7170,186.8800
19.0000,4904,0.3099,0.3000,0.4298,0.5927,0.7080,187.0080
19.2500,4904,0.3156,0.3031,0.4484,0.6041,0.8500,187.0080
19.5000,4898,0.3128,0.2995,0.4430,0.6000,0.8690,186.8480
19.7500,4907,0.3087,0.2970,0.4338,0.6015,0.7160,187.0720
20.0000,4895,0.3110,0.2990,0.4404,0.5890,0.6774,186.6880
20.2500,4908,0.3138,0.2991,0.4483,0.5997,0.9200,187.1680
20.5000,4902,0.3159,0.3021,0.4494,0.6099,0.8990,186.9760
20.7500,4898,0.3092,0.2965,0.4316,0.6095,1.0310,186.7200
21.0000,4901,0.3157,0.3048,0.4443,0.5940,0.8570,186.9440
21.2500,4908,0.3079,0.2945,0.4314,0.6040,0.8730,187.1680
21.5000,4900,0.3124,0.3004,0.4384,0.6035,1.0220,186.7840
21.7500,4902,0.3106,0.2999,0.4388,0.5795,0.7134,187.0080
22.0000,4900,0.3091,0.2978,0.4340,0.5985,0.7370,186.8480
22.2500,4904,0.3102,0.2988,0.4364,0.5665,0.6710,187.0080
22.5000,4899,0.3083,0.2964,0.4341,0.5740,0.6750,186.8480
22.7500,4905,0.3089,0.2965,0.4348,0.5805,0.6750,187.0400
23.0000,4901,0.3062,0.2952,0.4296,0.5721,0.6864,186.8800
23.2500,4903,0.3108,0.2971,0.4428,0.6059,0.7274,187.0080
23.5000,4903,0.3122,0.3005,0.4438,0.5921,0.7110,186.9120
23.7500,4902,0.3137,0.2990,0.4443,0.6168,1.0260,187.0400
24.0000,4898,0.3105,0.2998,0.4354,0.5921,0.6590,186.7200
24.2500,4906,0.3049,0.2929,0.4300,0.5740,0.7100,187.0720
24.5000,4899,0.3134,0.3005,0.4444,0.5975,0.7184,186.9120
24.7500,4905,0.3083,0.2961,0.4314,0.6055,0.9240,186.9760
