time_s,n_pkts,mean_ms,p50_ms,p90_ms,p99_ms,max_ms,tput_mbps
1.2500,2357,0.2290,0.2160,0.3364,0.4096,0.6164,105.5040
1.5000,2358,0.2266,0.2154,0.3286,0.4026,0.6636,105.4720
1.7500,2359,0.2284,0.2171,0.3344,0.4044,0.6664,105.5680
2.0000,2359,0.2287,0.2161,0.3354,0.4066,0.6776,105.5040
2.2500,2359,0.2285,0.2160,0.3360,0.4146,0.6776,105.6640
2.5000,2357,0.2288,0.2170,0.3346,0.3964,0.5254,105.5040
2.7500,2358,0.2268,0.2140,0.3344,0.4044,0.4794,105.5040
3.0000,2360,0.2290,0.2170,0.3340,0.4124,0.5896,105.5680
3.2500,2358,0.2247,0.2128,0.3264,0.4044,0.6006,105.5680
3.5000,2357,0.2277,0.2154,0.3344,0.3994,0.5274,105.4720
3.7500,2360,0.2280,0.2174,0.3314,0.4084,0.6096,105.6000
4.0000,2357,0.2301,0.2180,0.3384,0.4146,0.6516,105.5360
4.2500,2360,0.2284,0.2148,0.3340,0.4064,0.6374,105.5360
4.5000,2358,0.2288,0.2168,0.3334,0.4044,0.6196,105.5360
4.7500,2360,0.2266,0.2148,0.3310,0.4056,0.5894,105.6320
5.0000,2357,0.2285,0.2160,0.3354,0.4086,0.5986,105.5040
5.2500,2359,0.2290,0.2194,0.3350,0.4104,0.5426,105.5360
5.5000,2357,0.2282,0.2168,0.3324,0.4014,0.6414,105.5040
5.7500,2361,0.2258,0.2148,0.3316,0.3994,0.5634,105.6320
6.0000,2358,0.2295,0.2161,0.3384,0.4094,0.5604,105.5040
6.2500,2359,0.2303,0.2178,0.3374,0.4186,0.6466,105.5680
6.5000,2358,0.2277,0.2151,0.3350,0.4074,0.5944,105.5360
6.7500,2357,0.2262,0.2148,0.3300,0.3974,0.5304,105.4720
7.0000,2358,0.2287,0.2174,0.3364,0.4064,0.6414,105.5680
7.2500,2360,0.2258,0.2138,0.3320,0.4064,0.5994,105.6000
7.5000,2359,0.2292,0.2168,0.3330,0.4094,0.7166,105.5680
7.7500,2358,0.2302,0.2180,0.3370,0.4074,0.6636,105.5360
8.0000,2359,0.2262,0.2138,0.3314,0.3974,0.5344,105.5680
8.2500,2359,0.2308,0.2171,0.3394,0.3996,0.6276,105.5680
8.5000,2356,0.2302,0.2170,0.3374,0.4164,0.6606,105.4720
8.7500,2360,0.2275,0.2138,0.3348,0.4040,0.5764,105.5680
9.0000,2358,0.2283,0.2150,0.3358,0.4054,0.6526,105.5680
9.2500,2359,0.2296,0.2171,0.3374,0.4100,0.5484,105.5680
9.5000,2359,0.2273,0.2150,0.3344,0.4064,0.5874,105.5360
9.7500,2357,0.2299,0.2170,0.3354,0.4106,0.6316,105.5040
10.0000,2358,0.2274,0.2148,0.3346,0.4044,0.5224,105.5360
10.2500,2358,0.2272,0.2154,0.3364,0.4080,0.5494,105.4720
10.5000,2361,0.2258,0.2130,0.3304,0.4050,0.6386,105.6640
10.7500,2358,0.2304,0.2178,0.3434,0.4134,0.5494,105.5360
11.0000,2358,0.2290,0.2168,0.3384,0.4104,0.5414,105.5040
11.2500,2358,0.2278,0.2160,0.3344,0.4040,0.5364,105.5680
11.5000,2358,0.2308,0.2180,0.3396,0.4124,0.6164,105.5360
11.7500,2359,0.2286,0.2158,0.3350,0.4094,0.6034,105.5040
12.0000,2360,0.2263,0.2150,0.3304,0.4044,0.5934,105.6000
12.2500,2356,0.2281,0.2160,0.3344,0.4064,0.5874,105.5360
12.5000,2359,0.2300,0.2168,0.3374,0.4176,0.6696,105.5360
12.7500,2359,0.2269,0.2148,0.3326,0.4014,0.4496,105.5360
13.0000,2359,0.2277,0.2154,0.3374,0.4066,0.4774,105.5680
13.2500,2359,0.2271,0.2158,0.3304,0.4034,0.5624,105.6000
13.5000,2358,0.2279,0.2154,0.3326,0.4014,0.5884,105.5040
13.7500,2359,0.2257,0.2138,0.3284,0.4014,0.4896,105.6000
14.0000,2358,0.2278,0.2174,0.3314,0.4024,0.5586,105.5040
14.2500,2358,0.2284,0.2158,0.3344,0.4196,0.5936,105.4720
14.5000,2358,0.2283,0.2174,0.3344,0.4066,0.4626,105.5680
14.7500,2358,0.2268,0.2150,0.3324,0.4038,0.4934,105.5680
15.0000,2359,0.2326,0.2214,0.3424,0.4134,0.6576,105.5360
15.2500,2359,0.2300,0.2168,0.3374,0.4034,0.6776,105.5360
15.5000,2360,0.2294,0.2168,0.3394,0.4036,0.6006,105.6320
15.7500,2358,0.2275,0.2148,0.3324,0.4046,0.6764,105.5040
16.0000,2358,0.2287,0.2148,0.3400,0.4156,0.5874,105.5680
16.2500,2357,0.2277,0.2160,0.3334,0.4014,0.5104,105.4720
16.5000,2360,0.2276,0.2160,0.3294,0.4094,0.5984,105.6320
16.7500,2358,0.2304,0.2188,0.3364,0.4064,0.5836,105.4720
17.0000,2357,0.2263,0.2138,0.3324,0.4074,0.6226,105.5680
17.2500,2360,0.2273,0.2140,0.3334,0.4034,0.6046,105.5680
17.5000,2359,0.2314,0.2208,0.3396,0.4084,0.5544,105.5680
17.7500,2358,0.2277,0.2168,0.3314,0.4044,0.5754,105.5360
18.0000,2359,0.2272,0.2168,0.3316,0.4004,0.5254,105.5360
18.2500,2357,0.2287,0.2150,0.3334,0.4094,0.6636,105.5040
18.5000,2361,0.2316,0.2190,0.3420,0.4134,0.5706,105.6640
18.7500,2356,0.2310,0.2191,0.3344,0.4100,0.6856,105.4400
19.0000,2359,0.2298,0.2168,0.3394,0.4056,0.5294,105.5680
19.2500,2358,0.2295,0.2168,0.3380,0.4118,0.6836,105.5360
19.5000,2359,0.2270,0.2160,0.3324,0.4050,0.4576,105.5680
19.7500,2359,0.2298,0.2188,0.3364,0.4114,0.6136,105.5680
20.0000,2358,0.2278,0.2148,0.3331,0.4064,0.6446,105.5040
20.2500,2358,0.2271,0.2141,0.3314,0.4026,0.5814,105.5680
20.5000,2360,0.2277,0.2161,0.3314,0.4074,0.5544,105.5680
20.7500,2358,0.2307,0.2188,0.3374,0.4080,0.5916,105.5360
21.0000,2359,0.2275,0.2158,0.3344,0.4074,0.5534,105.5680
21.2500,2357,0.2296,0.2170,0.3374,0.4064,0.7106,105.5040
21.5000,2360,0.2242,0.2131,0.3274,0.4014,0.5766,105.5680
21.7500,2358,0.2279,0.2151,0.3334,0.4024,0.6004,105.5360
22.0000,2359,0.2291,0.2188,0.3344,0.4014,0.6144,105.5680
22.2500,2358,0.2284,0.2160,0.3356,0.4084,0.5096,105.5360
22.5000,2357,0.2275,0.2160,0.3334,0.4024,0.5334,105.5040
22.7500,2361,0.2310,0.2208,0.3384,0.4120,0.6264,105.6000
23.0000,2358,0.2263,0.2158,0.3324,0.4056,0.5044,105.5040
23.2500,2358,0.2290,0.2178,0.3384,0.4104,0.5806,105.6000
23.5000,2359,0.2298,0.2171,0.3354,0.4164,0.6384,105.5680
23.7500,2357,0.2266,0.2158,0.3344,0.4054,0.5084,105.4720
24.0000,2360,0.2273,0.2150,0.3304,0.4034,0.6956,105.6000
24.2500,2358,0.2294,0.2174,0.3376,0.4094,0.5254,105.4720
24.5000,2359,0.2271,0.2150,0.3338,0.4030,0.6814,105.6320
