time_s,co0_ap,co1_ap,p_tid1
1.00000,0.00481,0.00288,0.75039
1.25000,0.81485,0.77423,0.75851
1.50000,0.97147,0.84011,0.78478
1.75000,0.97272,0.88755,0.80182
2.00000,0.97231,0.89796,0.81668
2.25000,0.89016,0.89604,0.81551
2.50000,0.90214,0.89994,0.81595
2.75000,0.90085,0.89731,0.81666
3.00000,0.87757,0.90009,0.81215
3.25000,0.89819,0.89487,0.81282
3.50000,0.90170,0.89633,0.81389
3.75000,0.89797,0.90008,0.81347
4.00000,0.89556,0.89684,0.81321
4.25000,0.88590,0.89717,0.81096
4.50000,0.91649,0.89883,0.81449
4.75000,0.89926,0.89569,0.81521
5.00000,0.89426,0.89753,0.81455
5.25000,0.89187,0.89861,0.81320
5.50000,0.90321,0.90254,0.81334
5.75000,0.90015,0.89836,0.81369
6.00000,0.89515,0.89848,0.81303
6.25000,0.87859,0.89520,0.80971
6.50000,0.91640,0.89829,0.81333
6.75000,0.90701,0.89456,0.81582
7.00000,0.88946,0.89659,0.81439
7.25000,0.90452,0.89538,0.81622
7.50000,0.88834,0.89768,0.81435
7.75000,0.89424,0.89389,0.81442
8.00000,0.89604,0.89755,0.81412
8.25000,0.89910,0.89787,0.81436
8.50000,0.89890,0.89980,0.81418
8.75000,0.89857,0.89571,0.81476
9.00000,0.89065,0.89722,0.81344
9.25000,0.88939,0.90090,0.81114
9.50000,0.89771,0.89974,0.81074
9.75000,0.89706,0.89861,0.81043
10.00000,0.91845,0.89722,0.81467
10.25000,0.90862,0.90186,0.81602
10.50000,0.87300,0.89880,0.81086
10.75000,0.90162,0.89970,0.81125
11.00000,0.89778,0.89433,0.81194
11.25000,0.89996,0.89432,0.81307
11.50000,0.90720,0.89856,0.81479
11.75000,0.88550,0.89670,0.81255
12.00000,0.90952,0.89649,0.81516
12.25000,0.88581,0.89820,0.81268
12.50000,0.91455,0.89947,0.81570
12.75000,0.90784,0.89747,0.81777
13.00000,0.87565,0.89492,0.81392
13.25000,0.91036,0.89820,0.81635
13.50000,0.88861,0.89832,0.81441
13.75000,0.89459,0.89704,0.81392
14.00000,0.89970,0.89300,0.81526
14.25000,0.88983,0.89780,0.81366
14.50000,0.89676,0.89894,0.81323
14.75000,0.89944,0.89359,0.81440
15.00000,0.89828,0.89797,0.81446
15.25000,0.89898,0.89580,0.81510
15.50000,0.90376,0.89497,0.81685
15.75000,0.91094,0.89661,0.81972
16.00000,0.87857,0.89684,0.81606
16.25000,0.88920,0.89890,0.81412
16.50000,0.89015,0.89841,0.81247
16.75000,0.90163,0.89790,0.81322
17.00000,0.90575,0.89575,0.81522
17.25000,0.89743,0.89523,0.81566
17.50000,0.88695,0.89619,0.81381
17.75000,0.89082,0.89623,0.81273
18.00000,0.90138,0.89920,0.81316
18.25000,0.91190,0.89597,0.81635
18.50000,0.87251,0.89425,0.81200
18.75000,0.88696,0.89957,0.80948
19.00000,0.91378,0.89506,0.81322
19.25000,0.90515,0.89701,0.81485
19.50000,0.89495,0.89850,0.81414
19.75000,0.87941,0.89732,0.81056
20.00000,0.91949,0.89794,0.81487
20.25000,0.89335,0.89771,0.81400
20.50000,0.90348,0.89667,0.81536
20.75000,0.90344,0.89608,0.81683
21.00000,0.89528,0.89404,0.81708
21.25000,0.88369,0.89764,0.81429
21.50000,0.89724,0.89899,0.81394
21.75000,0.90577,0.89672,0.81575
22.00000,0.89370,0.89751,0.81499
22.25000,0.90587,0.89739,0.81668
22.50000,0.89149,0.89758,0.81546
22.75000,0.88133,0.89696,0.81234
23.00000,0.89742,0.89584,0.81265
23.25000,0.90167,0.89886,0.81322
23.50000,0.89121,0.89639,0.81218
23.75000,0.90294,0.89774,0.81322
24.00000,0.89435,0.90015,0.81206
24.25000,0.90087,0.89622,0.81299
24.50000,0.90002,0.90012,0.81297
24.75000,0.89717,0.89936,0.81253
