time_s,n_pkts,mean_ms,p50_ms,p90_ms,p99_ms,max_ms,tput_mbps
1.2500,2357,0.2283,0.2168,0.3324,0.4123,0.5446,105.4400
1.5000,2358,0.2288,0.2151,0.3366,0.4056,0.5326,105.5680
1.7500,2358,0.2312,0.2181,0.3384,0.4086,0.6046,105.5040
2.0000,2360,0.2282,0.2148,0.3360,0.4054,0.6026,105.6320
2.2500,2358,0.2279,0.2170,0.3354,0.4004,0.6004,105.5040
2.5000,2359,0.2287,0.2170,0.3364,0.4090,0.5616,105.5360
2.7500,2358,0.2313,0.2178,0.3364,0.4194,0.6736,105.5360
3.0000,2358,0.2267,0.2130,0.3334,0.3974,0.4664,105.5360
3.2500,2358,0.2273,0.2150,0.3346,0.4044,0.5894,105.5680
3.5000,2359,0.2273,0.2148,0.3344,0.3986,0.4726,105.5040
3.7500,2359,0.2283,0.2174,0.3324,0.4074,0.6264,105.5680
4.0000,2358,0.2304,0.2188,0.3364,0.4084,0.6356,105.5680
4.2500,2359,0.2276,0.2168,0.3324,0.3984,0.5724,105.5680
4.5000,2359,0.2279,0.2158,0.3340,0.4074,0.5614,105.5680
4.7500,2358,0.2251,0.2131,0.3314,0.4034,0.6244,105.5360
5.0000,2358,0.2269,0.2148,0.3320,0.3994,0.5424,105.5360
5.2500,2358,0.2265,0.2158,0.3294,0.4034,0.5614,105.5040
5.5000,2358,0.2267,0.2144,0.3304,0.4014,0.5334,105.5040
5.7500,2360,0.2271,0.2154,0.3314,0.3984,0.6174,105.6640
6.0000,2358,0.2303,0.2178,0.3364,0.4094,0.6204,105.5040
6.2500,2358,0.2298,0.2158,0.3364,0.4194,0.6624,105.5360
6.5000,2359,0.2275,0.2148,0.3354,0.4016,0.4964,105.5680
6.7500,2358,0.2300,0.2174,0.3364,0.4074,0.5724,105.5360
7.0000,2360,0.2282,0.2150,0.3354,0.4044,0.6214,105.5680
7.2500,2357,0.2300,0.2178,0.3394,0.4054,0.6684,105.4400
7.5000,2358,0.2293,0.2178,0.3354,0.4090,0.5904,105.6000
7.7500,2360,0.2283,0.2158,0.3344,0.4144,0.5546,105.6000
8.0000,2357,0.2291,0.2168,0.3344,0.4054,0.4776,105.4720
8.2500,2359,0.2270,0.2144,0.3324,0.4040,0.6794,105.5360
8.5000,2360,0.2265,0.2140,0.3314,0.3964,0.5504,105.6320
8.7500,2357,0.2296,0.2180,0.3354,0.4146,0.6924,105.4720
9.0000,2358,0.2299,0.2178,0.3354,0.4134,0.6324,105.5680
9.2500,2359,0.2326,0.2180,0.3444,0.4164,0.6066,105.5680
9.5000,2358,0.2284,0.2158,0.3320,0.4054,0.5864,105.5360
9.7500,2359,0.2286,0.2170,0.3360,0.4020,0.5756,105.5360
10.0000,2358,0.2270,0.2148,0.3324,0.4084,0.5734,105.5360
10.2500,2360,0.2288,0.2180,0.3354,0.4080,0.5794,105.6320
10.5000,2359,0.2274,0.2160,0.3324,0.4034,0.6924,105.5360
10.7500,2357,0.2290,0.2178,0.3344,0.4076,0.5214,105.5360
11.0000,2359,0.2286,0.2154,0.3344,0.4074,0.5616,105.5360
11.2500,2359,0.2291,0.2168,0.3334,0.4100,0.6324,105.5360
11.5000,2359,0.2286,0.2158,0.3374,0.4054,0.4836,105.5680
