sched,load_mbps,seed,n_pkts,mean_ms,p50_ms,p90_ms,p99_ms,p999_ms,max_ms,tput_mbps,avg_co0_ap,avg_co1_ap
0,390.0000,5,949929,1.2013,1.0310,2.0360,2.7080,3.1230,3.9920,399.9701,0.9079,0.7937
0,80.0000,8,189999,0.1860,0.1780,0.2644,0.3256,0.3746,0.4876,79.9996,0.5709,0.5003
0,80.0000,9,189999,0.1860,0.1774,0.2650,0.3246,0.3696,0.4766,79.9996,0.5701,0.4992
1,80.0000,7,189997,0.2420,0.2314,0.3740,0.5290,0.6576,1.0206,79.9987,0.4899,0.5008
0,390.0000,6,949932,1.1961,1.0274,2.0222,2.6920,3.1457,3.9170,399.9714,0.9075,0.7958
1,80.0000,4,189999,0.2413,0.2310,0.3724,0.5236,0.6564,0.9856,79.9996,0.4910,0.5028
0,390.0000,8,949912,1.1995,1.0330,2.0270,2.6950,3.0900,3.7880,399.9629,0.9097,0.7952
1,80.0000,6,189998,0.2415,0.2308,0.3730,0.5276,0.6556,1.0186,79.9992,0.4905,0.5021
1,80.0000,10,189997,0.2415,0.2306,0.3730,0.5280,0.6680,0.9866,79.9987,0.4895,0.5013
1,80.0000,9,189999,0.2415,0.2310,0.3724,0.5286,0.6666,1.0206,79.9996,0.4898,0.5011
0,80.0000,10,189997,0.1865,0.1780,0.2654,0.3266,0.3750,0.4896,79.9987,0.5695,0.4993
0,80.0000,7,189998,0.1862,0.1780,0.2654,0.3260,0.3744,0.4866,79.9992,0.5707,0.4988
0,80.0000,6,189999,0.1863,0.1780,0.2650,0.3270,0.3740,0.4846,79.9996,0.5701,0.5007
0,390.0000,4,949920,1.1990,1.0290,2.0330,2.7130,3.2130,4.2860,399.9663,0.9096,0.7963
0,390.0000,10,949858,1.1947,1.0250,2.0220,2.6870,3.0930,4.0000,399.9402,0.9065,0.7946
1,390.0000,8,949971,0.7195,0.7029,0.8849,1.2603,1.6003,2.1137,399.9878,0.8163,0.8159
1,390.0000,4,949962,0.7204,0.7028,0.8861,1.2760,1.6521,2.3859,399.9840,0.8168,0.8164
0,390.0000,9,949930,1.2002,1.0340,2.0270,2.7070,3.1553,4.2070,399.9705,0.9069,0.7939
0,390.0000,7,949952,1.2086,1.0410,2.0460,2.7190,3.1990,4.1400,399.9798,0.9089,0.7937
1,390.0000,9,949971,0.7214,0.7039,0.8861,1.2890,1.6579,2.6096,399.9878,0.8145,0.8141
0,450.0000,4,1117392,2.2363,2.0069,3.7470,4.5190,4.7536,5.2010,470.4808,0.9468,0.8622
1,450.0000,4,1117573,1.2198,1.1774,1.5357,2.1126,2.7042,3.7061,470.5571,0.8793,0.8788
1,390.0000,6,949964,0.7200,0.7011,0.8885,1.2826,1.6200,2.2585,399.9848,0.8165,0.8162
1,390.0000,5,949965,0.7213,0.7037,0.8883,1.2868,1.6523,2.4996,399.9853,0.8146,0.8141
0,600.0000,4,1175265,8.2811,8.3480,9.6550,10.2520,10.4980,10.9060,494.8484,0.9584,0.8848
0,450.0000,10,1117575,2.2457,2.0201,3.7530,4.5210,4.7510,5.0710,470.5579,0.9447,0.8606
0,450.0000,8,1117510,2.2471,2.0200,3.7540,4.5190,4.7410,5.0860,470.5305,0.9471,0.8616
0,450.0000,5,1117425,2.2519,2.0250,3.7700,4.5260,4.7500,5.1670,470.4947,0.9458,0.8597
0,450.0000,6,1117561,2.2526,2.0280,3.7660,4.5220,4.7440,5.0970,470.5520,0.9457,0.8621
0,450.0000,9,1117563,2.2466,2.0200,3.7540,4.5180,4.7340,5.1910,470.5528,0.9444,0.8600
1,450.0000,9,1117567,1.2286,1.1824,1.5674,2.1333,2.6351,3.6972,470.5545,0.8767,0.8764
1,450.0000,6,1117572,1.2289,1.1813,1.5652,2.1726,2.8313,3.7245,470.5566,0.8785,0.8781
0,600.0000,7,1175195,8.2837,8.3500,9.6560,10.2500,10.4760,10.7530,494.8189,0.9573,0.8825
0,450.0000,7,1117567,2.2473,2.0154,3.7710,4.5220,4.7430,5.0950,470.5545,0.9456,0.8598
1,390.0000,7,949968,0.7199,0.7031,0.8853,1.2590,1.6280,2.5436,399.9865,0.8148,0.8144
1,390.0000,10,949974,0.7197,0.7017,0.8857,1.2796,1.6555,2.3923,399.9891,0.8154,0.8150
1,450.0000,8,1117578,1.2215,1.1772,1.5372,2.1870,2.5982,3.3416,470.5592,0.8786,0.8782
0,600.0000,6,1175217,8.2891,8.3560,9.6620,10.2620,10.4810,10.8140,494.8282,0.9568,0.8846
0,600.0000,9,1175321,8.2854,8.3519,9.6590,10.2590,10.5060,10.8520,494.8720,0.9560,0.8826
1,600.0000,7,1135888,7.3433,8.6377,9.0338,9.3039,9.4783,9.7641,478.2686,0.8830,0.8825
1,600.0000,5,1135552,7.3438,8.6391,9.0333,9.3029,9.4939,9.9014,478.1272,0.8824,0.8821
1,600.0000,4,1136731,7.3338,8.6370,9.0132,9.2591,9.4285,9.7794,478.6236,0.8854,0.8850
0,600.0000,5,1175678,8.2839,8.3510,9.6590,10.2620,10.5030,10.8750,495.0223,0.9571,0.8827
1,450.0000,5,1117570,1.2434,1.1896,1.6020,2.2415,2.6793,3.4196,470.5558,0.8765,0.8762
1,600.0000,6,1136881,7.3287,8.6198,9.0183,9.2869,9.5249,9.8808,478.6867,0.8846,0.8844
1,450.0000,7,1117565,1.2181,1.1787,1.5328,2.0537,2.5576,3.7269,470.5537,0.8770,0.8766
0,600.0000,10,1174936,8.2848,8.3520,9.6580,10.2580,10.5020,10.8200,494.7099,0.9563,0.8829
1,450.0000,10,1117582,1.2185,1.1778,1.5372,2.0814,2.7749,3.8266,470.5608,0.8773,0.8769
0,600.0000,8,1175175,8.2883,8.3550,9.6630,10.2630,10.4870,10.8140,494.8105,0.9585,0.8840
0,700.0000,9,1174943,8.3847,8.5000,9.7530,10.3560,10.6126,11.0330,494.7128,0.9560,0.8822
0,700.0000,6,1175095,8.3828,8.4986,9.7503,10.3460,10.5870,10.8840,494.7768,0.9567,0.8846
0,700.0000,5,1175408,8.3792,8.4948,9.7450,10.3450,10.5830,10.9090,494.9086,0.9569,0.8825
0,700.0000,10,1175008,8.3776,8.4910,9.7440,10.3440,10.5880,10.9720,494.7402,0.9563,0.8830
1,700.0000,5,1135924,7.4131,8.7274,9.1259,9.4048,9.5856,9.7676,478.2838,0.8826,0.8822
0,700.0000,8,1175038,8.3779,8.4920,9.7428,10.3450,10.5848,10.8910,494.7528,0.9585,0.8839
1,700.0000,8,1135922,7.4151,8.7356,9.1272,9.3976,9.5904,10.0508,478.2829,0.8844,0.8840
1,700.0000,4,1136921,7.4049,8.7201,9.1159,9.3855,9.5593,9.8928,478.7036,0.8853,0.8852
1,600.0000,8,1136052,7.3402,8.6396,9.0269,9.2892,9.4694,9.8084,478.3377,0.8846,0.8841
1,700.0000,10,1136943,7.4036,8.7207,9.1094,9.3627,9.5328,9.8418,478.7128,0.8837,0.8833
0,700.0000,7,1175044,8.3762,8.4900,9.7396,10.3410,10.5770,10.9250,494.7554,0.9572,0.8823
1,700.0000,7,1135608,7.4194,8.7421,9.1298,9.3995,9.5606,9.8344,478.1507,0.8825,0.8824
1,700.0000,6,1136499,7.4062,8.7184,9.1236,9.3983,9.6097,10.2664,478.5259,0.8845,0.8842
1,600.0000,9,1136520,7.3360,8.6345,9.0207,9.2794,9.4527,9.7564,478.5347,0.8829,0.8826
1,700.0000,9,1136511,7.4082,8.7207,9.1154,9.3888,9.5892,10.0194,478.5309,0.8829,0.8825
1,600.0000,10,1136466,7.3356,8.6362,9.0153,9.2622,9.4392,9.8784,478.5120,0.8835,0.8829
0,700.0000,4,1175853,8.3705,8.4845,9.7370,10.3400,10.5920,10.9280,495.0960,0.9584,0.8855
