time_s,n_pkts,mean_ms,p50_ms,p90_ms,p99_ms,max_ms,tput_mbps
1.2500,14265,6.6467,2.6446,27.5798,31.4838,32.1232,456.4800
1.5000,13743,7.9084,0.8822,30.4609,32.1793,33.2132,439.7760
1.7500,15115,6.9429,1.2909,27.4592,30.4952,31.1124,483.6800
2.0000,15465,6.7700,4.8087,15.8375,26.1246,27.1316,494.8800
2.2500,14896,7.2983,8.6790,9.1084,9.2497,9.4654,476.6720
2.5000,15016,7.3136,8.6282,8.9596,9.1692,9.3434,480.5120
2.7500,14980,7.3240,8.6188,8.9942,9.3371,9.4201,479.3600
3.0000,14870,7.4120,8.7352,9.0360,9.2176,9.2827,475.8400
3.2500,14902,7.3769,8.7172,9.0069,9.1967,9.2997,476.8640
3.5000,14975,7.3341,8.6331,8.9875,9.2996,9.4406,479.2000
3.7500,14982,7.3376,8.6496,8.9453,9.2540,9.3552,479.4240
4.0000,14947,7.3595,8.6839,9.0127,9.1806,9.3010,478.3040
4.2500,14886,7.3997,8.7149,9.0537,9.3398,9.4815,476.3520
4.5000,15100,7.2120,8.4216,8.9241,9.1726,9.2929,483.2000
4.7500,14947,7.3320,8.6238,9.0223,9.2420,9.5224,478.3040
5.0000,14913,7.3809,8.6740,9.0596,9.4249,9.5098,477.2160
5.2500,14954,7.3553,8.6608,9.0115,9.1981,9.3304,478.5280
5.5000,15055,7.2817,8.5266,8.9664,9.1337,9.2214,481.7600
5.7500,14992,7.3210,8.6082,9.0068,9.2113,9.3167,479.7440
6.0000,14958,7.3378,8.6648,8.9305,9.1757,9.3700,478.6560
6.2500,14796,7.4539,8.7533,9.1302,9.3827,9.4860,473.4720
6.5000,15092,7.2402,8.4333,8.9543,9.1320,9.2340,482.9440
6.7500,14994,7.2729,8.4651,9.0160,9.3087,9.4939,479.8080
7.0000,14889,7.4018,8.7150,9.1076,9.2365,9.3031,476.4480
7.2500,14957,7.3286,8.6075,9.0233,9.2386,9.4291,478.6240
7.5000,14914,7.3698,8.6791,9.0644,9.2556,9.5328,477.2480
7.7500,14869,7.4033,8.7366,9.1077,9.3271,9.4267,475.8080
8.0000,14953,7.3523,8.6589,9.0072,9.2515,9.3235,478.4960
8.2500,14952,7.3330,8.6049,9.0218,9.2402,9.3397,478.4640
8.5000,15000,7.3096,8.5979,9.0089,9.1961,9.3776,480.0000
8.7500,14944,7.3489,8.6389,9.0467,9.3468,9.4791,478.2080
9.0000,14889,7.3818,8.6963,9.0598,9.2458,9.3307,476.4480
9.2500,14949,7.3597,8.6602,8.9951,9.1957,9.2850,478.3680
9.5000,14981,7.3249,8.6221,8.9719,9.1913,9.3658,479.3920
9.7500,14977,7.3429,8.6107,9.0390,9.3904,9.4641,479.2640
10.0000,15084,7.2319,8.4517,8.9381,9.2419,9.3482,482.6880
10.2500,15109,7.2131,8.4275,8.8610,9.1262,9.2771,483.4880
10.5000,14808,7.4449,8.7471,9.0704,9.2716,9.5821,473.8560
10.7500,15017,7.3214,8.6141,8.9703,9.3750,9.5778,480.5440
11.0000,14925,7.3705,8.6777,9.0259,9.1789,9.2726,477.6000
11.2500,14917,7.3463,8.6513,9.0225,9.1904,9.2484,477.3440
11.5000,15051,7.2631,8.5240,8.8922,9.0444,9.1385,481.6320
11.7500,14857,7.4203,8.7343,9.0881,9.3826,9.4667,475.4240
12.0000,15051,7.2668,8.5008,9.0026,9.1384,9.2037,481.6320
12.2500,14869,7.3873,8.6807,9.0835,9.3407,9.4203,475.8080
12.5000,15125,7.2300,8.4750,8.8333,9.0540,9.2167,484.0000
12.7500,15000,7.2876,8.5782,8.9300,9.2661,9.3543,480.0000
13.0000,14793,7.4878,8.8109,9.2023,9.4428,9.5330,473.3760
13.2500,15055,7.2490,8.4529,8.8989,9.1729,9.2652,481.7600
13.5000,14905,7.3809,8.6686,9.0507,9.4188,9.5179,476.9600
13.7500,14938,7.3621,8.6802,9.0661,9.2946,9.4811,478.0160
14.0000,14893,7.3835,8.6919,9.0727,9.2891,9.3787,476.5760
14.2500,14912,7.3808,8.7004,9.0318,9.4176,9.5430,477.1840
14.5000,14965,7.3354,8.6198,8.9897,9.2008,9.4944,478.8800
14.7500,14912,7.3689,8.6775,9.0516,9.2433,9.3447,477.1840
15.0000,14977,7.3380,8.6431,8.9951,9.1520,9.3224,479.2640
15.2500,14930,7.3516,8.6704,9.0658,9.2139,9.3181,477.7600
15.5000,14962,7.3329,8.6127,8.9836,9.4400,9.5110,478.7840
15.7500,15026,7.2768,8.5447,8.9209,9.1077,9.2667,480.8320
16.0000,14841,7.4138,8.7291,9.0694,9.4044,9.4988,474.9120
16.2500,14919,7.3890,8.7077,9.0223,9.3287,9.3994,477.4080
16.5000,14917,7.3702,8.6936,9.0120,9.2997,9.3979,477.3440
16.7500,14968,7.3259,8.5950,8.9983,9.2051,9.3144,478.9760
17.0000,14994,7.3082,8.5977,8.9537,9.1852,9.2855,479.8080
17.2500,14923,7.3675,8.6885,9.0255,9.1617,9.2390,477.5360
17.5000,14856,7.4015,8.6887,9.1006,9.3594,9.4367,475.3920
17.7500,14888,7.4097,8.7324,9.0691,9.4190,9.5119,476.4160
18.0000,15012,7.3014,8.5830,8.9459,9.1157,9.1877,480.3840
18.2500,15040,7.2681,8.5456,8.9542,9.2469,9.4260,481.2800
18.5000,14733,7.4776,8.7945,9.1711,9.4729,9.5814,471.4560
18.7500,14925,7.3857,8.6914,9.0045,9.3389,9.4377,477.6000
19.0000,15021,7.2662,8.5058,8.9556,9.2207,9.2981,480.6720
19.2500,15009,7.3063,8.5835,8.9905,9.2289,9.3573,480.2880
19.5000,14935,7.3736,8.6997,9.0150,9.2394,9.3511,477.9200
19.7500,14818,7.4298,8.7566,9.0849,9.3792,9.5214,474.1760
20.0000,15123,7.2094,8.3940,8.9144,9.0425,9.1278,483.9360
20.2500,14931,7.3620,8.6586,9.0322,9.2523,9.3614,477.7920
20.5000,14983,7.3144,8.6039,9.0069,9.1239,9.1804,479.4560
20.7500,14962,7.3420,8.6545,9.0044,9.3304,9.4319,478.7840
21.0000,14892,7.3800,8.7166,9.0302,9.1957,9.3672,476.5440
21.2500,14860,7.4169,8.7451,9.0287,9.2040,9.3136,475.5200
21.5000,14984,7.3200,8.5586,9.0193,9.2542,9.3764,479.4880
21.7500,15011,7.3020,8.6104,8.9171,9.1343,9.2257,480.3520
22.0000,14907,7.3918,8.7320,9.0419,9.2846,9.3794,477.0240
22.2500,15022,7.2960,8.5831,8.9687,9.4263,9.5621,480.7040
22.5000,14900,7.3880,8.6869,9.0481,9.4298,9.5716,476.8000
22.7500,14826,7.4375,8.7787,9.0715,9.3090,9.4761,474.4320
23.0000,14936,7.3791,8.6971,9.0109,9.2316,9.3129,477.9520
23.2500,14998,7.3155,8.6071,8.9920,9.1670,9.2739,479.9360
23.5000,14896,7.3881,8.7112,9.0396,9.1484,9.2114,476.6720
23.7500,14985,7.3305,8.6262,9.0693,9.2054,9.4048,479.5200
24.0000,14977,7.3434,8.6482,9.0195,9.2391,9.3102,479.2640
24.2500,14941,7.3461,8.6592,8.9777,9.2137,9.2750,478.1120
24.5000,15002,7.3234,8.5902,9.0035,9.2926,9.3974,480.0640
24.7500,14979,7.3364,8.6119,8.9955,9.1587,9.2708,479.3280
