time_s,co0_ap,co1_ap,p_tid1
1.00000,0.00487,0.00287,0.53878
1.25000,0.78234,0.55486,0.55266
1.50000,0.97145,0.60205,0.57208
1.75000,0.97269,0.59448,0.58665
2.00000,0.97298,0.60496,0.59564
2.25000,0.97258,0.60441,0.60197
2.50000,0.97234,0.61348,0.60532
2.75000,0.97283,0.61333,0.60772
3.00000,0.97147,0.61722,0.60885
3.25000,0.97321,0.62006,0.60944
3.50000,0.96009,0.61520,0.60945
3.75000,0.95743,0.61514,0.60927
4.00000,0.95152,0.61721,0.60845
4.25000,0.95691,0.61515,0.60853
4.50000,0.95309,0.61866,0.60788
4.75000,0.96371,0.60734,0.60954
5.00000,0.96888,0.61495,0.61020
5.25000,0.96271,0.61540,0.61015
5.50000,0.95206,0.61727,0.60911
5.75000,0.96427,0.61508,0.60954
6.00000,0.95228,0.61545,0.60891
6.25000,0.95655,0.61631,0.60868
6.50000,0.96446,0.61388,0.60940
6.75000,0.97052,0.61128,0.61064
7.00000,0.95842,0.62026,0.60958
7.25000,0.95799,0.62124,0.60869
7.50000,0.94745,0.61510,0.60799
7.75000,0.96760,0.61253,0.60930
8.00000,0.96633,0.61388,0.60997
8.25000,0.95998,0.61663,0.60964
8.50000,0.95114,0.61537,0.60890
8.75000,0.95881,0.61767,0.60869
9.00000,0.95799,0.61521,0.60877
9.25000,0.95928,0.61674,0.60874
9.50000,0.96909,0.61398,0.60976
9.75000,0.95327,0.61808,0.60883
10.00000,0.96113,0.61847,0.60872
10.25000,0.96021,0.62025,0.60837
10.50000,0.96452,0.61161,0.60945
10.75000,0.95521,0.61643,0.60895
11.00000,0.95222,0.61448,0.60860
11.25000,0.95779,0.61739,0.60843
11.50000,0.95586,0.61491,0.60846
11.75000,0.95757,0.62080,0.60793
12.00000,0.95673,0.61705,0.60792
12.25000,0.95588,0.61560,0.60803
12.50000,0.95406,0.61749,0.60774
12.75000,0.95355,0.61841,0.60740
13.00000,0.94737,0.61994,0.60652
13.25000,0.95613,0.61528,0.60710
13.50000,0.95835,0.61360,0.60787
13.75000,0.95938,0.61726,0.60805
14.00000,0.96152,0.61738,0.60833
14.25000,0.96445,0.61083,0.60951
14.50000,0.96172,0.61149,0.61005
14.75000,0.95657,0.61580,0.60954
15.00000,0.96178,0.61615,0.60953
15.25000,0.96331,0.61496,0.60978
15.50000,0.95951,0.61433,0.60975
15.75000,0.97265,0.61140,0.61103
16.00000,0.96203,0.61533,0.61069
16.25000,0.96580,0.61339,0.61096
16.50000,0.95812,0.61386,0.61052
16.75000,0.96885,0.61140,0.61129
17.00000,0.95767,0.61855,0.61018
17.25000,0.96962,0.61608,0.61057
17.50000,0.95393,0.61468,0.60984
17.75000,0.95942,0.61557,0.60963
18.00000,0.95887,0.61608,0.60939
18.25000,0.96316,0.61468,0.60970
18.50000,0.94997,0.61716,0.60865
18.75000,0.96535,0.61377,0.60945
19.00000,0.95806,0.62298,0.60840
19.25000,0.96402,0.61726,0.60878
19.50000,0.95764,0.61213,0.60916
19.75000,0.96253,0.61519,0.60943
20.00000,0.95598,0.61573,0.60908
20.25000,0.95988,0.61364,0.60936
20.50000,0.96197,0.61043,0.61009
20.75000,0.96393,0.61629,0.61006
21.00000,0.96764,0.61135,0.61089
21.25000,0.96511,0.61640,0.61069
21.50000,0.96393,0.61676,0.61043
21.75000,0.96030,0.61273,0.61045
22.00000,0.95386,0.61528,0.60968
22.25000,0.95818,0.61752,0.60921
22.50000,0.95877,0.61493,0.60922
22.75000,0.95881,0.61702,0.60899
23.00000,0.96119,0.61807,0.60888
23.25000,0.96023,0.61423,0.60918
23.50000,0.95641,0.61694,0.60879
23.75000,0.95871,0.61851,0.60851
24.00000,0.96023,0.61599,0.60871
24.25000,0.95178,0.61662,0.60815
24.50000,0.95350,0.61578,0.60799
24.75000,0.95803,0.61377,0.60845
