time_s,n_pkts,mean_ms,p50_ms,p90_ms,p99_ms,max_ms,tput_mbps
22.0000,9978,0.7094,0.6120,1.1752,1.5380,1.9210,319.2960
22.2500,9987,0.7403,0.6520,1.2050,1.5509,1.9300,319.5840
22.5000,10023,0.7413,0.6519,1.2170,1.5545,1.8560,320.7360
22.7500,9977,0.7171,0.6235,1.1740,1.5500,1.9960,319.2640
23.0000,10029,0.7352,0.6440,1.2060,1.5799,1.8500,320.9280
23.2500,9998,0.6980,0.6020,1.1499,1.5269,1.7820,319.9360
23.5000,10010,0.6672,0.5700,1.0932,1.5270,1.8410,320.3200
23.7500,10001,0.7056,0.6010,1.1609,1.5850,1.9920,320.0320
24.0000,9970,0.6955,0.5996,1.1310,1.5150,1.7820,319.0400
24.2500,10021,0.7107,0.6125,1.1710,1.5380,1.8620,320.6720
24.5000,10000,0.7081,0.6189,1.1528,1.5160,1.8510,320.0000
24.7500,10001,0.7134,0.6149,1.1790,1.6211,2.1410,320.0320
