time_s,n_pkts,mean_ms,p50_ms,p90_ms,p99_ms,max_ms,tput_mbps
1.2500,1097,0.1502,0.1380,0.2370,0.3050,0.4734,65.1200
1.5000,1096,0.1511,0.1400,0.2400,0.3110,0.4586,65.1840
1.7500,1096,0.1546,0.1480,0.2390,0.3070,0.3504,65.1520
2.0000,1096,0.1517,0.1390,0.2430,0.3314,0.5214,65.1200
2.2500,1097,0.1534,0.1440,0.2410,0.3194,0.4994,65.1840
2.5000,1097,0.1577,0.1470,0.2490,0.3124,0.3866,65.2160
2.7500,1097,0.1580,0.1500,0.2450,0.3280,0.5046,65.1520
3.0000,1095,0.1517,0.1410,0.2400,0.3090,0.4634,65.1200
3.2500,1097,0.1562,0.1480,0.2440,0.3280,0.5704,65.1840
3.5000,1096,0.1491,0.1370,0.2380,0.3184,0.4344,65.0880
3.7500,1098,0.1454,0.1340,0.2330,0.3080,0.5806,65.2800
4.0000,1096,0.1550,0.1440,0.2450,0.3084,0.4974,65.1200
4.2500,1096,0.1540,0.1420,0.2430,0.3154,0.4596,65.1520
4.5000,1097,0.1540,0.1440,0.2410,0.3150,0.3996,65.1840
4.7500,1096,0.1509,0.1410,0.2380,0.3174,0.4684,65.1520
5.0000,1096,0.1538,0.1450,0.2380,0.3040,0.4596,65.1520
5.2500,1097,0.1510,0.1400,0.2410,0.3184,0.5324,65.1840
5.5000,1096,0.1566,0.1490,0.2470,0.3234,0.4676,65.1520
5.7500,1097,0.1541,0.1460,0.2430,0.3184,0.4316,65.1840
6.0000,1096,0.1519,0.1410,0.2410,0.3280,0.4206,65.1200
6.2500,1097,0.1493,0.1370,0.2410,0.3064,0.3636,65.1840
6.5000,1096,0.1521,0.1380,0.2480,0.3180,0.3596,65.1520
6.7500,1097,0.1541,0.1470,0.2360,0.3070,0.4594,65.1840
7.0000,1097,0.1517,0.1450,0.2400,0.3040,0.4236,65.1520
7.2500,1096,0.1522,0.1420,0.2420,0.3190,0.4944,65.1840
7.5000,1097,0.1498,0.1410,0.2310,0.3034,0.4746,65.1840
7.7500,1096,0.1483,0.1380,0.2350,0.3180,0.5436,65.1200
8.0000,1096,0.1560,0.1460,0.2460,0.3114,0.4404,65.1520
8.2500,1097,0.1522,0.1430,0.2430,0.3314,0.4424,65.1840
8.5000,1096,0.1488,0.1390,0.2320,0.3010,0.4286,65.1200
8.7500,1097,0.1531,0.1440,0.2420,0.3250,0.4686,65.1840
9.0000,1097,0.1513,0.1400,0.2440,0.3124,0.4506,65.2160
9.2500,1096,0.1492,0.1420,0.2360,0.3060,0.3746,65.1520
9.5000,1097,0.1484,0.1370,0.2380,0.3080,0.4934,65.1840
9.7500,1096,0.1592,0.1510,0.2460,0.3184,0.3836,65.1200
10.0000,1096,0.1494,0.1390,0.2370,0.3124,0.4426,65.1520
10.2500,1097,0.1576,0.1500,0.2430,0.3174,0.3756,65.1520
10.5000,1096,0.1495,0.1360,0.2420,0.3084,0.3924,65.1520
10.7500,1097,0.1511,0.1420,0.2380,0.3114,0.4564,65.2160
11.0000,1097,0.1572,0.1490,0.2450,0.3154,0.3604,65.1840
11.2500,1096,0.1566,0.1450,0.2520,0.3174,0.4624,65.1200
11.5000,1096,0.1560,0.1470,0.2470,0.3160,0.5626,65.1520
11.7500,1097,0.1503,0.1410,0.2350,0.3070,0.4584,65.1520
12.0000,1097,0.1490,0.1400,0.2320,0.3084,0.4916,65.1840
12.2500,1096,0.1590,0.1530,0.2470,0.3134,0.4276,65.1520
12.5000,1097,0.1579,0.1480,0.2500,0.3160,0.4364,65.1840
12.7500,1096,0.1534,0.1440,0.2440,0.3200,0.5794,65.1520
13.0000,1097,0.1501,0.1410,0.2340,0.3070,0.4036,65.1840
13.2500,1096,0.1540,0.1450,0.2450,0.3184,0.4496,65.1520
13.5000,1096,0.1477,0.1380,0.2340,0.3104,0.4264,65.1520
13.7500,1097,0.1552,0.1460,0.2390,0.3114,0.4034,65.1840
14.0000,1096,0.1565,0.1470,0.2480,0.3084,0.4504,65.1520
14.2500,1097,0.1534,0.1460,0.2370,0.3070,0.5334,65.1840
14.5000,1097,0.1565,0.1490,0.2520,0.3264,0.4356,65.1200
14.7500,1096,0.1556,0.1480,0.2440,0.3064,0.3540,65.1840
15.0000,1097,0.1507,0.1410,0.2390,0.3064,0.3936,65.1840
15.2500,1096,0.1559,0.1470,0.2380,0.3144,0.4234,65.1520
15.5000,1096,0.1506,0.1410,0.2330,0.3280,0.3706,65.1200
15.7500,1097,0.1518,0.1430,0.2310,0.3070,0.4986,65.2160
16.0000,1096,0.1474,0.1370,0.2330,0.3040,0.5456,65.1200
16.2500,1096,0.1525,0.1440,0.2410,0.3144,0.4656,65.1520
16.5000,1098,0.1494,0.1390,0.2390,0.3130,0.4116,65.2160
16.7500,1096,0.1548,0.1440,0.2430,0.3130,0.4946,65.1520
17.0000,1096,0.1499,0.1400,0.2330,0.3064,0.3866,65.1520
17.2500,1097,0.1558,0.1460,0.2450,0.3140,0.4064,65.1840
17.5000,1096,0.1553,0.1440,0.2460,0.3334,0.5074,65.1200
17.7500,1097,0.1523,0.1420,0.2410,0.3164,0.4234,65.1840
18.0000,1096,0.1576,0.1480,0.2490,0.3144,0.4316,65.1520
18.2500,1096,0.1516,0.1410,0.2420,0.3114,0.3694,65.1520
18.5000,1097,0.1544,0.1440,0.2470,0.3094,0.4026,65.1840
18.7500,1097,0.1505,0.1430,0.2360,0.3000,0.4416,65.1840
19.0000,1096,0.1538,0.1430,0.2410,0.3264,0.5316,65.1200
19.2500,1097,0.1527,0.1450,0.2370,0.3060,0.3636,65.1840
19.5000,1096,0.1481,0.1370,0.2330,0.2990,0.3476,65.1200
19.7500,1097,0.1497,0.1410,0.2350,0.3204,0.3806,65.2160
