time_s,co0_ap,co1_ap,p_tid1
1.00000,0.00481,0.00288,0.75039
1.25000,0.30572,0.49421,0.71269
1.50000,0.41721,0.53326,0.68948
1.75000,0.42018,0.53110,0.66729
2.00000,0.49694,0.51029,0.66462
2.25000,0.47752,0.51772,0.65658
2.50000,0.49119,0.51174,0.65247
2.75000,0.48320,0.51775,0.64556
3.00000,0.50704,0.50915,0.64514
3.25000,0.49507,0.51462,0.64123
3.50000,0.48365,0.51412,0.63514
3.75000,0.50568,0.50815,0.63464
4.00000,0.49726,0.50482,0.63313
4.25000,0.49174,0.51095,0.62929
4.50000,0.49352,0.51197,0.62560
4.75000,0.51646,0.50551,0.62779
5.00000,0.50242,0.50705,0.62686
5.25000,0.52516,0.50208,0.63148
5.50000,0.50302,0.50560,0.63096
5.75000,0.51443,0.50384,0.63308
6.00000,0.51907,0.50368,0.63616
6.25000,0.50591,0.50647,0.63604
6.50000,0.49531,0.51290,0.63253
6.75000,0.51124,0.50667,0.63344
7.00000,0.50018,0.51217,0.63104
7.25000,0.51537,0.50538,0.63304
7.50000,0.49587,0.51171,0.62987
7.75000,0.50640,0.50007,0.63114
8.00000,0.50916,0.50760,0.63145
8.25000,0.50810,0.50784,0.63150
8.50000,0.50570,0.50471,0.63170
8.75000,0.51293,0.50312,0.63366
9.00000,0.51358,0.50974,0.63443
9.25000,0.52189,0.50605,0.63760
9.50000,0.52033,0.50371,0.64092
9.75000,0.48863,0.51476,0.63570
10.00000,0.48362,0.51242,0.62994
10.25000,0.52365,0.50269,0.63413
10.50000,0.51111,0.51020,0.63431
10.75000,0.50280,0.50395,0.63408
11.00000,0.51031,0.50834,0.63448
11.25000,0.50387,0.50770,0.63371
11.50000,0.49315,0.50747,0.63084
11.75000,0.51346,0.50600,0.63234
12.00000,0.50545,0.50707,0.63201
12.25000,0.52232,0.49832,0.63681
12.50000,0.50986,0.50921,0.63694
12.75000,0.49971,0.51188,0.63451
13.00000,0.51382,0.51033,0.63521
13.25000,0.51565,0.50428,0.63748
13.50000,0.51095,0.50541,0.63859
13.75000,0.50092,0.50867,0.63704
14.00000,0.49896,0.50901,0.63503
14.25000,0.51215,0.51212,0.63503
14.50000,0.50620,0.50701,0.63487
14.75000,0.51860,0.50169,0.63825
15.00000,0.50897,0.50256,0.63954
15.25000,0.48655,0.51735,0.63338
15.50000,0.48956,0.51097,0.62909
15.75000,0.49213,0.51243,0.62503
16.00000,0.52385,0.50190,0.62942
16.25000,0.51031,0.50691,0.63010
16.50000,0.49310,0.50758,0.62721
16.75000,0.49468,0.50460,0.62523
17.00000,0.51093,0.50485,0.62644
17.25000,0.51248,0.50352,0.62823
17.50000,0.50771,0.50461,0.62885
17.75000,0.52170,0.50436,0.63232
18.00000,0.50995,0.50474,0.63337
18.25000,0.52091,0.50086,0.63738
18.50000,0.50005,0.50772,0.63584
18.75000,0.50229,0.50814,0.63467
19.00000,0.51277,0.51168,0.63489
19.25000,0.50631,0.50651,0.63485
19.50000,0.50792,0.50675,0.63509
19.75000,0.51776,0.50674,0.63729
20.00000,0.49800,0.50893,0.63511
20.25000,0.51334,0.50509,0.63676
20.50000,0.51012,0.50318,0.63814
20.75000,0.50942,0.51204,0.63762
21.00000,0.50396,0.50796,0.63682
21.25000,0.48847,0.51357,0.63180
21.50000,0.52953,0.49796,0.63812
21.75000,0.50414,0.51058,0.63683
22.00000,0.49046,0.51424,0.63207
22.25000,0.51315,0.50777,0.63315
22.50000,0.49901,0.50980,0.63099
22.75000,0.49912,0.51343,0.62812
23.00000,0.51442,0.50237,0.63053
23.25000,0.53621,0.49414,0.63895
23.50000,0.49940,0.50978,0.63687
23.75000,0.50308,0.50579,0.63633
24.00000,0.51552,0.50502,0.63843
24.25000,0.50899,0.51298,0.63763
24.50000,0.51293,0.50460,0.63930
24.75000,0.48899,0.51355,0.63439
