time_s,co0_ap,co1_ap,p_tid1
1.00000,0.00487,0.00287,0.75040
1.25000,0.78328,0.79089,0.74888
1.50000,0.97047,0.81544,0.77989
1.75000,0.97015,0.86882,0.80015
2.00000,0.96095,0.88400,0.81554
2.25000,0.89269,0.89127,0.81583
2.50000,0.88369,0.89285,0.81399
2.75000,0.88790,0.89274,0.81303
3.00000,0.88669,0.89154,0.81206
3.25000,0.90279,0.89110,0.81439
3.50000,0.88427,0.89142,0.81296
3.75000,0.89403,0.89022,0.81372
4.00000,0.88473,0.89125,0.81242
4.25000,0.89606,0.88819,0.81400
4.50000,0.89525,0.88777,0.81549
4.75000,0.89753,0.89128,0.81674
5.00000,0.88092,0.89352,0.81422
5.25000,0.88746,0.89170,0.81337
5.50000,0.88290,0.89414,0.81112
5.75000,0.88926,0.89110,0.81075
6.00000,0.89668,0.89025,0.81204
6.25000,0.89791,0.89076,0.81347
6.50000,0.89817,0.88776,0.81555
6.75000,0.89625,0.88901,0.81700
7.00000,0.88122,0.89318,0.81461
7.25000,0.89883,0.88865,0.81665
7.50000,0.88879,0.89190,0.81602
7.75000,0.88224,0.89310,0.81385
8.00000,0.89291,0.88977,0.81448
8.25000,0.89031,0.88944,0.81465
8.50000,0.88961,0.89239,0.81410
8.75000,0.88888,0.89172,0.81353
9.00000,0.89399,0.88937,0.81445
9.25000,0.88313,0.89311,0.81246
9.50000,0.88365,0.89369,0.81045
9.75000,0.90754,0.88718,0.81452
10.00000,0.88613,0.89157,0.81343
10.25000,0.88249,0.89398,0.81113
10.50000,0.90137,0.88755,0.81390
10.75000,0.89169,0.89124,0.81399
11.00000,0.88478,0.89123,0.81270
11.25000,0.90981,0.88738,0.81718
11.50000,0.88165,0.89357,0.81480
11.75000,0.88361,0.89454,0.81261
12.00000,0.89953,0.88705,0.81511
12.25000,0.88161,0.89418,0.81259
12.50000,0.88834,0.89450,0.81136
12.75000,0.89703,0.89232,0.81230
13.00000,0.88392,0.89324,0.81044
13.25000,0.89994,0.88920,0.81259
13.50000,0.88496,0.89160,0.81126
13.75000,0.90075,0.88968,0.81348
14.00000,0.89162,0.89054,0.81369
14.25000,0.88332,0.89161,0.81203
14.50000,0.88252,0.89351,0.80984
14.75000,0.90187,0.88825,0.81256
15.00000,0.89354,0.89282,0.81270
15.25000,0.89501,0.88793,0.81412
15.50000,0.88728,0.89003,0.81357
15.75000,0.89208,0.88918,0.81415
16.00000,0.88729,0.89156,0.81329
16.25000,0.89188,0.89291,0.81309
16.50000,0.89208,0.89072,0.81336
16.75000,0.89972,0.88690,0.81592
17.00000,0.87607,0.89304,0.81253
17.25000,0.89126,0.89118,0.81255
17.50000,0.88861,0.89143,0.81198
17.75000,0.89673,0.89018,0.81329
18.00000,0.88324,0.89265,0.81141
18.25000,0.90125,0.88945,0.81377
18.50000,0.88388,0.89310,0.81192
18.75000,0.89992,0.89037,0.81383
19.00000,0.89384,0.89046,0.81451
19.25000,0.89650,0.89059,0.81569
19.50000,0.88912,0.89093,0.81533
19.75000,0.88531,0.89165,0.81406
20.00000,0.88905,0.89164,0.81354
20.25000,0.88558,0.89124,0.81241
20.50000,0.89269,0.88992,0.81297
20.75000,0.88884,0.89123,0.81249
21.00000,0.89289,0.89334,0.81240
21.25000,0.89475,0.88885,0.81358
21.50000,0.88779,0.89406,0.81232
21.75000,0.89767,0.88907,0.81404
22.00000,0.89781,0.89276,0.81506
22.25000,0.89838,0.88836,0.81706
22.50000,0.87578,0.89446,0.81333
22.75000,0.88923,0.89063,0.81305
23.00000,0.90247,0.89024,0.81549
23.25000,0.88707,0.89162,0.81458
23.50000,0.88560,0.89235,0.81323
23.75000,0.88018,0.89066,0.81114
24.00000,0.89423,0.89353,0.81128
24.25000,0.88769,0.89057,0.81070
24.50000,0.88249,0.89813,0.80757
24.75000,0.91221,0.88603,0.81281
