time_s,co0_ap,co1_ap,p_tid1
1.00000,0.00481,0.00288,0.53755
1.25000,0.65989,0.40793,0.56168
1.50000,0.77601,0.46561,0.58067
1.75000,0.76648,0.47588,0.59156
2.00000,0.77052,0.46981,0.60046
2.25000,0.76391,0.48187,0.60428
2.50000,0.76543,0.48227,0.60704
2.75000,0.76070,0.48220,0.60854
3.00000,0.75917,0.48568,0.60893
3.25000,0.76601,0.47857,0.61090
3.50000,0.75341,0.49579,0.60856
3.75000,0.76010,0.48643,0.60893
4.00000,0.75577,0.48820,0.60851
4.25000,0.75575,0.48702,0.60839
4.50000,0.75478,0.49047,0.60771
4.75000,0.75430,0.49059,0.60717
5.00000,0.75751,0.48891,0.60735
5.25000,0.75547,0.48584,0.60772
5.50000,0.76547,0.48112,0.60962
5.75000,0.75657,0.48444,0.60963
6.00000,0.76370,0.48024,0.61092
6.25000,0.75704,0.48449,0.61057
6.50000,0.76482,0.48103,0.61157
6.75000,0.75353,0.49120,0.60971
7.00000,0.75872,0.48343,0.61004
7.25000,0.75563,0.49507,0.60828
7.50000,0.75934,0.48333,0.60911
7.75000,0.75501,0.49567,0.60748
8.00000,0.76232,0.48054,0.60925
8.25000,0.75550,0.48737,0.60883
8.50000,0.76048,0.48246,0.60973
8.75000,0.75263,0.49477,0.60782
9.00000,0.75963,0.48157,0.60908
9.25000,0.76187,0.48150,0.61018
9.50000,0.76586,0.47915,0.61167
9.75000,0.76065,0.48327,0.61162
10.00000,0.76815,0.47451,0.61358
10.25000,0.75816,0.49349,0.61122
10.50000,0.74900,0.49468,0.60853
10.75000,0.76099,0.48063,0.60984
11.00000,0.75475,0.48965,0.60884
11.25000,0.76358,0.47771,0.61074
11.50000,0.76013,0.48700,0.61036
11.75000,0.76055,0.48719,0.61012
12.00000,0.75746,0.48740,0.60962
12.25000,0.75731,0.49244,0.60853
12.50000,0.75843,0.48893,0.60838
12.75000,0.76205,0.48019,0.60990
13.00000,0.76338,0.47649,0.61164
13.25000,0.76492,0.47858,0.61269
13.50000,0.75147,0.49141,0.61027
13.75000,0.75351,0.49032,0.60893
14.00000,0.76458,0.48318,0.61008
14.25000,0.76155,0.48292,0.61064
14.50000,0.76080,0.48845,0.61015
14.75000,0.75840,0.48362,0.61029
15.00000,0.75916,0.48905,0.60966
15.25000,0.75845,0.48581,0.60963
15.50000,0.76217,0.47789,0.61113
15.75000,0.76296,0.47735,0.61233
16.00000,0.75436,0.49485,0.60979
16.25000,0.75006,0.49181,0.60805
16.50000,0.75206,0.49487,0.60657
16.75000,0.75578,0.48357,0.60755
17.00000,0.76107,0.48157,0.60902
17.25000,0.75161,0.49425,0.60730
17.50000,0.75282,0.48676,0.60731
17.75000,0.75372,0.49030,0.60688
18.00000,0.76465,0.48122,0.60894
18.25000,0.75843,0.48257,0.60960
18.50000,0.75432,0.48744,0.60896
18.75000,0.76024,0.48119,0.60999
19.00000,0.75932,0.48357,0.61027
19.25000,0.76760,0.47817,0.61204
19.50000,0.75880,0.48487,0.61147
19.75000,0.76214,0.48614,0.61119
20.00000,0.76052,0.48640,0.61081
20.25000,0.75533,0.49374,0.60898
20.50000,0.76244,0.47924,0.61050
20.75000,0.76235,0.48558,0.61062
21.00000,0.75178,0.48892,0.60921
21.25000,0.76153,0.48378,0.60990
21.50000,0.76206,0.48027,0.61096
21.75000,0.76105,0.48517,0.61088
22.00000,0.75846,0.49129,0.60968
22.25000,0.76127,0.48287,0.61034
22.50000,0.75256,0.49212,0.60863
22.75000,0.76724,0.47497,0.61133
23.00000,0.75612,0.48962,0.61002
23.25000,0.75572,0.49529,0.60824
23.50000,0.75908,0.48553,0.60874
23.75000,0.75676,0.48648,0.60873
24.00000,0.75858,0.48836,0.60861
24.25000,0.76316,0.48175,0.60994
24.50000,0.76171,0.48079,0.61087
24.75000,0.76371,0.47612,0.61240
