time_s,co0_ap,co1_ap,p_tid1
1.00000,0.00481,0.00288,1.00000
1.25000,0.48176,0.46284,1.00000
1.50000,0.57841,0.50759,1.00000
1.75000,0.58073,0.50344,1.00000
2.00000,0.57693,0.50917,1.00000
2.25000,0.58000,0.50638,1.00000
2.50000,0.57619,0.50975,1.00000
2.75000,0.57739,0.51132,1.00000
3.00000,0.57498,0.51155,1.00000
3.25000,0.58107,0.50779,1.00000
3.50000,0.58151,0.50680,1.00000
3.75000,0.58659,0.50111,1.00000
4.00000,0.57320,0.51120,1.00000
4.25000,0.56914,0.51036,1.00000
4.50000,0.57009,0.50837,1.00000
4.75000,0.58216,0.50762,1.00000
5.00000,0.57619,0.51011,1.00000
5.25000,0.57225,0.50765,1.00000
5.50000,0.57695,0.50964,1.00000
5.75000,0.57630,0.50603,1.00000
6.00000,0.58152,0.50451,1.00000
6.25000,0.58461,0.50290,1.00000
6.50000,0.57661,0.50554,1.00000
6.75000,0.57970,0.50553,1.00000
7.00000,0.57316,0.51085,1.00000
7.25000,0.57984,0.50733,1.00000
7.50000,0.57644,0.50401,1.00000
7.75000,0.57781,0.50854,1.00000
8.00000,0.57464,0.50738,1.00000
8.25000,0.58306,0.50656,1.00000
8.50000,0.57813,0.50713,1.00000
8.75000,0.58585,0.50416,1.00000
9.00000,0.57884,0.50678,1.00000
9.25000,0.58154,0.50408,1.00000
9.50000,0.57314,0.51022,1.00000
9.75000,0.57764,0.51012,1.00000
10.00000,0.57988,0.50994,1.00000
10.25000,0.57975,0.50578,1.00000
10.50000,0.57335,0.50993,1.00000
10.75000,0.57795,0.50710,1.00000
11.00000,0.58145,0.50727,1.00000
11.25000,0.58073,0.50779,1.00000
11.50000,0.58499,0.50418,1.00000
11.75000,0.58145,0.50407,1.00000
12.00000,0.58159,0.50884,1.00000
12.25000,0.57598,0.50624,1.00000
12.50000,0.58292,0.50801,1.00000
12.75000,0.57824,0.50950,1.00000
13.00000,0.57578,0.50605,1.00000
13.25000,0.57940,0.50758,1.00000
13.50000,0.58454,0.50396,1.00000
13.75000,0.58442,0.50404,1.00000
14.00000,0.58111,0.50555,1.00000
14.25000,0.57752,0.50578,1.00000
14.50000,0.57610,0.50772,1.00000
14.75000,0.58185,0.50192,1.00000
15.00000,0.57789,0.50667,1.00000
15.25000,0.57941,0.50499,1.00000
15.50000,0.57623,0.50620,1.00000
15.75000,0.57610,0.50831,1.00000
16.00000,0.57842,0.50788,1.00000
16.25000,0.58137,0.50809,1.00000
16.50000,0.57694,0.50825,1.00000
16.75000,0.58523,0.50668,1.00000
17.00000,0.57646,0.50859,1.00000
17.25000,0.58146,0.50629,1.00000
17.50000,0.58325,0.50601,1.00000
17.75000,0.57570,0.51205,1.00000
18.00000,0.57449,0.50916,1.00000
18.25000,0.58065,0.50614,1.00000
18.50000,0.57794,0.51081,1.00000
18.75000,0.58233,0.50446,1.00000
19.00000,0.57586,0.51100,1.00000
19.25000,0.57763,0.50600,1.00000
19.50000,0.58292,0.50758,1.00000
19.75000,0.57767,0.50903,1.00000
20.00000,0.56892,0.51019,1.00000
20.25000,0.57830,0.50693,1.00000
20.50000,0.57974,0.50727,1.00000
20.75000,0.57631,0.51190,1.00000
21.00000,0.57912,0.50609,1.00000
21.25000,0.58513,0.50848,1.00000
21.50000,0.58368,0.50338,1.00000
21.75000,0.57760,0.50961,1.00000
22.00000,0.58386,0.50469,1.00000
22.25000,0.58056,0.50715,1.00000
22.50000,0.58156,0.50662,1.00000
22.75000,0.57164,0.51192,1.00000
23.00000,0.57994,0.50699,1.00000
23.25000,0.58510,0.50190,1.00000
23.50000,0.58070,0.50504,1.00000
23.75000,0.58241,0.50559,1.00000
24.00000,0.57555,0.50700,1.00000
24.25000,0.57504,0.50956,1.00000
24.50000,0.58087,0.50659,1.00000
24.75000,0.58627,0.50394,1.00000
