time_s,co0_ap,co1_ap,p_tid1
1.00000,0.00487,0.00287,0.75040
1.25000,0.78261,0.79628,0.74767
1.50000,0.97113,0.81256,0.77938
1.75000,0.97033,0.86534,0.80038
2.00000,0.97329,0.89528,0.81598
2.25000,0.92430,0.90001,0.82084
2.50000,0.86686,0.89947,0.81432
2.75000,0.90359,0.89745,0.81555
3.00000,0.88590,0.90217,0.81229
3.25000,0.89837,0.89493,0.81298
3.50000,0.90434,0.89884,0.81408
3.75000,0.90213,0.89791,0.81493
4.00000,0.90148,0.89398,0.81643
4.25000,0.88181,0.89768,0.81325
4.50000,0.88098,0.89769,0.80991
4.75000,0.90714,0.89286,0.81276
5.00000,0.90680,0.89797,0.81453
5.25000,0.90412,0.89307,0.81674
5.50000,0.89533,0.89933,0.81594
5.75000,0.89995,0.89964,0.81600
6.00000,0.89850,0.89565,0.81657
6.25000,0.88529,0.89521,0.81459
6.50000,0.89840,0.89748,0.81477
6.75000,0.90017,0.89574,0.81566
7.00000,0.90062,0.89317,0.81715
7.25000,0.88166,0.89606,0.81427
7.50000,0.89290,0.89852,0.81314
7.75000,0.90793,0.89722,0.81529
8.00000,0.88188,0.89636,0.81239
8.25000,0.89910,0.89933,0.81234
8.50000,0.91013,0.89574,0.81522
8.75000,0.89086,0.89843,0.81371
9.00000,0.90272,0.89654,0.81494
9.25000,0.89546,0.89713,0.81461
9.50000,0.90003,0.89529,0.81556
9.75000,0.89788,0.89513,0.81610
10.00000,0.88344,0.89664,0.81346
10.25000,0.88996,0.89633,0.81219
10.50000,0.89220,0.89600,0.81143
10.75000,0.91105,0.89923,0.81379
11.00000,0.89000,0.89591,0.81261
11.25000,0.88199,0.89554,0.80990
11.50000,0.91759,0.89423,0.81457
11.75000,0.90184,0.89777,0.81539
12.00000,0.88731,0.89803,0.81324
12.25000,0.90191,0.89853,0.81392
12.50000,0.89318,0.89691,0.81318
12.75000,0.89222,0.89487,0.81265
13.00000,0.90768,0.89905,0.81437
13.25000,0.89464,0.90009,0.81328
13.50000,0.89042,0.89729,0.81191
13.75000,0.90219,0.89730,0.81289
14.00000,0.89872,0.89962,0.81271
14.25000,0.89982,0.89432,0.81381
14.50000,0.89175,0.89860,0.81244
14.75000,0.90344,0.89303,0.81452
15.00000,0.88811,0.89689,0.81276
15.25000,0.90884,0.89455,0.81562
15.50000,0.89252,0.89754,0.81462
15.75000,0.89036,0.90063,0.81257
16.00000,0.90353,0.89555,0.81416
16.25000,0.89078,0.89577,0.81317
16.50000,0.88831,0.89597,0.81163
16.75000,0.90119,0.89822,0.81223
17.00000,0.90773,0.89775,0.81422
17.25000,0.91861,0.89850,0.81824
17.50000,0.87386,0.89494,0.81403
17.75000,0.90440,0.89857,0.81519
18.00000,0.89673,0.89914,0.81471
18.25000,0.88787,0.89780,0.81273
18.50000,0.88390,0.89987,0.80953
18.75000,0.91195,0.89903,0.81212
19.00000,0.87838,0.89424,0.80894
19.25000,0.92145,0.90092,0.81305
19.50000,0.90968,0.89970,0.81505
19.75000,0.89131,0.89649,0.81401
20.00000,0.91107,0.89776,0.81667
20.25000,0.88985,0.90042,0.81456
20.50000,0.89566,0.89626,0.81444
20.75000,0.89320,0.89538,0.81400
21.00000,0.89969,0.89478,0.81498
21.25000,0.89124,0.89899,0.81343
21.50000,0.89638,0.89771,0.81317
21.75000,0.90818,0.89701,0.81540
22.00000,0.89255,0.89545,0.81482
22.25000,0.91430,0.90061,0.81756
22.50000,0.88488,0.89520,0.81550
22.75000,0.89075,0.90045,0.81356
23.00000,0.89759,0.89780,0.81351
23.25000,0.90341,0.89844,0.81451
23.50000,0.89703,0.89768,0.81438
23.75000,0.90120,0.89680,0.81526
24.00000,0.89329,0.89372,0.81517
24.25000,0.89745,0.89488,0.81568
24.50000,0.89323,0.89667,0.81500
24.75000,0.88682,0.89931,0.81250
