time_s,co0_ap,co1_ap,p_tid1
1.00000,0.00487,0.00287,0.75040
1.25000,0.75414,0.73983,0.75326
1.50000,0.95447,0.80096,0.78396
1.75000,0.88063,0.81720,0.79665
2.00000,0.86258,0.81923,0.80532
2.25000,0.84827,0.82648,0.80968
2.50000,0.83883,0.82597,0.81225
2.75000,0.83140,0.82782,0.81296
3.00000,0.83533,0.82691,0.81465
3.25000,0.81760,0.82860,0.81245
3.50000,0.82973,0.82751,0.81289
3.75000,0.83839,0.82770,0.81503
4.00000,0.82150,0.82963,0.81341
4.25000,0.83045,0.82729,0.81404
4.50000,0.81770,0.83125,0.81133
4.75000,0.83973,0.82385,0.81450
5.00000,0.83786,0.82443,0.81719
5.25000,0.82237,0.83084,0.81550
5.50000,0.83098,0.82740,0.81621
5.75000,0.82151,0.82684,0.81515
6.00000,0.82406,0.82944,0.81407
6.25000,0.81694,0.83059,0.81134
6.50000,0.82933,0.82734,0.81174
6.75000,0.83224,0.82885,0.81242
7.00000,0.83467,0.82731,0.81389
7.25000,0.82781,0.82810,0.81383
7.50000,0.83713,0.82532,0.81619
7.75000,0.83120,0.82764,0.81690
8.00000,0.82437,0.82888,0.81600
8.25000,0.82899,0.82668,0.81646
8.50000,0.83987,0.82958,0.81852
8.75000,0.81645,0.83067,0.81568
9.00000,0.81933,0.82903,0.81374
9.25000,0.83239,0.82764,0.81469
9.50000,0.82519,0.82772,0.81418
9.75000,0.83294,0.82730,0.81531
10.00000,0.82504,0.82791,0.81474
10.25000,0.82887,0.82647,0.81522
10.50000,0.82715,0.82725,0.81520
10.75000,0.81601,0.83286,0.81183
11.00000,0.83200,0.82577,0.81307
11.25000,0.84040,0.82547,0.81606
11.50000,0.81369,0.83106,0.81259
11.75000,0.83708,0.82590,0.81482
12.00000,0.81934,0.83186,0.81232
12.25000,0.83569,0.82878,0.81370
12.50000,0.84168,0.82460,0.81712
12.75000,0.81695,0.83145,0.81422
13.00000,0.83573,0.82543,0.81628
13.25000,0.82655,0.82833,0.81593
13.50000,0.83218,0.82462,0.81744
13.75000,0.81810,0.82957,0.81514
14.00000,0.82912,0.82678,0.81561
14.25000,0.82453,0.82718,0.81508
14.50000,0.82205,0.83036,0.81342
14.75000,0.83357,0.82849,0.81443
15.00000,0.81285,0.83145,0.81071
15.25000,0.83858,0.82573,0.81328
15.50000,0.82686,0.82677,0.81330
15.75000,0.82800,0.83039,0.81282
16.00000,0.83439,0.82815,0.81407
16.25000,0.82822,0.82896,0.81392
16.50000,0.81915,0.82766,0.81222
16.75000,0.81449,0.82896,0.80933
17.00000,0.84588,0.82707,0.81309
17.25000,0.82636,0.82824,0.81271
17.50000,0.83552,0.82494,0.81483
17.75000,0.82957,0.82628,0.81549
18.00000,0.82615,0.82766,0.81518
18.25000,0.82512,0.82875,0.81446
18.50000,0.82713,0.82789,0.81431
18.75000,0.81491,0.83006,0.81128
19.00000,0.84332,0.82264,0.81541
19.25000,0.83202,0.82755,0.81631
19.50000,0.82945,0.82598,0.81700
19.75000,0.81362,0.83218,0.81329
20.00000,0.82701,0.82921,0.81285
20.25000,0.82040,0.82940,0.81105
20.50000,0.83608,0.82439,0.81339
20.75000,0.83263,0.82716,0.81448
21.00000,0.81964,0.83447,0.81152
21.25000,0.83785,0.82627,0.81383
21.50000,0.82868,0.82663,0.81424
21.75000,0.82021,0.82974,0.81234
22.00000,0.83939,0.82707,0.81480
22.25000,0.83318,0.82779,0.81588
22.50000,0.82424,0.83071,0.81458
22.75000,0.82918,0.82733,0.81495
23.00000,0.82906,0.82810,0.81515
23.25000,0.82802,0.82813,0.81513
23.50000,0.82834,0.83120,0.81456
23.75000,0.82106,0.82939,0.81289
24.00000,0.82759,0.82512,0.81338
24.25000,0.82394,0.82868,0.81244
24.50000,0.83720,0.82596,0.81468
24.75000,0.82849,0.82802,0.81478
