time_s,co0_ap,co1_ap,p_tid1
1.00000,0.00472,0.00277,0.53917
1.25000,0.69989,0.33815,0.57969
1.50000,0.76826,0.47760,0.59078
1.75000,0.76268,0.47803,0.59796
2.00000,0.76422,0.47935,0.60293
2.25000,0.76676,0.48015,0.60653
2.50000,0.75670,0.49204,0.60636
2.75000,0.76691,0.47189,0.61018
3.00000,0.75397,0.49295,0.60852
3.25000,0.75788,0.48535,0.60885
3.50000,0.75314,0.49103,0.60779
3.75000,0.75890,0.48755,0.60811
4.00000,0.75657,0.49061,0.60766
4.25000,0.76867,0.47191,0.61125
4.50000,0.76370,0.48004,0.61208
4.75000,0.75643,0.48694,0.61097
5.00000,0.75689,0.49015,0.60976
5.25000,0.75706,0.48865,0.60915
5.50000,0.75584,0.49137,0.60822
5.75000,0.75907,0.48303,0.60909
6.00000,0.76066,0.48671,0.60930
6.25000,0.76206,0.48089,0.61044
6.50000,0.75501,0.49295,0.60881
6.75000,0.75837,0.48883,0.60858
7.00000,0.76259,0.47933,0.61022
7.25000,0.75285,0.49574,0.60804
7.50000,0.75351,0.48912,0.60754
7.75000,0.76370,0.47948,0.60957
8.00000,0.76544,0.48006,0.61107
8.25000,0.75600,0.48744,0.61015
8.50000,0.75603,0.48725,0.60953
8.75000,0.75834,0.48927,0.60902
9.00000,0.76409,0.47768,0.61091
9.25000,0.75919,0.48171,0.61118
9.50000,0.76107,0.48134,0.61160
9.75000,0.76885,0.47202,0.61400
10.00000,0.75381,0.49005,0.61161
10.25000,0.76250,0.48194,0.61194
10.50000,0.75982,0.48608,0.61132
10.75000,0.75647,0.48445,0.61080
11.00000,0.75599,0.48869,0.60978
11.25000,0.75506,0.49186,0.60851
11.50000,0.75368,0.48852,0.60797
11.75000,0.76673,0.47825,0.61034
12.00000,0.76574,0.47923,0.61176
12.25000,0.76162,0.48369,0.61171
12.50000,0.75828,0.48986,0.61045
12.75000,0.75769,0.48754,0.60986
13.00000,0.75663,0.48318,0.60998
13.25000,0.76119,0.48266,0.61058
13.50000,0.75527,0.48640,0.60989
13.75000,0.76324,0.48612,0.61019
14.00000,0.75741,0.48491,0.61004
14.25000,0.75505,0.49100,0.60881
14.50000,0.76413,0.47569,0.61107
14.75000,0.75697,0.49150,0.60964
15.00000,0.76635,0.47268,0.61230
15.25000,0.76130,0.48156,0.61237
15.50000,0.75556,0.48621,0.61120
15.75000,0.75792,0.48828,0.61029
16.00000,0.75271,0.48954,0.60898
16.25000,0.75645,0.48898,0.60850
16.50000,0.76116,0.48017,0.60991
16.75000,0.74895,0.49276,0.60788
17.00000,0.76260,0.47866,0.60983
17.25000,0.76489,0.48405,0.61061
17.50000,0.76296,0.47595,0.61218
17.75000,0.76105,0.48249,0.61213
18.00000,0.75678,0.49098,0.61044
18.25000,0.76312,0.48473,0.61077
18.50000,0.75895,0.48498,0.61058
18.75000,0.76031,0.48504,0.61056
19.00000,0.75729,0.48846,0.60976
19.25000,0.75914,0.49099,0.60901
19.50000,0.75517,0.48792,0.60855
19.75000,0.75970,0.48656,0.60886
20.00000,0.75746,0.48786,0.60868
20.25000,0.75604,0.49300,0.60766
20.50000,0.75506,0.49229,0.60696
20.75000,0.75736,0.48743,0.60740
21.00000,0.75699,0.49208,0.60699
21.25000,0.76274,0.48119,0.60885
21.50000,0.76410,0.48006,0.61044
21.75000,0.75812,0.49038,0.60947
22.00000,0.76038,0.48232,0.61019
22.25000,0.75592,0.48608,0.60973
22.50000,0.75645,0.48989,0.60889
22.75000,0.75900,0.48479,0.60929
23.00000,0.76513,0.48137,0.61065
23.25000,0.75623,0.49710,0.60847
23.50000,0.76146,0.48208,0.60963
23.75000,0.76377,0.48298,0.61052
24.00000,0.76211,0.47867,0.61163
24.25000,0.75665,0.48695,0.61067
24.50000,0.75574,0.48727,0.60987
24.75000,0.75518,0.49063,0.60876
