time_s,co0_ap,co1_ap,p_tid1
1.00000,0.00487,0.00287,1.00000
1.25000,0.61734,0.60341,1.00000
1.50000,0.75800,0.65708,1.00000
1.75000,0.76297,0.65540,1.00000
2.00000,0.76269,0.65259,1.00000
2.25000,0.76190,0.65884,1.00000
2.50000,0.75708,0.65467,1.00000
2.75000,0.75846,0.65437,1.00000
3.00000,0.75327,0.66017,1.00000
3.25000,0.76298,0.65736,1.00000
3.50000,0.75651,0.65706,1.00000
3.75000,0.76399,0.65801,1.00000
4.00000,0.76256,0.65589,1.00000
4.25000,0.76253,0.65758,1.00000
4.50000,0.76233,0.65670,1.00000
4.75000,0.76223,0.65800,1.00000
5.00000,0.75984,0.65728,1.00000
5.25000,0.76231,0.65402,1.00000
5.50000,0.76641,0.65157,1.00000
5.75000,0.75732,0.65736,1.00000
6.00000,0.75954,0.65844,1.00000
6.25000,0.76854,0.65368,1.00000
6.50000,0.76542,0.65365,1.00000
6.75000,0.76401,0.65560,1.00000
7.00000,0.76361,0.65497,1.00000
7.25000,0.76897,0.65518,1.00000
7.50000,0.76273,0.65605,1.00000
7.75000,0.76375,0.65337,1.00000
8.00000,0.76085,0.65603,1.00000
8.25000,0.75255,0.65883,1.00000
8.50000,0.75686,0.65798,1.00000
8.75000,0.76610,0.65698,1.00000
9.00000,0.75870,0.65938,1.00000
9.25000,0.76569,0.65072,1.00000
9.50000,0.75361,0.65702,1.00000
9.75000,0.75614,0.65723,1.00000
10.00000,0.76183,0.65440,1.00000
10.25000,0.76292,0.65195,1.00000
10.50000,0.75770,0.65924,1.00000
10.75000,0.76204,0.65607,1.00000
11.00000,0.76270,0.65726,1.00000
11.25000,0.76057,0.65751,1.00000
11.50000,0.77486,0.65233,1.00000
11.75000,0.76921,0.65643,1.00000
12.00000,0.76857,0.65187,1.00000
12.25000,0.75904,0.65427,1.00000
12.50000,0.76035,0.65430,1.00000
12.75000,0.76774,0.65726,1.00000
13.00000,0.76304,0.65523,1.00000
13.25000,0.76175,0.65981,1.00000
13.50000,0.75365,0.65902,1.00000
13.75000,0.75652,0.65559,1.00000
14.00000,0.75396,0.65438,1.00000
14.25000,0.76231,0.65517,1.00000
14.50000,0.77150,0.65623,1.00000
14.75000,0.76532,0.65608,1.00000
15.00000,0.76468,0.65521,1.00000
15.25000,0.76367,0.65876,1.00000
15.50000,0.75915,0.65524,1.00000
15.75000,0.77091,0.65070,1.00000
16.00000,0.75722,0.65488,1.00000
16.25000,0.75804,0.65988,1.00000
16.50000,0.76405,0.65577,1.00000
16.75000,0.76092,0.65896,1.00000
17.00000,0.75652,0.65739,1.00000
17.25000,0.75928,0.65635,1.00000
17.50000,0.75949,0.65463,1.00000
17.75000,0.75991,0.65871,1.00000
18.00000,0.75522,0.65657,1.00000
18.25000,0.75415,0.65684,1.00000
18.50000,0.75967,0.65470,1.00000
18.75000,0.76596,0.65243,1.00000
19.00000,0.76485,0.65448,1.00000
19.25000,0.76239,0.65323,1.00000
19.50000,0.76363,0.65458,1.00000
19.75000,0.76435,0.65867,1.00000
20.00000,0.76489,0.65891,1.00000
20.25000,0.76314,0.66078,1.00000
20.50000,0.76045,0.66010,1.00000
20.75000,0.75523,0.65759,1.00000
21.00000,0.75701,0.65656,1.00000
21.25000,0.76621,0.65492,1.00000
21.50000,0.76740,0.65585,1.00000
21.75000,0.76460,0.65870,1.00000
22.00000,0.76239,0.65498,1.00000
22.25000,0.76476,0.65385,1.00000
22.50000,0.76098,0.65601,1.00000
22.75000,0.76238,0.65413,1.00000
23.00000,0.76178,0.65800,1.00000
23.25000,0.75955,0.65536,1.00000
23.50000,0.76297,0.65582,1.00000
23.75000,0.75953,0.66044,1.00000
24.00000,0.75799,0.65766,1.00000
24.25000,0.75872,0.65824,1.00000
24.50000,0.76226,0.65686,1.00000
24.75000,0.75969,0.65704,1.00000
