time_s,n_pkts,mean_ms,p50_ms,p90_ms,p99_ms,max_ms,tput_mbps
1.2500,2499,0.1872,0.1770,0.2674,0.3386,0.4156,79.9680
1.5000,2500,0.1854,0.1770,0.2656,0.3230,0.3876,80.0000
1.7500,2500,0.1866,0.1770,0.2640,0.3346,0.4726,80.0000
2.0000,2500,0.1852,0.1774,0.2616,0.3216,0.4176,80.0000
2.2500,2499,0.1865,0.1770,0.2660,0.3240,0.4706,79.9680
2.5000,2500,0.1862,0.1780,0.2624,0.3210,0.3616,80.0000
2.7500,2501,0.1855,0.1764,0.2634,0.3306,0.3926,80.0320
3.0000,2499,0.1838,0.1760,0.2616,0.3190,0.3656,79.9680
3.2500,2500,0.1847,0.1770,0.2616,0.3210,0.3696,80.0000
3.5000,2501,0.1888,0.1800,0.2700,0.3320,0.3806,80.0320
3.7500,2501,0.1876,0.1780,0.2694,0.3354,0.4076,80.0320
4.0000,2499,0.1867,0.1790,0.2656,0.3320,0.4276,79.9680
4.2500,2499,0.1845,0.1760,0.2644,0.3280,0.3706,79.9680
4.5000,2501,0.1855,0.1764,0.2660,0.3236,0.3766,80.0320
4.7500,2498,0.1850,0.1760,0.2630,0.3254,0.3856,79.9360
5.0000,2500,0.1837,0.1760,0.2576,0.3176,0.3896,80.0000
5.2500,2502,0.1855,0.1764,0.2624,0.3156,0.4104,80.0640
5.5000,2500,0.1854,0.1770,0.2634,0.3260,0.4026,80.0000
5.7500,2500,0.1864,0.1780,0.2656,0.3210,0.3936,80.0000
6.0000,2499,0.1867,0.1770,0.2644,0.3216,0.3936,79.9680
6.2500,2499,0.1879,0.1790,0.2700,0.3316,0.3796,79.9680
6.5000,2502,0.1851,0.1774,0.2616,0.3196,0.4144,80.0640
6.7500,2500,0.1852,0.1760,0.2616,0.3226,0.3766,80.0000
7.0000,2501,0.1869,0.1780,0.2676,0.3216,0.4004,80.0320
7.2500,2499,0.1856,0.1754,0.2664,0.3266,0.4086,79.9680
7.5000,2499,0.1845,0.1754,0.2636,0.3256,0.4056,79.9680
7.7500,2500,0.1866,0.1780,0.2654,0.3264,0.3714,80.0000
8.0000,2501,0.1874,0.1780,0.2660,0.3230,0.3984,80.0320
8.2500,2500,0.1869,0.1790,0.2664,0.3286,0.4236,80.0000
8.5000,2499,0.1867,0.1780,0.2650,0.3246,0.3896,79.9680
8.7500,2501,0.1867,0.1770,0.2664,0.3274,0.3654,80.0320
