time_s,n_pkts,mean_ms,p50_ms,p90_ms,p99_ms,max_ms,tput_mbps
1.2500,2358,0.2281,0.2150,0.3344,0.4124,0.7076,105.5040
1.5000,2357,0.2269,0.2160,0.3280,0.4044,0.7026,105.4720
1.7500,2359,0.2305,0.2170,0.3394,0.4116,0.6634,105.6000
2.0000,2357,0.2291,0.2160,0.3360,0.4194,0.7116,105.4720
2.2500,2359,0.2292,0.2174,0.3364,0.4074,0.5904,105.6000
2.5000,2358,0.2282,0.2158,0.3354,0.4054,0.5534,105.5040
2.7500,2360,0.2300,0.2194,0.3344,0.4054,0.4834,105.5680
3.0000,2357,0.2270,0.2138,0.3324,0.4040,0.6774,105.5360
3.2500,2359,0.2300,0.2180,0.3390,0.4090,0.6664,105.5680
3.5000,2359,0.2286,0.2160,0.3344,0.4116,0.5386,105.5680
3.7500,2358,0.2290,0.2181,0.3334,0.4070,0.5656,105.4720
4.0000,2359,0.2299,0.2170,0.3390,0.4064,0.5364,105.6320
4.2500,2359,0.2274,0.2148,0.3344,0.4106,0.6676,105.5680
4.5000,2358,0.2303,0.2178,0.3380,0.4074,0.5704,105.4720
4.7500,2359,0.2294,0.2170,0.3364,0.4094,0.6396,105.5680
5.0000,2357,0.2270,0.2154,0.3306,0.4104,0.5454,105.5360
5.2500,2359,0.2296,0.2180,0.3364,0.4044,0.4854,105.5680
5.5000,2359,0.2282,0.2170,0.3324,0.4084,0.5424,105.5040
5.7500,2359,0.2292,0.2178,0.3354,0.4124,0.5724,105.6000
6.0000,2358,0.2257,0.2134,0.3294,0.4046,0.6796,105.5680
6.2500,2359,0.2257,0.2118,0.3324,0.4076,0.6056,105.5680
6.5000,2359,0.2275,0.2160,0.3314,0.4044,0.5964,105.5040
6.7500,2358,0.2283,0.2158,0.3364,0.4046,0.5654,105.5360
7.0000,2357,0.2289,0.2180,0.3326,0.4064,0.5716,105.5360
7.2500,2360,0.2297,0.2170,0.3394,0.4016,0.5034,105.6000
7.5000,2358,0.2281,0.2158,0.3334,0.4060,0.6396,105.5040
7.7500,2359,0.2281,0.2168,0.3326,0.4024,0.5824,105.5680
8.0000,2357,0.2292,0.2170,0.3366,0.4104,0.6194,105.5040
8.2500,2358,0.2271,0.2148,0.3324,0.4056,0.5966,105.5360
8.5000,2359,0.2297,0.2174,0.3350,0.4094,0.6224,105.5360
8.7500,2360,0.2268,0.2148,0.3324,0.3954,0.4606,105.6320
9.0000,2359,0.2272,0.2174,0.3294,0.3984,0.4864,105.5360
9.2500,2357,0.2272,0.2160,0.3326,0.3994,0.5224,105.5040
9.5000,2358,0.2322,0.2204,0.3380,0.4134,0.7316,105.5360
9.7500,2359,0.2289,0.2170,0.3384,0.4136,0.5374,105.5680
10.0000,2360,0.2276,0.2164,0.3304,0.4044,0.6966,105.6000
10.2500,2356,0.2317,0.2204,0.3374,0.4074,0.5784,105.4720
10.5000,2360,0.2316,0.2198,0.3384,0.4094,0.6216,105.6000
10.7500,2359,0.2286,0.2160,0.3344,0.4056,0.6814,105.5680
11.0000,2359,0.2293,0.2178,0.3344,0.3984,0.5554,105.4720
11.2500,2357,0.2277,0.2154,0.3350,0.4006,0.6264,105.5680
11.5000,2359,0.2281,0.2150,0.3334,0.4021,0.5814,105.5360
11.7500,2359,0.2284,0.2150,0.3394,0.4164,0.5876,105.5360
12.0000,2357,0.2261,0.2148,0.3294,0.4036,0.5734,105.5680
12.2500,2359,0.2270,0.2148,0.3354,0.4010,0.5574,105.5040
12.5000,2359,0.2251,0.2138,0.3290,0.4044,0.4354,105.5680
12.7500,2359,0.2267,0.2151,0.3304,0.3994,0.5294,105.5680
13.0000,2357,0.2280,0.2164,0.3314,0.4024,0.5166,105.5360
13.2500,2360,0.2266,0.2138,0.3314,0.4084,0.5776,105.5680
13.5000,2359,0.2287,0.2168,0.3336,0.4124,0.6294,105.5680
13.7500,2358,0.2277,0.2170,0.3304,0.4016,0.5796,105.5360
14.0000,2357,0.2322,0.2204,0.3384,0.4104,0.6044,105.5040
14.2500,2360,0.2289,0.2158,0.3344,0.4084,0.6966,105.5680
14.5000,2358,0.2283,0.2158,0.3344,0.4074,0.5486,105.5360
14.7500,2358,0.2300,0.2178,0.3364,0.4054,0.4926,105.5680
15.0000,2360,0.2287,0.2178,0.3334,0.4086,0.4736,105.5680
15.2500,2357,0.2315,0.2194,0.3390,0.4126,0.6336,105.5360
15.5000,2358,0.2297,0.2188,0.3346,0.4064,0.6496,105.5040
15.7500,2359,0.2277,0.2148,0.3354,0.4124,0.6436,105.5680
16.0000,2360,0.2288,0.2158,0.3354,0.4090,0.5636,105.6000
16.2500,2358,0.2268,0.2148,0.3324,0.4104,0.5994,105.5040
16.5000,2358,0.2312,0.2188,0.3394,0.4144,0.6434,105.5040
16.7500,2359,0.2283,0.2171,0.3360,0.4044,0.5036,105.6000
17.0000,2358,0.2295,0.2174,0.3354,0.4074,0.7136,105.5360
17.2500,2358,0.2287,0.2178,0.3340,0.4044,0.5856,105.5360
17.5000,2359,0.2284,0.2174,0.3324,0.4044,0.5776,105.5360
17.7500,2357,0.2299,0.2180,0.3344,0.4054,0.6054,105.5360
18.0000,2360,0.2277,0.2158,0.3314,0.4114,0.6774,105.6000
18.2500,2359,0.2281,0.2150,0.3354,0.4100,0.6786,105.5360
18.5000,2357,0.2275,0.2160,0.3316,0.4064,0.5814,105.5360
18.7500,2359,0.2283,0.2170,0.3358,0.4044,0.4526,105.5360
19.0000,2359,0.2296,0.2178,0.3354,0.4060,0.5404,105.6000
19.2500,2359,0.2290,0.2160,0.3380,0.4004,0.5344,105.5360
19.5000,2357,0.2274,0.2160,0.3304,0.4024,0.6084,105.4720
19.7500,2359,0.2280,0.2154,0.3354,0.4090,0.5686,105.6000
20.0000,2359,0.2265,0.2144,0.3334,0.3996,0.6554,105.5040
20.2500,2359,0.2294,0.2174,0.3374,0.4104,0.6506,105.6000
20.5000,2357,0.2307,0.2188,0.3400,0.4166,0.6506,105.5040
20.7500,2358,0.2276,0.2158,0.3336,0.4026,0.4984,105.5360
21.0000,2360,0.2282,0.2168,0.3316,0.4054,0.6184,105.6000
21.2500,2358,0.2272,0.2144,0.3344,0.4100,0.6194,105.4720
21.5000,2359,0.2291,0.2174,0.3360,0.4074,0.4726,105.6000
21.7500,2359,0.2308,0.2178,0.3394,0.4104,0.6314,105.6000
22.0000,2358,0.2282,0.2158,0.3326,0.4094,0.5354,105.5040
22.2500,2357,0.2299,0.2174,0.3354,0.4104,0.6914,105.5040
